Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
49,A.J. Thelen,ROC,23,D,9,0,0,0,6,-9.0,0,0,0,0.0,0.0,0.0,13.0,0.0%
27,Aaron Boogaard,WBS,23,F,21,1,0,1,65,-6.0,0,0,1,0.048,0.0,0.048,18.0,5.6%
1,Aaron Gagnon,TEX,23,F,78,27,31,58,42,19.0,10,1,5,0.346,0.397,0.744,152.0,17.8%
22,Aaron Palushaj,HAM,20,F,18,3,7,10,8,3.0,0,0,0,0.167,0.389,0.556,26.0,11.5%
14,Aaron Palushaj,PEO,20,F,44,5,17,22,22,0.0,1,0,0,0.114,0.386,0.5,80.0,6.3%
20,Aaron Rome,MTB,26,D,7,6,1,7,15,-1.0,4,0,3,0.857,0.143,1.0,24.0,25.0%
58,Aaron Sorochan,SPR,25,G,10,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
35,Aaron Volpatti,MTB,24,F,8,1,1,2,17,1.0,0,0,0,0.125,0.125,0.25,8.0,12.5%
33,Adam Berkhoel,WBS,28,G,7,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
5,Adam Cracknell,PEO,24,F,76,17,21,38,40,2.0,4,2,2,0.224,0.276,0.5,146.0,11.6%
2,Adam Hall,NOR,29,F,79,16,25,41,47,7.0,0,1,4,0.203,0.316,0.519,194.0,8.3%
27,Adam Henrich,SPR,25,F,5,2,1,3,15,-2.0,1,0,0,0.4,0.2,0.6,16.0,12.5%
20,Adam Hobson,RFD,22,F,31,2,5,7,42,-2.0,0,0,0,0.065,0.161,0.226,33.0,6.1%
19,Adam McQuaid,PRO,23,D,32,3,7,10,66,11.0,0,0,0,0.094,0.219,0.313,32.0,9.4%
40,Adam Munro,TOR,27,G,14,0,1,1,4,,0,0,0,0.0,0.071,0.071,,
32,Adrian Veideman,PEO,26,D,14,0,1,1,6,-2.0,0,0,0,0.0,0.071,0.071,5.0,0.0%
15,Akim Aliu,RFD,20,F,48,11,6,17,69,-2.0,0,0,1,0.229,0.125,0.354,52.0,21.2%
49,Al Montoya,SA,24,G,14,0,0,0,12,,0,0,0,0.0,0.0,0.0,,
11,Alain Goulet,PRO,21,D,71,3,15,18,28,1.0,2,0,0,0.042,0.211,0.254,79.0,3.8%
5,Alec Martinez,MCH,22,D,55,7,23,30,26,12.0,4,0,2,0.127,0.418,0.545,101.0,6.9%
39,Alec Richards,RFD,22,G,6,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
26,Alex Berry,TOR,23,F,55,3,4,7,97,-18.0,0,0,0,0.055,0.073,0.127,71.0,4.2%
41,Alex Curran,SYR,22,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
11,Alex Foster,TOR,25,F,30,9,8,17,20,-3.0,3,0,1,0.3,0.267,0.567,75.0,12.0%
22,Alex Grant,WBS,20,D,14,3,2,5,28,8.0,0,0,0,0.214,0.143,0.357,20.0,15.0%
19,Alex Henry,HAM,30,D,68,0,13,13,154,17.0,0,0,0,0.0,0.191,0.191,51.0,0.0%
