Name,Year,Rk,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
Alex Barre-Boulet,2025,4,COL,28,F,57,19,39,58,26,21,5,1,1.0,0.333,0.684,1.018,162,11.7%
Alex Belzile,2025,9,LAV,34,F,58,26,26,52,62,12,12,0,4.0,0.448,0.448,0.897,143,18.2%
Andrew Cristall,2025,30,HER,20,F,60,14,32,46,20,-11,2,0,4.0,0.233,0.533,0.767,114,12.3%
Arthur Kaliyev,2025,6,BEL,24,F,58,31,24,55,26,-16,15,0,2.0,0.534,0.414,0.948,209,14.8%
Austin Poganski,2025,37,TUC,29,F,57,17,27,44,12,0,4,0,2.0,0.298,0.474,0.772,96,17.7%
Ben McCartney,2025,24,TUC,24,F,49,21,26,47,66,6,5,2,2.0,0.429,0.531,0.959,119,17.7%
Benoit-Olivier Groulx,2025,14,TOR,25,F,54,27,23,50,32,13,2,2,0.0,0.5,0.426,0.926,126,21.4%
Bradly Nadeau,2025,13,CHI,20,F,46,25,26,51,24,17,7,1,5.0,0.543,0.565,1.109,139,18.0%
Brett Seney,2025,48,RFD,29,F,53,12,31,43,55,5,1,0,2.0,0.226,0.585,0.811,104,11.5%
Cameron Hebig,2025,28,TUC,28,F,55,19,27,46,30,-1,5,0,1.0,0.345,0.491,0.836,128,14.8%
Cameron Hughes,2025,3,TEX,29,F,56,14,45,59,42,14,4,0,3.0,0.25,0.804,1.054,120,11.7%
Cole Guttman,2025,44,ONT,26,F,55,20,23,43,44,0,6,0,4.0,0.364,0.418,0.782,125,16.0%
Conor Geekie,2025,12,SYR,21,F,48,14,38,52,46,13,6,0,0.0,0.292,0.792,1.083,150,9.3%
Dominic Toninato,2025,46,RFD,31,F,52,16,27,43,57,-8,3,3,4.0,0.308,0.519,0.827,131,12.2%
Dryden Hunt,2025,26,CGY,30,F,39,15,32,47,44,5,3,1,1.0,0.385,0.821,1.205,101,14.9%
Dylan Duke,2025,18,SYR,22,F,59,29,20,49,30,-5,16,1,6.0,0.492,0.339,0.831,123,23.6%
Felix Unger S�rum,2025,23,CHI,20,F,56,11,37,48,18,-1,6,0,3.0,0.196,0.661,0.857,83,13.3%
Filip Bystedt,2025,25,SJ,21,F,50,18,29,47,22,4,6,1,5.0,0.36,0.58,0.94,77,23.4%
Georgi Merkulov,2025,22,PRO,25,F,56,18,30,48,34,15,3,0,1.0,0.321,0.536,0.857,117,15.4%
Glenn Gawdin,2025,38,ONT,28,F,59,13,31,44,67,-2,4,0,2.0,0.22,0.525,0.746,119,10.9%
Ilya Protas,2025,16,HER,19,F,59,25,25,50,34,9,9,1,2.0,0.424,0.424,0.847,120,20.8%
Isak Ros�n,2025,42,ROC,22,F,37,25,18,43,6,0,8,0,3.0,0.676,0.486,1.162,108,23.2%
Jagger Firkus,2025,11,CV,21,F,57,20,32,52,16,14,2,0,3.0,0.351,0.561,0.912,162,12.4%
Jakob Pelletier,2025,1,SYR,24,F,53,23,41,64,13,22,7,3,2.0,0.434,0.774,1.208,140,16.4%
Jayson Megna,2025,36,COL,35,F,57,23,21,44,28,23,6,1,1.0,0.404,0.368,0.772,108,21.3%
Justin Robidas,2025,10,CHI,22,F,53,22,30,52,14,18,2,2,1.0,0.415,0.566,0.981,177,12.4%
Konsta Helenius,2025,35,ROC,19,F,48,15,30,45,14,-9,7,0,4.0,0.313,0.625,0.938,118,12.7%
Laurent Dauphin,2025,2,LAV,30,F,53,15,44,59,34,22,4,1,4.0,0.283,0.83,1.113,136,11.0%
Logan Morrison,2025,8,CV,23,F,57,26,27,53,40,24,8,0,2.0,0.456,0.474,0.93,137,19.0%
Luca Del Bel Belluz,2025,21,CLE,22,F,46,18,30,48,2,2,9,0,2.0,0.391,0.652,1.043,114,15.8%
Lukas Cormier,2025,41,HSK,23,D,45,7,37,44,16,3,4,0,0.0,0.156,0.822,0.978,112,6.3%
Martin Chromiak,2025,43,ONT,23,F,58,21,22,43,12,2,8,0,4.0,0.362,0.379,0.741,133,15.8%
Martin Frk,2025,27,CGY,32,F,57,20,26,46,58,8,3,0,0.0,0.351,0.456,0.807,143,14.0%
Matej Bl�mel,2025,45,PRO,25,F,44,17,26,43,14,20,5,0,3.0,0.386,0.591,0.977,133,12.8%
Matt Luff,2025,33,TOT,28,F,50,17,28,45,29,-14,5,0,4.0,0.34,0.56,0.9,118,14.4%
Mitchell Chaffee,2025,20,SYR,27,F,47,20,28,48,53,3,5,1,0.0,0.426,0.596,1.021,127,15.8%
Nikita Alexandrov,2025,49,TOT,25,F,54,11,32,43,22,-22,3,0,2.0,0.204,0.593,0.796,112,9.8%
Patrick Brown,2025,19,PRO,33,F,58,17,32,49,46,34,5,0,1.0,0.293,0.552,0.845,161,10.6%
Philippe Daoust,2025,47,BEL,24,F,52,13,30,43,24,-12,4,1,1.0,0.25,0.577,0.827,72,18.1%
Quinn Hutson,2025,15,BAK,23,F,54,26,24,50,72,0,12,0,3.0,0.481,0.444,0.926,163,16.0%
Riley Tufte,2025,32,PRO,27,F,51,25,20,45,57,26,4,1,6.0,0.49,0.392,0.882,136,18.4%
Rory Kerins,2025,34,CGY,23,F,50,17,28,45,16,-11,2,0,1.0,0.34,0.56,0.9,105,16.2%
Ryan Suzuki,2025,40,CHI,24,F,54,11,33,44,28,13,5,0,2.0,0.204,0.611,0.815,84,13.1%
Ryan Ufko,2025,39,MIL,22,D,50,11,33,44,20,-12,6,1,0.0,0.22,0.66,0.88,105,10.5%
Seth Griffith,2025,7,BAK,32,F,59,16,39,55,38,2,3,0,3.0,0.271,0.661,0.932,70,22.9%
Tanner Laczynski,2025,5,HSK,28,F,50,17,39,56,33,31,3,0,3.0,0.34,0.78,1.12,121,14.1%
Trey Fix-Wolansky,2025,50,HFD,26,F,58,23,19,42,94,-1,6,0,2.0,0.397,0.328,0.724,162,14.2%
Viljami Marjala,2025,31,BAK,22,F,59,13,33,46,20,-3,5,0,1.0,0.22,0.559,0.78,97,13.4%
Xavier Bourgault,2025,29,BEL,23,F,58,18,28,46,24,-16,4,2,2.0,0.31,0.483,0.793,153,11.8%
Zac Jones,2025,17,ROC,25,D,47,8,42,50,12,-4,1,0,3.0,0.17,0.894,1.064,137,5.8%
Alex Barre-Boulet,2024,7,LAV,27,F,64,22,41,63,42,18,8,1,2.0,0.344,0.641,0.984,171,12.9%
Alex Belzile,2024,25,HFD,33,F,66,19,37,56,119,10,6,2,5.0,0.288,0.561,0.848,182,10.4%
Alexander Steeves,2024,8,TOR,25,F,59,36,26,62,50,8,13,2,8.0,0.61,0.441,1.051,220,16.4%
Andrew Poturalski,2024,1,SJ,30,F,59,30,43,73,34,6,13,0,4.0,0.508,0.729,1.237,146,20.6%
Arttu Hyry,2024,48,TEX,23,F,67,24,25,49,12,15,6,2,7.0,0.358,0.373,0.731,164,14.6%
Ben Meyers,2024,39,CV,26,F,57,23,28,51,26,-2,6,0,4.0,0.404,0.491,0.895,143,16.1%
Boris Katchouk,2024,50,WBS,26,F,67,21,28,49,46,4,5,1,2.0,0.313,0.418,0.731,113,18.6%
Bradly Nadeau,2024,17,CHI,19,F,64,32,26,58,36,-20,10,0,7.0,0.5,0.406,0.906,136,23.5%
Brett Murray,2024,46,ROC,26,F,66,27,22,49,29,14,12,0,6.0,0.409,0.333,0.742,117,23.1%
Brian Pinho,2024,47,BRI,29,F,65,25,24,49,10,-14,7,3,1.0,0.385,0.369,0.754,178,14.0%
Cameron Hughes,2024,19,TEX,28,F,69,23,34,57,59,-3,9,1,5.0,0.333,0.493,0.826,131,17.6%
Charles Hudon,2024,5,ONT,30,F,67,20,44,64,57,15,4,0,6.0,0.299,0.657,0.955,207,9.7%
Chris Terry,2024,4,BRI,35,F,68,19,47,66,57,-15,7,0,0.0,0.279,0.691,0.971,184,10.3%
Cole Guttman,2024,20,RFD,25,F,70,23,34,57,36,-14,8,0,2.0,0.329,0.486,0.814,177,13.0%
Conor Sheary,2024,12,SYR,32,F,59,20,41,61,23,15,6,0,5.0,0.339,0.695,1.034,157,12.7%
Daniil Gushchin,2024,38,SJ,22,F,56,28,23,51,34,-13,14,0,2.0,0.5,0.411,0.911,218,12.8%
