Rank,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
1,Atlantic Division,1,Charlotte Checkers,76,51,17,7,1,110,0.724,42,50,255,189,66,8-2-0-0,3-0-0-0,975,0
5,Atlantic Division,2,Bridgeport Sound Tigers,76,43,24,6,3,95,0.625,28,37,233,228,5,5-4-0-1,1-0-0-0,1125,0
6,Atlantic Division,3,Hershey Bears,76,43,25,4,4,94,0.618,33,35,211,215,-4,7-2-1-0,3-0-1-0,998,0
10,Atlantic Division,4,Providence Bruins,76,38,27,8,3,87,0.572,28,36,228,212,16,5-5-0-0,0-1-0-0,963,0
15,Atlantic Division,5,Lehigh Valley Phantoms,76,39,30,4,3,85,0.559,27,34,240,244,-4,7-3-0-0,5-0-0-0,911,0
19,Atlantic Division,6,Barre/Scranton Penguins,76,36,30,7,3,82,0.539,24,31,232,228,4,5-5-0-0,1-0-0-0,1248,0
21,Atlantic Division,7,Springfield Thunderbirds,76,33,29,9,5,80,0.526,30,33,250,241,9,5-3-2-0,1-0-0-0,1128,0
28,Atlantic Division,8,Hartford Wolf Pack,76,29,36,7,4,69,0.454,20,27,209,266,-57,1-7-1-1,0-2-0-1,953,0
2,North Division,1,Syracuse Crunch,76,47,21,4,4,102,0.671,39,44,264,187,77,5-3-0-2,2-0-0-1,1084,0
3,North Division,2,Rochester Americans,76,46,23,5,2,99,0.651,36,41,254,218,36,6-2-2-0,1-0-0-0,870,0
7,North Division,3,Toronto Marlies,76,39,24,9,4,91,0.599,26,38,248,243,5,4-3-3-0,0-1-1-0,832,0
16,North Division,4,Cleveland Monsters,76,37,29,8,2,84,0.553,26,32,232,234,-2,5-3-1-1,1-0-0-0,865,0
18,North Division,5,Belleville Senators,76,37,31,3,5,82,0.539,26,33,228,228,0,4-6-0-0,0-1-0-0,870,0
25,North Division,6,Utica Comets,76,34,34,6,2,76,0.500,27,31,224,257,-33,4-6-0-0,1-0-0-0,937,0
26,North Division,7,Laval Rocket,76,30,34,6,6,72,0.474,22,27,195,231,-36,3-7-0-0,1-0-0-0,877,0
30,North Division,8,Binghamton Devils,76,28,41,7,0,63,0.414,21,27,201,278,-77,4-5-1-0,0-1-1-0,1030,0
4,Central Division,1,Chicago Wolves,76,44,22,6,4,98,0.645,36,44,250,199,51,5-3-1-1,0-1-0-0,886,0
9,Central Division,2,Milwaukee Admirals,76,36,24,14,2,88,0.579,27,32,217,207,10,9-0-1-0,11-0-2-1,977,0
11,Central Division,3,Grand Rapids Griffins,76,38,27,7,4,87,0.572,27,32,217,222,-5,1-8-1-0,0-8-1-0,932,0
12,Central Division,4,Iowa Wild,76,37,26,8,5,87,0.572,25,33,242,230,12,3-6-1-0,3-0-0-0,874,0
14,Central Division,5,Manitoba Moose,76,39,30,5,2,85,0.559,29,37,197,219,-22,6-3-1-0,1-0-0-0,1050,0
17,Central Division,6,Texas Stars,76,37,31,4,4,82,0.539,33,36,238,231,7,5-4-0-1,0-1-0-0,791,0
22,Central Division,7,Rockford IceHogs,76,35,31,4,6,80,0.526,19,31,184,214,-30,4-6-0-0,0-2-0-0,715,0
27,Central Division,8,San Antonio Rampage,76,31,38,6,1,69,0.454,24,28,196,244,-48,4-6-0-0,1-0-0-0,885,0
8,Pacific Division,1,Bakersfield Condors,68,42,21,3,2,89,0.654,35,40,242,182,60,5-4-0-1,3-0-0-0,849,0
13,Pacific Division,2,San Jose Barracuda,68,39,22,3,4,85,0.625,33,35,227,197,30,7-3-0-0,0-1-0-0,714,0
20,Pacific Division,3,San Diego Gulls,68,36,24,5,3,80,0.588,31,33,239,221,18,4-4-2-0,1-0-1-0,978,0
23,Pacific Division,4,Colorado Eagles,68,36,27,4,1,77,0.566,24,30,191,205,-14,4-5-1-0,1-0-0-0,1114,0
24,Pacific Division,5,Tucson Roadrunners,68,34,26,5,3,76,0.559,27,33,206,202,4,6-3-0-1,0-1-0-0,766,0
29,Pacific Division,6,Stockton Heat,68,31,31,4,2,68,0.500,24,29,235,252,-17,6-4-0-0,0-1-0-0,945,0
31,Pacific Division,7,Ontario Reign,68,25,33,6,4,60,0.441,19,23,213,274,-61,3-5-0-2,0-2-0-0,1069,0
