Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
27,Albany River Rats,Regular Season,,3867,23.962,23.882,80,172,288,460,1212,2.15,3.6,1.674,5.75,15:09,2037,25.463,8.4%,2604,32.55,0.909,317,39,12.3%,289,57,80.3%
8,Bridgeport Sound Tigers,Regular Season,Playoffs,4448,24.796,24.023,80,240,403,643,1353,3.0,5.038,1.679,8.038,16:55,2548,31.85,9.4%,2066,25.825,0.917,374,73,19.5%,329,55,83.3%
5,Chicago Wolves,Regular Season,Playoffs,8139,25.253,26.012,80,250,418,668,1663,3.125,5.225,1.672,8.35,20:47,2477,30.963,10.1%,2260,28.25,0.908,418,69,16.5%,374,61,83.7%
18,Cincinnati Mighty Ducks,Regular Season,Playoffs,5459,24.75,24.827,80,216,359,575,1553,2.7,4.488,1.662,7.188,19:25,2568,32.1,8.4%,2235,27.938,0.917,331,54,16.3%,357,47,86.8%
15,Cleveland Barons,Regular Season,,3226,24.744,24.212,80,223,365,588,2256,2.788,4.563,1.637,7.35,28:12,2414,30.175,9.2%,2490,31.125,0.91,405,66,16.3%,481,67,86.1%
19,Grand Rapids Griffins,Regular Season,Playoffs,7046,25.275,25.534,80,217,352,569,1305,2.713,4.4,1.622,7.113,16:19,2392,29.9,9.1%,1849,23.113,0.916,350,54,15.4%,330,51,84.5%
6,Hamilton Bulldogs,Regular Season,Playoffs,5489,24.273,24.197,80,247,418,665,1642,3.088,5.225,1.692,8.313,20:31,2407,30.088,10.3%,2215,27.688,0.917,377,63,16.7%,377,51,86.5%
4,Hartford Wolf Pack,Regular Season,Playoffs,6714,24.995,25.22,80,249,420,669,1964,3.113,5.25,1.687,8.363,24:33,2541,31.763,9.8%,2289,28.613,0.906,364,66,18.1%,429,79,81.6%
20,Hershey Bears,Regular Season,Playoffs,6118,24.588,24.698,80,200,355,555,1641,2.5,4.438,1.775,6.938,20:31,2459,30.738,8.1%,2237,27.963,0.924,377,52,13.8%,346,52,85.0%
10,Houston Aeros,Regular Season,Playoffs,5428,25.646,25.909,80,234,379,613,1629,2.925,4.738,1.62,7.663,20:22,2479,30.988,9.4%,2107,26.338,0.905,397,62,15.6%,382,73,80.9%
14,Lowell Lock Monsters,Regular Season,Playoffs,4103,24.415,24.01,80,229,360,589,1297,2.863,4.5,1.572,7.363,16:13,2337,29.213,9.8%,2543,31.788,0.926,367,64,17.4%,357,56,84.3%
12,Manchester Monarchs,Regular Season,Playoffs,8199,26.788,26.084,80,236,372,608,1481,2.95,4.65,1.576,7.6,18:31,2497,31.213,9.5%,2342,29.275,0.915,334,64,19.2%,345,61,82.3%
2,Manitoba Moose,Regular Season,Playoffs,7043,24.092,24.393,80,270,427,697,1905,3.375,5.338,1.581,8.713,23:49,2557,31.963,10.6%,2073,25.913,0.891,409,67,16.4%,393,70,82.2%
25,Milwaukee Admirals,Regular Season,,6329,25.076,25.159,80,198,304,502,1487,2.475,3.8,1.535,6.275,18:35,2503,31.288,7.9%,2191,27.388,0.916,359,49,13.6%,352,49,86.1%
