Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
17,Adam Colagiacomo,KEN,20,F,42,5,8,13,27,-3.0,1,0,0,0.119,0.19,0.31,55.0,9.1%
19,Adam Spylo,KEN,21,F,29,2,4,6,116,2.0,0,0,1,0.069,0.138,0.207,15.0,13.3%
23,Andy Lundbohm,KEN,22,F,22,2,1,3,8,2.0,0,0,0,0.091,0.045,0.136,20.0,10.0%
24,Andy Sutton,KEN,24,D,3,0,1,1,0,2.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
20,Brantt Myhres,KEN,25,F,10,1,5,6,18,0.0,1,0,0,0.1,0.5,0.6,8.0,12.5%
27,Chad Dameworth,KEN,27,D,13,0,1,1,6,2.0,0,0,0,0.0,0.077,0.077,8.0,0.0%
5,Chris Armstrong,KEN,24,D,78,9,48,57,77,12.0,4,1,1,0.115,0.615,0.731,188.0,4.8%
6,Chris Lipsett,KEN,25,F,70,25,23,48,38,9.0,8,0,7,0.357,0.329,0.686,117.0,21.4%
22,Christian Gosselin,KEN,23,D,68,0,4,4,266,-7.0,0,0,0,0.0,0.059,0.059,39.0,0.0%
9,Doug Friedman,KEN,28,F,73,13,23,36,237,14.0,0,2,3,0.178,0.315,0.493,108.0,12.0%
26,Eric Brule,KEN,29,D,5,0,1,1,4,1.0,0,0,0,0.0,0.2,0.2,8.0,0.0%
2,Eric Landry,KEN,24,F,79,35,31,66,170,10.0,9,1,7,0.443,0.392,0.835,211.0,16.6%
30,Evgeni Nabokov,KEN,24,G,2,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
18,Garrett Burnett,KEN,24,F,58,3,3,6,506,-6.0,0,0,0,0.052,0.052,0.103,41.0,7.3%
7,Jarrett Deuling,KEN,25,F,75,17,25,42,83,2.0,3,0,1,0.227,0.333,0.56,174.0,9.8%
32,Jason Lawmaster,KEN,21,D,3,0,0,0,22,-2.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
29,Joe Vandermeer,KEN,22,D,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
21,Johan Hedberg,KEN,26,G,33,0,4,4,6,,0,0,0,0.0,0.121,0.121,,
15,Jon Coleman,KEN,24,D,66,1,14,15,43,17.0,0,0,0,0.015,0.212,0.227,91.0,1.1%
25,Kris Porter,KEN,21,F,3,0,1,1,0,0.0,0,0,0,0.0,0.333,0.333,2.0,0.0%
11,Larry Courville,KEN,24,F,61,11,12,23,107,3.0,1,1,1,0.18,0.197,0.377,90.0,12.2%
3,Mark Smith,KEN,22,F,79,21,45,66,153,14.0,7,2,1,0.266,0.57,0.835,162.0,13.0%
8,Matt Bradley,KEN,21,F,80,22,19,41,81,-1.0,7,3,4,0.275,0.238,0.513,161.0,13.7%
31,Matt Eldred,KEN,25,D,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
28,Miikka Kiprusoff,KEN,23,G,47,0,1,1,10,,0,0,0,0.0,0.021,0.021,,
1,Mike Craig,KEN,28,F,76,39,39,78,116,14.0,18,1,11,0.513,0.513,1.026,261.0,14.9%
10,Peter Roed,KEN,23,F,75,13,19,32,54,6.0,2,2,1,0.173,0.253,0.427,145.0,9.0%
13,Rejean Stringer,KEN,25,F,40,6,13,19,12,-2.0,0,0,1,0.15,0.325,0.475,42.0,14.3%
12,Robert Jindrich,KEN,23,D,78,2,21,23,51,24.0,1,0,0,0.026,0.269,0.295,127.0,1.6%
33,Robert Mulick,KEN,20,D,52,0,0,0,52,-3.0,0,0,0,0.0,0.0,0.0,20.0,0.0%
16,Ryan Kraft,KEN,24,F,15,7,6,13,2,2.0,2,0,1,0.467,0.4,0.867,30.0,23.3%
14,Scott Hannan,KEN,20,D,41,5,12,17,40,14.0,1,2,0,0.122,0.293,0.415,87.0,5.8%
4,Shawn Heins,KEN,26,D,69,11,52,63,238,-2.0,6,1,2,0.159,0.754,0.913,292.0,3.8%
