Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
7,Benoit Gratton,SJN,24,F,53,10,36,46,153,23.0,4,1,1,0.189,0.679,0.868,106.0,9.4%
14,Blair Betts,SJN,20,F,75,13,15,28,28,6.0,0,0,1,0.173,0.2,0.373,139.0,9.4%
9,Chris Clark,SJN,24,F,48,18,17,35,131,22.0,5,1,5,0.375,0.354,0.729,157.0,11.5%
23,Chris St. Croix,SJN,21,D,69,0,4,4,66,8.0,0,0,0,0.0,0.058,0.058,80.0,0.0%
8,Daniel Tkaczuk,SJN,21,F,50,15,21,36,48,5.0,6,0,3,0.3,0.42,0.72,132.0,11.4%
28,Dany Sabourin,SJN,20,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
6,Darrel Scoville,SJN,25,D,76,15,32,47,125,14.0,9,0,2,0.197,0.421,0.618,166.0,9.0%
2,Dave Roche,SJN,25,F,79,32,26,58,179,14.0,14,0,5,0.405,0.329,0.734,253.0,12.7%
24,Derek Morris,SJN,22,D,3,1,2,3,2,2.0,0,0,1,0.333,0.667,1.0,13.0,7.7%
3,Derrick Walser,SJN,22,D,76,19,36,55,36,23.0,8,0,3,0.25,0.474,0.724,232.0,8.2%
17,Doug Doull,SJN,26,F,49,3,10,13,167,2.0,0,0,1,0.061,0.204,0.265,48.0,6.3%
32,Dustin Virag,SJN,24,F,1,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
18,Gaetan Royer,SJN,24,F,58,8,4,12,134,-8.0,0,0,1,0.138,0.069,0.207,54.0,14.8%
10,Jason Botterill,SJN,24,F,60,13,20,33,101,23.0,2,0,3,0.217,0.333,0.55,133.0,9.8%
25,Jeff Dewar,SJN,24,F,3,1,0,1,5,-2.0,0,0,0,0.333,0.0,0.333,2.0,50.0%
35,Jeff Sullivan,SJN,22,D,2,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
33,Jeff Walker,SJN,30,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
31,John McNabb,SJN,22,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
20,Kenny Corupe,SJN,20,F,44,3,4,7,26,1.0,0,1,0,0.068,0.091,0.159,37.0,8.1%
26,Levente Szuper,SJN,20,G,34,0,1,1,0,,0,0,0,0.0,0.029,0.029,,
19,Marc Bureau,SJN,34,F,17,4,7,11,13,5.0,1,0,1,0.235,0.412,0.647,34.0,11.8%
27,Martin Brochu,SJN,27,G,55,0,1,1,8,,0,0,0,0.0,0.018,0.018,,
1,Marty Murray,SJN,25,F,56,24,52,76,36,25.0,9,2,2,0.429,0.929,1.357,176.0,13.6%
12,Micki Dupont,SJN,20,D,67,8,21,29,28,28.0,4,0,1,0.119,0.313,0.433,171.0,4.7%
11,Miika Elomo,SJN,23,F,72,10,21,31,109,-2.0,2,1,0,0.139,0.292,0.431,155.0,6.5%
15,Mike Martin,SJN,24,D,60,7,16,23,69,14.0,4,0,2,0.117,0.267,0.383,133.0,5.3%
30,Mike Vellinga,SJN,22,D,1,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
34,Quade Lightbody,SJN,25,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
16,Rick Mrozik,SJN,25,D,76,5,11,16,26,27.0,0,1,0,0.066,0.145,0.211,99.0,5.1%
4,Rico Fata,SJN,20,F,70,23,29,52,129,10.0,5,3,4,0.329,0.414,0.743,213.0,10.8%
22,Ryan Chaytors,SJN,25,F,11,1,4,5,0,-1.0,0,0,0,0.091,0.364,0.455,11.0,9.1%
5,Sergei Varlamov,SJN,22,F,55,21,30,51,56,23.0,3,0,6,0.382,0.545,0.927,213.0,9.9%
29,Shaun Sutter,SJN,20,F,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
13,Steve Begin,SJN,22,F,58,14,14,28,109,16.0,4,0,2,0.241,0.241,0.483,116.0,12.1%
21,Steve Montador,SJN,21,D,58,1,6,7,95,6.0,0,0,0,0.017,0.103,0.121,113.0,0.9%
