Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
10,Andrei Troshchinski,WOR,23,F,70,13,10,23,32,-11.0,4,0,1,0.186,0.143,0.329,121.0,10.7%
26,Arvids Rekis,WOR,22,D,18,0,3,3,8,8.0,0,0,0,0.0,0.167,0.167,26.0,0.0%
14,Barret Jackman,WOR,20,D,75,2,12,14,266,16.0,1,0,0,0.027,0.16,0.187,86.0,2.3%
17,Blake Evans,WOR,21,F,28,4,5,9,18,-6.0,2,0,1,0.143,0.179,0.321,35.0,11.4%
34,Bob Gassoff,WOR,24,D,3,0,0,0,9,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
22,Brad Voth,WOR,21,F,20,2,3,5,81,1.0,0,0,0,0.1,0.15,0.25,11.0,18.2%
11,Christian Laflamme,WOR,25,D,62,2,17,19,52,13.0,0,0,0,0.032,0.274,0.306,116.0,1.7%
36,Cody Rudkowsky,WOR,23,G,21,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
35,Curtis Sanford,WOR,22,G,9,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
16,Dale Clarke,WOR,23,D,72,2,10,12,32,0.0,0,0,1,0.028,0.139,0.167,125.0,1.6%
6,Daniel Tkaczuk,WOR,22,F,75,10,27,37,37,-3.0,6,1,2,0.133,0.36,0.493,165.0,6.1%
27,Darren Clark,WOR,26,F,3,0,2,2,2,3.0,0,0,0,0.0,0.667,0.667,1.0,0.0%
8,Darren Rumble,WOR,32,D,60,3,29,32,48,4.0,2,0,0,0.05,0.483,0.533,124.0,2.4%
13,Ed Campbell,WOR,27,D,70,3,15,18,172,13.0,0,0,0,0.043,0.214,0.257,93.0,3.2%
1,Eric Boguniecki,WOR,26,F,63,38,46,84,181,22.0,9,3,4,0.603,0.73,1.333,181.0,21.0%
7,Eric Nickulas,WOR,26,F,54,11,25,36,48,19.0,2,1,4,0.204,0.463,0.667,159.0,6.9%
12,Greg Davis,WOR,22,F,57,12,6,18,10,-1.0,0,0,2,0.211,0.105,0.316,72.0,16.7%
18,Igor Valeyev,WOR,20,F,29,3,6,9,72,0.0,0,0,0,0.103,0.207,0.31,45.0,6.7%
3,Jame Pollock,WOR,22,D,71,23,43,66,89,-4.0,12,0,2,0.324,0.606,0.93,279.0,8.2%
23,Jamie Thompson,WOR,27,F,21,2,2,4,27,-7.0,0,0,1,0.095,0.095,0.19,37.0,5.4%
5,Jeff Panzer,WOR,23,F,70,26,27,53,29,14.0,7,3,5,0.371,0.386,0.757,186.0,14.0%
25,Joe Hulbig,WOR,28,F,7,0,3,3,2,2.0,0,0,0,0.0,0.429,0.429,9.0,0.0%
32,Jonathan Fauteux,WOR,21,D,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
2,Justin Papineau,WOR,21,F,75,38,38,76,86,6.0,14,3,6,0.507,0.507,1.013,236.0,16.1%
31,Lauri Kinos,WOR,21,D,10,0,1,1,8,-3.0,0,0,0,0.0,0.1,0.1,6.0,0.0%
33,Marc Bergevin,WOR,36,D,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
4,Marc Brown,WOR,22,F,74,30,25,55,42,14.0,14,0,5,0.405,0.338,0.743,295.0,10.2%
9,Mark Rycroft,WOR,23,F,66,12,19,31,68,-2.0,5,0,3,0.182,0.288,0.47,168.0,7.1%
15,Matt Walker,WOR,21,D,49,2,11,13,164,5.0,0,0,0,0.041,0.224,0.265,80.0,2.5%
19,Mike Van Ryn,WOR,22,D,24,2,7,9,17,8.0,0,0,1,0.083,0.292,0.375,34.0,5.9%
28,Reinhard Divis,WOR,26,G,55,0,2,2,2,,0,0,0,0.0,0.036,0.036,,
29,Shawn Mamane,WOR,22,F,3,0,1,1,7,1.0,0,0,0,0.0,0.333,0.333,7.0,0.0%
20,Steve Halko,WOR,27,D,43,3,5,8,15,4.0,0,0,0,0.07,0.116,0.186,62.0,4.8%
24,Steve McLaren,WOR,26,F,58,0,4,4,251,0.0,0,0,0,0.0,0.069,0.069,24.0,0.0%
21,Trevor Baker,WOR,23,F,15,2,4,6,42,3.0,0,1,1,0.133,0.267,0.4,22.0,9.1%
30,Tyler Rennette,WOR,22,F,4,0,1,1,8,2.0,0,0,0,0.0,0.25,0.25,13.0,0.0%
