Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
17,Alexei Smirnov,CIN,20,F,19,7,3,10,12,-1.0,0,1,1,0.368,0.158,0.526,39.0,18.0%
27,Andy Reierson,CIN,24,D,14,2,1,3,4,-6.0,1,0,0,0.143,0.071,0.214,14.0,14.3%
8,Ben Guite,CIN,24,F,80,13,16,29,44,-9.0,2,2,2,0.163,0.2,0.363,149.0,8.7%
29,Bill Cass,CIN,22,D,2,0,2,2,0,1.0,0,0,0,0.0,1.0,1.0,0.0,0.00%
30,Bobby Brown,CIN,27,F,6,0,2,2,4,-5.0,0,0,0,0.0,0.333,0.333,8.0,0.0%
5,Brendan Yarema,CIN,26,F,59,19,16,35,111,4.0,8,1,5,0.322,0.271,0.593,162.0,11.7%
38,Brian Cummings,CIN,25,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
24,Brian Gornick,CIN,22,F,54,2,4,6,14,-6.0,0,0,0,0.037,0.074,0.111,39.0,5.1%
32,Brian Lee,CIN,18,D,9,1,0,1,4,0.0,0,0,0,0.111,0.0,0.111,10.0,10.0%
10,Cam Severson,CIN,24,F,71,12,9,21,156,-2.0,0,0,1,0.169,0.127,0.296,95.0,12.6%
31,Chris Gobert,CIN,23,F,3,1,0,1,2,-1.0,0,0,0,0.333,0.0,0.333,1.0,100.0%
14,Chris O'Sullivan,CIN,28,D,27,2,13,15,8,1.0,1,0,0,0.074,0.481,0.556,63.0,3.2%
46,Chris Thompson,CIN,24,F,10,0,0,0,28,-4.0,0,0,0,0.0,0.0,0.0,10.0,0.0%
7,Cory Pecker,CIN,21,F,77,20,13,33,66,-5.0,3,0,3,0.26,0.169,0.429,128.0,15.6%
22,Dale Clarke,CIN,24,D,13,1,6,7,6,-5.0,1,0,1,0.077,0.462,0.538,26.0,3.9%
19,Dan Riva,CIN,27,F,33,2,6,8,11,-4.0,0,0,0,0.061,0.182,0.242,39.0,5.1%
37,Dan Vandermeer,CIN,24,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
36,Eddy Ferhi,CIN,23,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
15,Francis Belanger,CIN,24,F,40,4,10,14,50,-8.0,0,0,0,0.1,0.25,0.35,50.0,8.0%
40,Gregg Naumenko,CIN,25,G,2,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
