Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
34,Adam Edinger,HER,25,F,5,0,1,1,0,0.0,0,0,0,0.0,0.2,0.2,4.0,0.0%
26,Agris Saviels,HER,20,D,43,0,3,3,33,-5.0,0,0,0,0.0,0.07,0.07,45.0,0.0%
13,Alexander Ryazantsev,HER,22,D,57,5,10,15,65,4.0,2,0,0,0.088,0.175,0.263,129.0,3.9%
17,Brad Larsen,HER,25,F,25,3,6,9,25,-5.0,1,0,0,0.12,0.24,0.36,40.0,7.5%
44,Brad Wingfield,HER,27,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
12,Brent Thompson,HER,31,D,61,2,17,19,134,-1.0,2,0,1,0.033,0.279,0.311,91.0,2.2%
6,Brett Clark,HER,26,D,80,8,27,35,26,-1.0,5,0,0,0.1,0.338,0.438,194.0,4.1%
2,Brian Willsie,HER,24,F,59,29,28,57,49,2.0,11,4,8,0.492,0.475,0.966,228.0,12.7%
18,Bruce Richardson,HER,25,F,33,4,4,8,60,1.0,0,0,0,0.121,0.121,0.242,36.0,11.1%
10,Bryan Muir,HER,29,D,36,9,12,21,75,3.0,4,2,0,0.25,0.333,0.583,126.0,7.1%
8,Cail MacLean,HER,26,F,74,16,13,29,14,0.0,6,0,3,0.216,0.176,0.392,143.0,11.2%
4,Charlie Stephens,HER,21,F,74,17,33,50,38,1.0,5,1,2,0.23,0.446,0.676,169.0,10.1%
37,Chris Bogas,HER,26,D,1,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
40,D.J. Smith,HER,25,D,2,0,0,0,4,-3.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
21,Dale Clarke,HER,24,D,33,1,5,6,12,9.0,0,0,0,0.03,0.152,0.182,38.0,2.6%
32,Daniel Goneau,HER,26,F,3,0,1,1,0,1.0,0,0,0,0.0,0.333,0.333,2.0,0.0%
36,Dylan Gyori,HER,23,F,1,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
1,Eric Bertrand,HER,27,F,67,19,40,59,87,-1.0,5,2,4,0.284,0.597,0.881,209.0,9.1%
24,Jeff Paul,HER,24,D,50,2,3,5,123,-9.0,1,0,0,0.04,0.06,0.1,65.0,3.1%
29,Joe Goodenow,HER,22,F,23,0,2,2,18,1.0,0,0,0,0.0,0.087,0.087,15.0,0.0%
33,John-Michael Liles,HER,22,D,5,0,1,1,4,-2.0,0,0,0,0.0,0.2,0.2,14.0,0.0%
7,Jordan Krestanovich,HER,21,F,70,13,21,34,24,-5.0,3,1,1,0.186,0.3,0.486,146.0,8.9%
41,K.C. Timmons,HER,22,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
23,Kent Davyduke,HER,23,F,12,2,3,5,0,3.0,0,0,0,0.167,0.25,0.417,24.0,8.3%
16,Marc Busenburg,HER,25,D,44,5,6,11,10,5.0,0,0,0,0.114,0.136,0.25,75.0,6.7%
15,Marek Svatos,HER,20,F,30,9,4,13,10,0.0,3,0,2,0.3,0.133,0.433,61.0,14.8%
3,Mark Freer,HER,34,F,70,21,32,53,34,-15.0,2,0,5,0.3,0.457,0.757,126.0,16.7%
35,Michael Henrich,HER,22,F,9,0,1,1,4,-1.0,0,0,0,0.0,0.111,0.111,15.0,0.0%
43,Mike Varhaug,HER,24,F,2,0,0,0,12,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
11,Mikhail Kuleshov,HER,21,F,77,7,13,20,76,-1.0,1,0,0,0.091,0.169,0.26,114.0,6.1%
31,Nick Bootland,HER,24,F,16,1,0,1,10,-4.0,0,0,0,0.063,0.0,0.063,18.0,5.6%
46,Peter Budaj,HER,20,G,28,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
27,Philippe Sauve,HER,22,G,60,0,3,3,8,,0,0,0,0.0,0.05,0.05,,
30,Pierre-Luc Emond,HER,20,F,4,1,0,1,2,-2.0,0,0,0,0.25,0.0,0.25,4.0,25.0%
14,Riku Hahl,HER,22,F,28,7,7,14,17,-1.0,2,0,0,0.25,0.25,0.5,61.0,11.5%
25,Rob Voltera,HER,24,F,54,1,4,5,180,0.0,0,0,1,0.019,0.074,0.093,53.0,1.9%
39,Sandro Sbrocca,HER,22,F,1,0,0,0,5,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
45,Sergei Klyazmin,HER,20,F,8,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
38,Simon Tremblay,HER,24,D,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
5,Steve Brule,HER,27,F,49,18,19,37,30,7.0,5,0,6,0.367,0.388,0.755,170.0,10.6%
9,Steve Moore,HER,24,F,58,10,13,23,41,-14.0,0,0,0,0.172,0.224,0.397,140.0,7.1%
42,Steve Rymsha,HER,23,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
28,Sylvain Deschatelets,HER,23,F,4,0,2,2,13,1.0,0,0,0,0.0,0.5,0.5,4.0,0.0%
20,Tim Wedderburn,HER,21,D,67,1,6,7,22,-7.0,1,0,0,0.015,0.09,0.104,49.0,2.0%
19,Travis Brigley,HER,25,F,13,3,5,8,4,0.0,1,1,2,0.231,0.385,0.615,38.0,7.9%
22,V�clav Nedorost,HER,20,F,5,3,2,5,0,5.0,0,0,1,0.6,0.4,1.0,9.0,33.3%
