Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
42,Anthony Belza,MCH,26,D,3,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
39,B.J. Boxma,MCH,21,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
22,Brandon Dietrich,MCH,24,F,28,3,8,11,15,5.0,0,0,0,0.107,0.286,0.393,39.0,7.7%
46,Brian McCullough,MCH,25,F,6,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
19,Chris Aldous,MCH,27,D,61,5,9,14,16,2.0,1,0,1,0.082,0.148,0.23,65.0,7.7%
29,Chris Bogas,MCH,26,D,12,1,2,3,13,1.0,0,0,1,0.083,0.167,0.25,11.0,9.1%
41,Chris McAlpine,MCH,31,D,3,0,0,0,0,-5.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
10,Chris Schmidt,MCH,26,F,53,12,13,25,58,9.0,1,2,1,0.226,0.245,0.472,80.0,15.0%
37,Cristobal Huet,MCH,27,G,30,0,1,1,4,,0,0,0,0.0,0.033,0.033,,
27,Dan Riva,MCH,27,F,19,2,1,3,10,-3.0,0,1,0,0.105,0.053,0.158,16.0,12.5%
21,Dan Welch,MCH,21,F,42,3,9,12,22,0.0,0,1,1,0.071,0.214,0.286,55.0,5.5%
13,Dane Jackson,MCH,32,F,63,6,14,20,80,5.0,2,0,1,0.095,0.222,0.317,91.0,6.6%
26,Derek Armstrong,MCH,29,F,2,3,0,3,4,0.0,1,1,1,1.5,0.0,1.5,13.0,23.1%
6,Derek Bekar,MCH,27,F,51,19,19,38,49,6.0,3,4,1,0.373,0.373,0.745,168.0,11.3%
43,Doug Schueller,MCH,25,D,3,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
32,Douglas Nolan,MCH,26,D,10,1,1,2,6,3.0,0,0,0,0.1,0.1,0.2,2.0,50.0%
1,Eric Healey,MCH,27,F,75,42,31,73,47,4.0,14,1,10,0.56,0.413,0.973,186.0,22.6%
36,George Parros,MCH,23,F,9,0,1,1,7,2.0,0,0,0,0.0,0.111,0.111,4.0,0.0%
20,Greg Koehler,MCH,27,F,13,1,13,14,26,8.0,0,0,0,0.077,1.0,1.077,36.0,2.8%
4,Jared Aulin,MCH,20,F,44,12,32,44,21,-2.0,2,0,3,0.273,0.727,1.0,93.0,12.9%
8,Jason Holland,MCH,26,D,67,4,27,31,53,0.0,3,0,0,0.06,0.403,0.463,95.0,4.2%
18,Jeff Giuliano,MCH,23,F,47,4,11,15,8,1.0,0,0,0,0.085,0.234,0.319,51.0,7.8%
44,Jeff Sanger,MCH,24,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
11,Jerred Smithson,MCH,23,F,38,4,21,25,60,16.0,1,0,0,0.105,0.553,0.658,51.0,7.8%
9,Joe Corvo,MCH,25,D,26,8,18,26,8,7.0,4,0,0,0.308,0.692,1.0,82.0,9.8%
23,Joe Rullier,MCH,22,D,62,3,6,9,166,2.0,0,0,1,0.048,0.097,0.145,99.0,3.0%
40,Jon Insana,MCH,22,D,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
34,Kent Davyduke,MCH,23,F,13,1,0,1,9,-2.0,0,0,0,0.077,0.0,0.077,11.0,9.1%
24,Kip Brennan,MCH,22,F,35,3,2,5,195,-2.0,0,0,0,0.086,0.057,0.143,30.0,10.0%
28,Leon Hayward,MCH,23,F,7,1,2,3,15,-1.0,0,0,0,0.143,0.286,0.429,6.0,16.7%
35,Lonnie Loach,MCH,34,F,3,0,1,1,0,1.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
45,Louis Goulet,MCH,24,F,5,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
30,Mat Snesrud,MCH,25,D,29,0,3,3,12,7.0,0,0,0,0.0,0.103,0.103,24.0,0.0%
14,Mike Cammalleri,MCH,20,F,13,5,15,20,12,-4.0,1,1,0,0.385,1.154,1.538,50.0,10.0%
12,Mike Pudlick,MCH,24,D,68,7,17,24,52,9.0,2,0,1,0.103,0.25,0.353,125.0,5.6%
31,Noah Clarke,MCH,23,F,3,1,1,2,0,-1.0,0,0,0,0.333,0.333,0.667,9.0,11.1%
2,Pavel Rosa,MCH,25,F,61,28,35,63,20,10.0,11,3,6,0.459,0.574,1.033,232.0,12.1%
38,Ray DiLauro,MCH,23,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
16,Richard Seeley,MCH,23,D,69,4,14,18,127,9.0,2,0,0,0.058,0.203,0.261,79.0,5.1%
25,Ryan Flinn,MCH,22,F,27,2,2,4,95,0.0,0,0,0,0.074,0.074,0.148,16.0,12.5%
15,Scott Barney,MCH,23,F,57,13,5,18,74,-11.0,5,0,7,0.228,0.088,0.316,129.0,10.1%
17,Steve Heinze,MCH,32,F,18,8,9,17,12,2.0,6,0,0,0.444,0.5,0.944,65.0,12.3%
3,Steve Kelly,MCH,26,F,54,19,44,63,144,9.0,8,1,2,0.352,0.815,1.167,125.0,15.2%
5,Tomas Zizka,MCH,23,D,61,13,30,43,50,15.0,6,0,1,0.213,0.492,0.705,123.0,10.6%
33,Travis Scott,MCH,27,G,50,0,2,2,15,,0,0,0,0.0,0.04,0.04,,
7,Yanick Lehoux,MCH,20,F,78,16,21,37,26,-6.0,6,1,2,0.205,0.269,0.474,146.0,11.0%
