Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
3,Andre Savage,PHI,27,F,64,11,31,42,66,-3.0,5,0,1,0.172,0.484,0.656,130.0,8.5%
37,Antero Niittym�ki,PHI,22,G,40,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
8,Ben Stafford,PHI,24,F,80,12,15,27,38,-1.0,3,1,2,0.15,0.188,0.338,115.0,10.4%
6,Brad Tiley,PHI,31,D,79,8,28,36,28,-8.0,5,1,2,0.101,0.354,0.456,148.0,5.4%
22,Bruno St. Jacques,PHI,22,D,30,0,7,7,46,1.0,0,0,0,0.0,0.233,0.233,37.0,0.0%
27,Chris Bogas,PHI,26,D,15,0,2,2,11,2.0,0,0,0,0.0,0.133,0.133,15.0,0.0%
32,Chris Corrinet,PHI,24,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
35,Chris McAllister,PHI,27,D,4,0,0,0,12,-3.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
28,Craig Brunel,PHI,23,F,7,1,0,1,7,-2.0,0,0,0,0.143,0.0,0.143,1.0,100.0%
24,Dan Peters,PHI,25,D,41,1,4,5,48,10.0,0,0,0,0.024,0.098,0.122,28.0,3.6%
11,David Harlock,PHI,31,D,59,2,18,20,83,-5.0,0,0,0,0.034,0.305,0.339,101.0,2.0%
17,Dennis Seidenberg,PHI,21,D,19,5,6,11,17,-7.0,1,0,1,0.263,0.316,0.579,75.0,6.7%
25,Eric Betournay,PHI,21,F,34,2,0,2,41,-4.0,0,0,0,0.059,0.0,0.059,41.0,4.9%
13,Guillaume Lefebvre,PHI,21,F,47,7,6,13,113,9.0,0,0,2,0.149,0.128,0.277,71.0,9.9%
26,Ian Forbes,PHI,22,D,20,1,1,2,38,4.0,0,0,1,0.05,0.05,0.1,6.0,16.7%
10,Ian MacNeil,PHI,25,F,71,10,13,23,132,-12.0,3,2,1,0.141,0.183,0.324,109.0,9.2%
20,Jack Baker,PHI,22,F,30,4,4,8,35,0.0,1,0,2,0.133,0.133,0.267,45.0,8.9%
9,Jamie Wright,PHI,26,F,33,10,14,24,31,6.0,1,1,2,0.303,0.424,0.727,123.0,8.1%
29,Jeff Smith,PHI,21,F,11,1,0,1,22,-1.0,0,0,0,0.091,0.0,0.091,6.0,16.7%
16,Jim Vandermeer,PHI,22,D,48,4,8,12,122,-9.0,2,0,1,0.083,0.167,0.25,80.0,5.0%
21,Joe Sacco,PHI,33,F,6,4,3,7,4,5.0,0,0,0,0.667,0.5,1.167,21.0,19.1%
4,John Slaney,PHI,30,D,55,9,33,42,36,2.0,3,0,2,0.164,0.6,0.764,149.0,6.0%
30,Josh Harrold,PHI,26,D,3,0,1,1,2,-1.0,0,0,0,0.0,0.333,0.333,8.0,0.0%
34,Kam White,PHI,26,D,2,0,0,0,6,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
5,Kirby Law,PHI,25,F,74,22,19,41,166,5.0,7,2,2,0.297,0.257,0.554,171.0,12.9%
23,Kirk Furey,PHI,26,D,31,0,7,7,17,5.0,0,0,0,0.0,0.226,0.226,37.0,0.0%
18,Ladislav Kohn,PHI,27,F,15,4,7,11,2,3.0,2,0,0,0.267,0.467,0.733,60.0,6.7%
1,Mark Greig,PHI,32,F,73,30,44,74,127,9.0,13,0,8,0.411,0.603,1.014,250.0,12.0%
33,Matt Yeats,PHI,23,G,2,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
36,Matt Zultek,PHI,23,F,13,0,0,0,2,-5.0,0,0,0,0.0,0.0,0.0,14.0,0.0%
12,Mike Lephart,PHI,25,F,75,6,8,14,23,-8.0,0,1,1,0.08,0.107,0.187,109.0,5.5%
15,Mike Siklenka,PHI,23,F,64,6,6,12,169,-5.0,2,0,0,0.094,0.094,0.188,94.0,6.4%
38,Neil Little,PHI,31,G,42,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
7,Patrick Sharp,PHI,21,F,53,14,19,33,39,-5.0,6,0,0,0.264,0.358,0.623,122.0,11.5%
14,Pete Vandermeer,PHI,27,F,77,5,8,13,335,-10.0,1,0,2,0.065,0.104,0.169,54.0,9.3%
2,Peter White,PHI,33,F,47,17,26,43,16,-4.0,10,0,3,0.362,0.553,0.915,85.0,20.0%
31,Ryan Bast,PHI,27,D,11,0,1,1,21,0.0,0,0,0,0.0,0.091,0.091,3.0,0.0%
19,Wade Skolney,PHI,21,D,68,2,7,9,102,4.0,1,0,0,0.029,0.103,0.132,65.0,3.1%
