Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
16,Alexei Komarov,UTA,24,D,55,5,12,17,44,-5.0,2,0,0,0.091,0.218,0.309,76.0,6.6%
15,Andrew Berenzweig,UTA,25,D,26,6,11,17,4,3.0,1,1,1,0.231,0.423,0.654,76.0,7.9%
11,Barrett Heisten,UTA,22,F,58,10,10,20,47,-3.0,3,1,1,0.172,0.172,0.345,87.0,11.5%
25,Brett Draney,UTA,21,F,11,1,1,2,7,-3.0,0,0,0,0.091,0.091,0.182,10.0,10.0%
26,Corey Hirsch,UTA,30,G,35,0,2,2,6,,0,0,0,0.0,0.057,0.057,,
30,Cory Murphy,UTA,26,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
20,Dan Jancevski,UTA,21,D,76,1,10,11,172,-12.0,0,0,0,0.013,0.132,0.145,66.0,1.5%
6,David Gosselin,UTA,25,F,80,12,22,34,141,-26.0,6,0,2,0.15,0.275,0.425,163.0,7.4%
9,David Oliver,UTA,31,F,37,11,14,25,14,-8.0,4,0,0,0.297,0.378,0.676,87.0,12.6%
21,Dylan Gyori,UTA,23,F,19,8,2,10,4,3.0,3,0,1,0.421,0.105,0.526,39.0,20.5%
10,Eric Chouinard,UTA,22,F,32,12,12,24,16,2.0,4,0,1,0.375,0.375,0.75,96.0,12.5%
2,Eric Landry,UTA,26,F,73,26,36,62,119,8.0,12,0,5,0.356,0.493,0.849,202.0,12.9%
28,Fraser Clair,UTA,21,F,15,0,1,1,12,-5.0,0,0,0,0.0,0.067,0.067,12.0,0.0%
5,Gavin Morgan,UTA,26,F,73,15,24,39,244,-27.0,5,3,0,0.205,0.329,0.534,167.0,9.0%
3,Greg Hawgood,UTA,34,D,70,15,42,57,76,-14.0,8,0,4,0.214,0.6,0.814,181.0,8.3%
29,Jason Bacashihua,UTA,20,G,39,0,1,1,2,,0,0,0,0.0,0.026,0.026,,
32,Jay Banach,UTA,23,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
17,Jeff Bateman,UTA,21,F,60,8,8,16,60,-5.0,2,1,3,0.133,0.133,0.267,66.0,12.1%
18,Jeff MacMillan,UTA,23,D,78,8,7,15,132,-9.0,1,0,3,0.103,0.09,0.192,119.0,6.7%
1,Jim Montgomery,UTA,33,F,72,22,46,68,109,-4.0,8,2,6,0.306,0.639,0.944,122.0,18.0%
22,John Erskine,UTA,22,D,52,2,8,10,274,2.0,0,0,0,0.038,0.154,0.192,80.0,2.5%
4,Jon Sim,UTA,25,F,42,16,31,47,85,11.0,10,1,2,0.381,0.738,1.119,186.0,8.6%
19,Justin Cox,UTA,21,F,53,3,12,15,22,-4.0,1,1,0,0.057,0.226,0.283,93.0,3.2%
13,Marc-Andre Thinel,UTA,21,F,44,5,15,20,10,-8.0,2,0,1,0.114,0.341,0.455,76.0,6.6%
14,Marcus Kristoffersson,UTA,23,F,62,10,9,19,58,-5.0,3,0,2,0.161,0.145,0.306,75.0,13.3%
7,Mark Wotton,UTA,29,D,69,8,26,34,68,-1.0,0,2,1,0.116,0.377,0.493,141.0,5.7%
23,Matthieu Descoteaux,UTA,25,D,48,3,3,6,47,-3.0,1,0,0,0.063,0.063,0.125,45.0,6.7%
24,Mike Garrow,UTA,27,D,12,1,2,3,8,0.0,0,0,1,0.083,0.167,0.25,14.0,7.1%
27,Mike Sgroi,UTA,24,F,26,1,0,1,59,-6.0,0,0,0,0.038,0.0,0.038,10.0,10.0%
34,Mike Smith,UTA,20,G,11,0,0,0,12,,0,0,0,0.0,0.0,0.0,,
31,Peter Hogan,UTA,24,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
33,Sami Helenius,UTA,28,D,4,0,0,0,14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
8,Steve Gainey,UTA,23,F,68,9,17,26,106,-4.0,4,1,1,0.132,0.25,0.382,101.0,8.9%
12,Steve Ott,UTA,20,F,40,9,11,20,98,-1.0,5,0,2,0.225,0.275,0.5,79.0,11.4%
