Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
11,Allan Rourke,LOW,24,D,60,7,9,16,75,11.0,2,2,3,0.117,0.15,0.267,114.0,6.1%
21,Brad Fast,LOW,24,D,32,1,5,6,23,-4.0,1,0,0,0.031,0.156,0.188,48.0,2.1%
25,Brantt Myhres,LOW,30,F,29,1,1,2,77,-2.0,0,0,0,0.034,0.034,0.069,13.0,7.7%
20,Brennan Evans,LOW,22,D,51,0,7,7,79,1.0,0,0,0,0.0,0.137,0.137,39.0,0.0%
30,Brent Krahn,LOW,22,G,35,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
14,Bruno St. Jacques,LOW,24,D,68,2,12,14,60,24.0,0,0,1,0.029,0.176,0.206,86.0,2.3%
31,Cam Ward,LOW,20,G,50,0,0,0,19,,0,0,0,0.0,0.0,0.0,,
10,Carsen Germyn,LOW,22,F,60,9,11,20,115,10.0,2,0,1,0.15,0.183,0.333,76.0,11.8%
5,Chad Larose,LOW,22,F,66,20,22,42,32,10.0,10,2,2,0.303,0.333,0.636,161.0,12.4%
2,Chuck Kobasew,LOW,22,F,79,38,37,75,110,37.0,9,1,12,0.481,0.468,0.949,250.0,15.2%
3,Colin Forbes,LOW,28,F,76,27,37,64,80,32.0,7,0,2,0.355,0.487,0.842,208.0,13.0%
8,Craig MacDonald,LOW,27,F,71,10,18,28,104,-3.0,3,0,3,0.141,0.254,0.394,141.0,7.1%
15,Danny Richmond,LOW,20,D,63,4,9,13,139,4.0,0,0,2,0.063,0.143,0.206,83.0,4.8%
16,Dustin Johner,LOW,21,F,23,4,8,12,12,4.0,0,0,0,0.174,0.348,0.522,19.0,21.1%
1,Eric Staal,LOW,20,F,77,26,51,77,88,37.0,2,7,4,0.338,0.662,1.0,224.0,11.6%
28,Ernie Hartlieb,LOW,25,F,2,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
18,Gordie Dwyer,LOW,26,F,56,2,7,9,183,-1.0,0,0,0,0.036,0.125,0.161,54.0,3.7%
29,Jason Spence,LOW,25,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
24,Jim Henkel,LOW,25,F,28,0,3,3,15,-5.0,0,0,0,0.0,0.107,0.107,29.0,0.0%
17,Justin Taylor,LOW,21,F,62,8,3,11,35,-3.0,0,0,2,0.129,0.048,0.177,49.0,16.3%
13,Lynn Loyns,LOW,23,F,77,7,8,15,42,4.0,1,0,0,0.091,0.104,0.195,99.0,7.1%
12,Mark Giordano,LOW,21,D,66,6,10,16,85,13.0,3,0,2,0.091,0.152,0.242,90.0,6.7%
23,Matt Hendricks,LOW,23,F,15,1,2,3,10,-1.0,1,0,0,0.067,0.133,0.2,32.0,3.1%
22,Matthew Lombardi,LOW,22,F,9,3,1,4,9,0.0,0,1,0,0.333,0.111,0.444,19.0,15.8%
4,Michael Zigomanis,LOW,23,F,76,29,31,60,71,7.0,7,2,5,0.382,0.408,0.789,238.0,12.2%
7,Mike Commodore,LOW,25,D,73,6,29,35,175,23.0,3,2,0,0.082,0.397,0.479,143.0,4.2%
9,Richie Regehr,LOW,21,D,64,9,16,25,60,20.0,4,0,1,0.141,0.25,0.391,179.0,5.0%
6,Ryan Bayda,LOW,24,F,80,13,27,40,91,-7.0,4,1,1,0.163,0.338,0.5,212.0,6.1%
19,Sean Curry,LOW,22,D,61,2,7,9,103,1.0,0,0,0,0.033,0.115,0.148,55.0,3.6%
26,Shaun Sutter,LOW,24,F,3,1,0,1,2,1.0,0,0,0,0.333,0.0,0.333,5.0,20.0%
27,Steve Saviano,LOW,23,F,6,0,1,1,0,-3.0,0,0,0,0.0,0.167,0.167,15.0,0.0%
