Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
23,Alain Nasreddine,WBS,30,D,71,0,12,12,71,24.0,0,0,0,0.0,0.169,0.169,58.0,0.0%
41,Andy Chiodo,WBS,22,G,14,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
17,Andy Schneider,WBS,24,D,50,3,13,16,54,15.0,2,0,0,0.06,0.26,0.32,67.0,4.5%
26,Arpad Mihaly,WBS,25,F,38,2,6,8,34,-3.0,2,0,0,0.053,0.158,0.211,30.0,6.7%
31,Ben Eaves,WBS,23,F,5,1,2,3,0,1.0,1,0,0,0.2,0.4,0.6,8.0,12.5%
39,Cam Paddock,WBS,22,F,4,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
11,Chris Kelleher,WBS,30,D,52,3,26,29,48,12.0,3,0,1,0.058,0.5,0.558,78.0,3.9%
9,Colby Armstrong,WBS,23,F,31,11,18,29,44,14.0,4,0,2,0.355,0.581,0.935,64.0,17.2%
13,Daniel Carcillo,WBS,20,F,51,11,13,24,311,8.0,1,1,2,0.216,0.255,0.471,114.0,9.7%
28,Daniel Fernholm,WBS,22,D,27,1,6,7,10,0.0,0,0,0,0.037,0.222,0.259,28.0,3.6%
32,Dany Sabourin,WBS,25,G,49,0,3,3,10,,0,0,0,0.0,0.061,0.061,,
40,David Koc�,WBS,24,F,13,0,0,0,59,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
19,Dennis Bonvie,WBS,32,F,70,2,13,15,431,7.0,0,0,0,0.029,0.186,0.214,37.0,5.4%
21,Drew Fata,WBS,22,D,28,1,12,13,98,3.0,1,0,0,0.036,0.429,0.464,57.0,1.8%
2,Erik Christensen,WBS,22,F,48,24,22,46,50,10.0,11,1,4,0.5,0.458,0.958,171.0,14.0%
5,Guillaume Lefebvre,WBS,24,F,66,16,19,35,113,12.0,6,0,3,0.242,0.288,0.53,122.0,13.1%
3,Jonathan Filewich,WBS,21,F,73,22,14,36,40,7.0,6,0,4,0.301,0.192,0.493,151.0,14.6%
14,Kenny Corupe,WBS,25,F,59,11,13,24,42,4.0,0,1,2,0.186,0.22,0.407,98.0,11.2%
22,Konstantin Koltsov,WBS,24,F,18,7,5,12,13,9.0,3,1,3,0.389,0.278,0.667,38.0,18.4%
15,Krys Kolanos,WBS,24,F,18,10,8,18,19,3.0,2,0,2,0.556,0.444,1.0,58.0,17.2%
18,Kurtis McLean,WBS,25,F,32,4,11,15,8,8.0,1,0,1,0.125,0.344,0.469,45.0,8.9%
30,Lasse Pirjet�,WBS,31,F,8,1,4,5,6,0.0,0,0,0,0.125,0.5,0.625,9.0,11.1%
38,Marc-Andre Fleury,WBS,21,G,12,0,1,1,2,,0,0,0,0.0,0.083,0.083,,
1,Matt Hussey,WBS,26,F,65,21,30,51,34,11.0,6,1,7,0.323,0.462,0.785,168.0,12.5%
6,Maxime Talbot,WBS,21,F,42,12,20,32,80,12.0,2,2,0,0.286,0.476,0.762,120.0,10.0%
7,Michel Ouellet,WBS,23,F,19,10,20,30,12,12.0,6,1,1,0.526,1.053,1.579,49.0,20.4%
10,Noah Welch,WBS,23,D,77,9,20,29,99,15.0,6,1,2,0.117,0.26,0.377,158.0,5.7%
29,Paul Bissonnette,WBS,20,D,55,1,5,6,60,2.0,0,0,0,0.018,0.091,0.109,50.0,2.0%
25,Petr Tat�cek,WBS,22,F,17,4,4,8,7,0.0,4,0,1,0.235,0.235,0.471,20.0,20.0%
16,Rico Fata,WBS,25,F,25,8,10,18,39,7.0,2,0,1,0.32,0.4,0.72,63.0,12.7%
27,Rob Scuderi,WBS,27,D,13,0,8,8,8,11.0,0,0,0,0.0,0.615,0.615,21.0,0.0%
24,Ryan Lannon,WBS,23,D,74,2,8,10,65,17.0,0,1,0,0.027,0.108,0.135,33.0,6.1%
4,Ryan Stone,WBS,20,F,75,14,22,36,109,12.0,3,1,3,0.187,0.293,0.48,123.0,11.4%
20,Ryan Whitney,WBS,22,D,9,5,9,14,6,7.0,3,0,3,0.556,1.0,1.556,22.0,22.7%
37,Sean Collins,WBS,22,F,8,0,1,1,2,-3.0,0,0,0,0.0,0.125,0.125,3.0,0.0%
36,Sebastien Caron,WBS,25,G,6,0,1,1,0,,0,0,0,0.0,0.167,0.167,,
33,Shane Endicott,WBS,24,F,8,0,2,2,4,-1.0,0,0,0,0.0,0.25,0.25,13.0,0.0%
8,Stephen Dixon,WBS,20,F,80,12,17,29,45,2.0,2,2,2,0.15,0.213,0.363,114.0,10.5%
35,Terry Virtue,WBS,35,D,4,0,1,1,4,-5.0,0,0,0,0.0,0.25,0.25,7.0,0.0%
34,Tim Verbeek,WBS,26,F,2,0,1,1,4,1.0,0,0,0,0.0,0.5,0.5,2.0,0.0%
12,Tomas Surovy,WBS,24,F,25,16,12,28,26,11.0,9,0,2,0.64,0.48,1.12,110.0,14.6%
