Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2,Andrew Ebbett,BNG,23,F,71,26,39,65,44,7.0,3,5,0,0.366,0.549,0.915,170.0,15.3%
9,Andy Hedlund,BNG,28,D,56,6,21,27,84,-6.0,5,0,1,0.107,0.375,0.482,109.0,5.5%
28,Arpad Mihaly,BNG,26,F,3,1,0,1,0,1.0,0,0,0,0.333,0.0,0.333,4.0,25.0%
7,Arttu Luttinen,BNG,23,F,74,12,17,29,53,-22.0,3,0,1,0.162,0.23,0.392,143.0,8.4%
13,Bobby Robins,BNG,25,F,80,7,8,15,110,-19.0,0,0,1,0.088,0.1,0.188,103.0,6.8%
36,Brian Elliott,BNG,21,G,8,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
14,Brian Maloney,BNG,28,F,39,5,8,13,44,2.0,0,0,0,0.128,0.205,0.333,66.0,7.6%
30,Chanse Fitzpatrick,BNG,22,F,12,1,0,1,37,-3.0,1,0,0,0.083,0.0,0.083,14.0,7.1%
6,Charlie Cook,BNG,24,D,74,11,24,35,65,-19.0,5,0,1,0.149,0.324,0.473,123.0,8.9%
33,Chris Cava,BNG,26,D,2,0,0,0,4,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
26,Cody Bass,BNG,19,F,5,0,2,2,9,-1.0,0,0,0,0.0,0.4,0.4,3.0,0.0%
5,Cory Pecker,BNG,25,F,78,17,30,47,81,-20.0,6,0,0,0.218,0.385,0.603,218.0,7.8%
8,Danny Bois,BNG,23,F,65,14,13,27,153,-25.0,5,0,1,0.215,0.2,0.415,136.0,10.3%
10,Grant Potulny,BNG,26,F,47,10,10,20,85,-18.0,6,1,0,0.213,0.213,0.426,117.0,8.6%
19,Jamie Allison,BNG,31,D,47,2,5,7,97,-1.0,0,1,0,0.043,0.106,0.149,33.0,6.1%
11,Jean-Francois David,BNG,24,D,44,5,14,19,62,-13.0,0,0,0,0.114,0.318,0.432,83.0,6.0%
31,Jeff Glass,BNG,21,G,43,0,1,1,35,,0,0,0,0.0,0.023,0.023,,
1,Jeff Heerema,BNG,26,F,78,36,31,67,75,-1.0,10,4,5,0.462,0.397,0.859,315.0,11.4%
3,Josh Hennessy,BNG,21,F,76,27,30,57,54,-5.0,8,4,4,0.355,0.395,0.75,186.0,14.5%
25,Kaspars Daugavins,BNG,18,F,11,2,0,2,9,0.0,0,0,1,0.182,0.0,0.182,17.0,11.8%
37,Kelly Guard,BNG,23,G,42,0,0,0,7,,0,0,0,0.0,0.0,0.0,,
23,Kevin Saurette,BNG,26,F,24,2,2,4,8,-9.0,1,0,1,0.083,0.083,0.167,25.0,8.0%
32,Lee Green,BNG,25,D,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
17,Matt Koalska,BNG,26,F,37,5,6,11,22,-12.0,0,0,0,0.135,0.162,0.297,61.0,8.2%
27,Michal Barinka,BNG,22,D,17,0,2,2,22,-2.0,0,0,0,0.0,0.118,0.118,18.0,0.0%
22,Mike Sgroi,BNG,28,F,32,1,4,5,125,0.0,0,0,0,0.031,0.125,0.156,19.0,5.3%
18,Neil Komadoski,BNG,24,D,68,3,4,7,81,-4.0,0,1,1,0.044,0.059,0.103,62.0,4.8%
16,Neil Petruic,BNG,24,D,74,1,12,13,89,-22.0,0,0,0,0.014,0.162,0.176,72.0,1.4%
34,Rob LaLonde,BNG,24,D,3,0,0,0,4,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
20,Rory Rawlyk,BNG,23,D,27,1,6,7,22,-9.0,1,0,0,0.037,0.222,0.259,40.0,2.5%
4,Ryan Vesce,BNG,24,F,80,16,35,51,51,-26.0,8,2,1,0.2,0.438,0.638,249.0,6.4%
12,Serge Payer,BNG,27,F,43,6,12,18,31,-16.0,1,1,0,0.14,0.279,0.419,88.0,6.8%
29,Shawn Collymore,BNG,23,F,9,1,0,1,2,-1.0,0,0,0,0.111,0.0,0.111,9.0,11.1%
35,Shawn Weller,BNG,20,F,5,0,0,0,4,-3.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
21,Terry Virtue,BNG,36,D,23,1,4,5,27,-7.0,0,0,0,0.043,0.174,0.217,31.0,3.2%
24,Tomas Kudelka,BNG,19,D,11,1,2,3,8,-2.0,0,0,1,0.091,0.182,0.273,13.0,7.7%
15,Tomas Malec,BNG,24,D,33,1,12,13,35,1.0,1,0,0,0.03,0.364,0.394,43.0,2.3%
