Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
11,Allan Rourke,BRI,26,D,60,5,15,20,60,-9.0,1,2,0,0.083,0.25,0.333,87.0,5.8%
45,Andrew MacDonald,BRI,20,D,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
37,Billy Thompson,BRI,24,G,33,0,1,1,4,,0,0,0,0.0,0.03,0.03,,
6,Blake Comeau,BRI,20,F,61,12,31,43,46,-8.0,4,2,1,0.197,0.508,0.705,123.0,9.8%
9,Brandon Nolan,BRI,23,F,40,9,13,22,59,-7.0,3,0,0,0.225,0.325,0.55,74.0,12.2%
43,Bruno Gervais,BRI,22,D,3,0,0,0,6,-2.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
24,Cam McCaffrey,BRI,23,F,8,2,4,6,5,6.0,0,0,0,0.25,0.5,0.75,5.0,40.0%
22,Chris Campoli,BRI,22,D,15,3,3,6,8,-11.0,2,1,0,0.2,0.2,0.4,36.0,8.3%
38,Chris Lee,BRI,26,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
34,David Desharnais,BRI,20,F,7,1,1,2,4,-2.0,1,0,0,0.143,0.143,0.286,11.0,9.1%
20,Drew Fata,BRI,23,D,64,3,7,10,185,-6.0,1,0,0,0.047,0.109,0.156,108.0,2.8%
28,Dustin VanBallegooie,BRI,23,D,11,0,4,4,4,0.0,0,0,0,0.0,0.364,0.364,8.0,0.0%
2,Eric Boguniecki,BRI,31,F,48,22,32,54,48,-9.0,10,1,6,0.458,0.667,1.125,107.0,20.6%
5,Frans Nielsen,BRI,22,F,54,20,24,44,10,7.0,4,3,3,0.37,0.444,0.815,144.0,13.9%
18,Gregg Johnson,BRI,24,F,35,6,7,13,12,-16.0,2,0,1,0.171,0.2,0.371,73.0,8.2%
29,James Sixsmith,BRI,22,F,3,2,1,3,0,3.0,0,0,0,0.667,0.333,1.0,6.0,33.3%
17,Jamie Fraser,BRI,21,D,43,3,11,14,16,-3.0,2,0,0,0.07,0.256,0.326,59.0,5.1%
16,Jamie Johnson,BRI,24,F,34,5,11,16,18,-4.0,1,0,0,0.147,0.324,0.471,47.0,10.6%
47,Jason Goulet,BRI,23,D,8,0,0,0,20,-2.0,0,0,0,0.0,0.0,0.0,8.0,0.0%
12,Jason Pitton,BRI,20,F,76,9,10,19,65,-11.0,0,0,2,0.118,0.132,0.25,109.0,8.3%
1,Jeff Tambellini,BRI,22,F,50,30,29,59,46,10.0,10,1,2,0.6,0.58,1.18,187.0,16.0%
8,Jeremy Colliton,BRI,21,F,45,10,12,22,32,-14.0,1,1,2,0.222,0.267,0.489,96.0,10.4%
32,Joel Bouchard,BRI,32,D,4,0,3,3,0,-1.0,0,0,0,0.0,0.75,0.75,11.0,0.0%
35,Johan Halvardsson,BRI,27,D,8,1,1,2,8,-1.0,0,0,0,0.125,0.125,0.25,7.0,14.3%
25,Ken Magowan,BRI,25,F,29,2,3,5,22,-5.0,0,1,0,0.069,0.103,0.172,52.0,3.9%
19,Kevin Mitchell,BRI,26,D,45,1,12,13,53,-8.0,0,0,1,0.022,0.267,0.289,70.0,1.4%
27,Kyle Rank,BRI,24,F,10,2,2,4,5,1.0,0,0,0,0.2,0.2,0.4,16.0,12.5%
33,Lance Galbraith,BRI,26,F,7,0,3,3,7,-2.0,0,0,0,0.0,0.429,0.429,15.0,0.0%
30,Luch Aquino,BRI,21,F,13,2,1,3,6,-7.0,2,0,0,0.154,0.077,0.231,17.0,11.8%
7,Mark Wotton,BRI,33,D,78,9,24,33,56,-10.0,1,0,1,0.115,0.308,0.423,122.0,7.4%
14,Masi Marjam�ki,BRI,21,F,78,6,11,17,80,-27.0,1,1,1,0.077,0.141,0.218,99.0,6.1%
44,Matt Koalska,BRI,26,F,3,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
40,Matt Reid,BRI,28,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
48,Michael Mole,BRI,24,G,15,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
46,Nick Martens,BRI,24,D,7,0,0,0,2,-3.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
10,Peter Ferraro,BRI,33,F,37,10,10,20,37,-14.0,3,0,0,0.27,0.27,0.541,67.0,14.9%
15,Petteri Nokelainen,BRI,20,F,60,6,10,16,51,-11.0,0,0,0,0.1,0.167,0.267,83.0,7.2%
13,Rick Berry,BRI,28,D,76,3,15,18,155,-10.0,0,0,1,0.039,0.197,0.237,72.0,4.2%
42,Rob Rankin,BRI,24,F,2,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
4,Robert Nilsson,BRI,21,F,50,12,34,46,34,-2.0,5,0,1,0.24,0.68,0.92,127.0,9.5%
23,Sergei Ogorodnikov,BRI,20,F,27,3,3,6,10,-9.0,2,0,1,0.111,0.111,0.222,24.0,12.5%
26,Stephen Wood,BRI,25,D,12,1,4,5,6,-3.0,0,0,1,0.083,0.333,0.417,18.0,5.6%
41,Steve Crampton,BRI,24,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
3,Steve Regier,BRI,22,F,77,19,27,46,77,-6.0,7,3,5,0.247,0.351,0.597,174.0,10.9%
39,Todd Griffith,BRI,21,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
21,Tomas Malec,BRI,24,D,43,2,7,9,44,-8.0,1,0,0,0.047,0.163,0.209,48.0,4.2%
31,Trevor Smith,BRI,21,F,8,1,2,3,2,1.0,0,0,0,0.125,0.25,0.375,14.0,7.1%
36,Wade Dubielewicz,BRI,27,G,40,0,2,2,0,,0,0,0,0.0,0.05,0.05,,
