Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
20,Ajay Baines,HAM,29,F,58,6,3,9,61,-8.0,0,0,0,0.103,0.052,0.155,87.0,6.9%
18,Andrew Archer,HAM,24,D,64,1,10,11,49,-6.0,0,0,0,0.016,0.156,0.172,41.0,2.4%
19,Brett Engelhardt,HAM,27,F,25,5,5,10,29,11.0,0,0,0,0.2,0.2,0.4,42.0,11.9%
22,Brock Trotter,HAM,20,F,21,3,6,9,4,2.0,0,0,0,0.143,0.286,0.429,30.0,10.0%
35,Carey Price,HAM,20,G,10,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
33,Cedrick Desjardins,HAM,22,G,12,0,1,1,2,,0,0,0,0.0,0.083,0.083,,
27,Conrad Martin,HAM,25,D,43,0,6,6,38,5.0,0,0,0,0.0,0.14,0.14,18.0,0.0%
1,Corey Locke,HAM,23,F,78,30,42,72,50,4.0,7,2,6,0.385,0.538,0.923,206.0,14.6%
21,Cory Urquhart,HAM,23,F,21,5,4,9,14,-3.0,1,0,0,0.238,0.19,0.429,55.0,9.1%
7,Daniel Corso,HAM,29,F,35,7,18,25,12,-4.0,3,0,1,0.2,0.514,0.714,52.0,13.5%
31,David Desharnais,HAM,21,F,4,0,1,1,6,-3.0,0,0,0,0.0,0.25,0.25,3.0,0.0%
4,Duncan Milroy,HAM,24,F,79,15,24,39,37,5.0,1,0,3,0.19,0.304,0.494,152.0,9.9%
6,Eric Manlow,HAM,32,F,76,12,18,30,30,-3.0,3,0,3,0.158,0.237,0.395,127.0,9.5%
26,Francis Lemieux,HAM,23,F,33,0,6,6,27,-5.0,0,0,0,0.0,0.182,0.182,43.0,0.0%
34,Gerard Miller,HAM,24,D,2,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
13,Gregory Stewart,HAM,21,F,69,10,7,17,137,-8.0,2,0,0,0.145,0.101,0.246,70.0,14.3%
32,James Wyman,HAM,21,F,8,0,1,1,5,-8.0,0,0,0,0.0,0.125,0.125,9.0,0.0%
12,Janne Lahti,HAM,25,F,65,9,9,18,47,-10.0,2,0,3,0.138,0.138,0.277,116.0,7.8%
36,Jaroslav Halak,HAM,22,G,28,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
16,Jean-Philippe Cote,HAM,25,D,79,1,12,13,112,3.0,1,0,0,0.013,0.152,0.165,73.0,1.4%
30,Jimmy Bonneau,HAM,22,F,6,1,0,1,5,-1.0,0,0,0,0.167,0.0,0.167,4.0,25.0%
24,Joel Bouchard,HAM,33,D,20,1,6,7,18,2.0,1,0,0,0.05,0.3,0.35,25.0,4.0%
29,Jon Gleed,HAM,23,D,22,0,2,2,14,-17.0,0,0,0,0.0,0.091,0.091,13.0,0.0%
3,Jonathan Ferland,HAM,24,F,80,16,24,40,97,-1.0,9,0,3,0.2,0.3,0.5,185.0,8.7%
10,Kyle Chipchura,HAM,21,F,39,10,11,21,27,-1.0,0,3,0,0.256,0.282,0.538,80.0,12.5%
5,Marvin Degon,HAM,24,D,79,9,22,31,56,0.0,6,0,0,0.114,0.278,0.392,197.0,4.6%
25,Mathieu Aubin,HAM,21,F,20,2,4,6,8,-2.0,1,0,1,0.1,0.2,0.3,41.0,4.9%
17,Mathieu Biron,HAM,27,D,35,6,6,12,38,-12.0,4,1,2,0.171,0.171,0.343,73.0,8.2%
8,Mathieu Carle,HAM,20,D,64,7,17,24,43,-6.0,3,0,2,0.109,0.266,0.375,77.0,9.1%
2,Matt D'Agostini,HAM,21,F,76,23,30,53,38,-22.0,6,0,4,0.303,0.395,0.697,235.0,9.8%
15,Maxim Lapierre,HAM,22,F,19,7,7,14,63,2.0,1,0,1,0.368,0.368,0.737,62.0,11.3%
11,Mikhail Grabovski,HAM,23,F,12,8,12,20,6,2.0,4,0,4,0.667,1.0,1.667,42.0,19.1%
14,Pavel Valentenko,HAM,20,D,57,1,15,16,58,3.0,1,0,0,0.018,0.263,0.281,54.0,1.9%
23,Ryan O'Byrne,HAM,23,D,20,2,6,8,49,3.0,0,0,0,0.1,0.3,0.4,18.0,11.1%
28,Ryan Russell,HAM,20,F,25,2,1,3,4,-6.0,0,0,0,0.08,0.04,0.12,22.0,9.1%
9,Sergei Kostitsyn,HAM,20,F,22,6,16,22,18,2.0,1,0,0,0.273,0.727,1.0,47.0,12.8%
37,Yann Danis,HAM,26,G,38,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
