Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
33,Aaron Gagnon,IA,21,F,25,0,1,1,8,-1.0,0,0,0,0.0,0.04,0.04,41.0,0.0%
34,Brad Winchester,IA,26,F,1,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
8,Brandon Crombeen,IA,22,F,65,14,14,28,158,1.0,1,0,2,0.215,0.215,0.431,151.0,9.3%
26,Brett Westgarth,IA,25,D,37,2,3,5,89,-2.0,0,0,0,0.054,0.081,0.135,21.0,9.5%
16,Bryce Lampman,IA,25,D,53,4,11,15,32,4.0,0,0,2,0.075,0.208,0.283,47.0,8.5%
5,Chris Conner,IA,24,F,55,13,26,39,17,-4.0,2,2,1,0.236,0.473,0.709,115.0,11.3%
9,Chris Lee,IA,27,D,68,7,21,28,42,1.0,4,0,2,0.103,0.309,0.412,108.0,6.5%
18,Dan Jancevski,IA,26,D,33,3,7,10,36,-9.0,2,0,1,0.091,0.212,0.303,38.0,7.9%
38,David McKee,IA,24,G,2,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
28,Ethan Graham,IA,25,D,47,1,4,5,36,-7.0,0,0,0,0.021,0.085,0.106,25.0,4.0%
24,Francis Wathier,IA,23,F,19,2,3,5,17,-2.0,0,0,0,0.105,0.158,0.263,30.0,6.7%
6,James Neal,IA,20,F,62,18,19,37,63,1.0,7,0,1,0.29,0.306,0.597,136.0,13.2%
3,Janos Vas,IA,23,F,80,17,24,41,51,-12.0,4,3,3,0.213,0.3,0.513,214.0,7.9%
39,Jeremy Scherlinck,IA,25,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
23,Joel Lundqvist,IA,25,F,8,2,4,6,2,-3.0,0,0,0,0.25,0.5,0.75,26.0,7.7%
35,John Lammers,IA,21,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
36,Jon Booras,IA,25,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
10,Junior Lessard,IA,27,F,36,10,11,21,15,-6.0,6,0,0,0.278,0.306,0.583,94.0,10.6%
17,Jussi Timonen,IA,24,D,33,0,11,11,12,-8.0,0,0,0,0.0,0.333,0.333,33.0,0.0%
4,Konstantin Pushkarev,IA,22,F,49,13,27,40,52,4.0,4,0,0,0.265,0.551,0.816,89.0,14.6%
29,Loui Eriksson,IA,22,F,2,1,2,3,2,1.0,0,0,0,0.5,1.0,1.5,4.0,25.0%
20,Mario Scalzo,IA,23,D,15,1,8,9,10,1.0,0,0,1,0.067,0.533,0.6,38.0,2.6%
12,Marius Holtet,IA,23,F,67,10,9,19,37,-17.0,2,0,4,0.149,0.134,0.284,177.0,5.7%
22,Mark Bomersback,IA,25,F,21,2,5,7,13,5.0,0,0,1,0.095,0.238,0.333,32.0,6.3%
27,Mark Fistric,IA,21,D,30,1,4,5,48,-9.0,0,0,0,0.033,0.133,0.167,27.0,3.7%
1,Marty Sertich,IA,25,F,79,27,25,52,42,-8.0,9,0,5,0.342,0.316,0.658,151.0,17.9%
40,Mathieu Beaudoin,IA,23,F,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
42,Matt Climie,IA,24,G,6,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
41,Matt Stephenson,IA,23,D,5,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
37,Mitch O'Keefe,IA,23,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
44,Niklas Grossman,IA,22,D,10,0,0,0,10,1.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
13,Nolan Baumgartner,IA,31,D,56,5,13,18,47,-8.0,5,0,1,0.089,0.232,0.321,78.0,6.4%
25,Paul Szczechura,IA,22,F,29,2,3,5,15,-3.0,0,0,0,0.069,0.103,0.172,38.0,5.3%
7,Perttu Lindgren,IA,20,F,69,10,24,34,6,-17.0,0,0,1,0.145,0.348,0.493,136.0,7.4%
45,Philippe Sauve,IA,27,G,12,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
19,Raymond Sawada,IA,22,F,10,2,7,9,14,5.0,0,1,0,0.2,0.7,0.9,15.0,13.3%
21,Rich Clune,IA,20,F,38,3,5,8,137,-6.0,0,0,1,0.079,0.132,0.211,38.0,7.9%
43,Steve Silverthorn,IA,26,G,9,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
46,Tobias Stephan,IA,23,G,60,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
2,Toby Petersen,IA,29,F,63,21,30,51,24,-2.0,6,0,2,0.333,0.476,0.81,189.0,11.1%
11,Tom Wandell,IA,20,F,53,10,9,19,16,5.0,1,0,1,0.189,0.17,0.358,70.0,14.3%
15,Trevor Byrne,IA,27,D,73,3,13,16,79,-11.0,0,0,1,0.041,0.178,0.219,69.0,4.4%
30,Trevor Ludwig,IA,22,D,7,0,3,3,12,3.0,0,0,0,0.0,0.429,0.429,3.0,0.0%
31,Tyler Shelast,IA,23,F,11,1,1,2,0,-1.0,1,0,0,0.091,0.091,0.182,12.0,8.3%
32,Vadim Khomitsky,IA,25,D,7,1,0,1,10,-1.0,0,0,0,0.143,0.0,0.143,11.0,9.1%
14,Vojtech Pol�k,IA,22,F,35,6,10,16,18,-8.0,1,0,0,0.171,0.286,0.457,76.0,7.9%
