Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
23,Aaron MacKenzie,PEO,26,D,55,0,5,5,20,-2.0,0,0,0,0.0,0.091,0.091,41.0,0.0%
15,Alex Brooks,PEO,31,D,70,0,8,8,90,5.0,0,0,0,0.0,0.114,0.114,43.0,0.0%
21,Alexander Hellstr�m,PEO,20,D,35,3,2,5,38,8.0,0,0,1,0.086,0.057,0.143,20.0,15.0%
40,Ben Bishop,PEO,21,G,5,0,0,0,9,,0,0,0,0.0,0.0,0.0,,
22,Cam Keith,PEO,27,F,26,2,3,5,32,-2.0,0,0,0,0.077,0.115,0.192,23.0,8.7%
36,Casey Handrahan,PEO,27,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2,Charles Linglet,PEO,25,F,80,24,42,66,65,12.0,8,0,0,0.3,0.525,0.825,240.0,10.0%
43,Chris Beckford-Tseu,PEO,23,G,34,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
10,Chris Porter,PEO,23,F,80,12,25,37,72,-4.0,1,0,2,0.15,0.313,0.463,158.0,7.6%
26,Derick Martin,PEO,26,D,2,0,2,2,5,2.0,0,0,0,0.0,1.0,1.0,0.0,0.00%
28,Eric Neilson,PEO,23,F,18,0,2,2,82,4.0,0,0,0,0.0,0.111,0.111,9.0,0.0%
33,Erik Johnson,PEO,19,D,1,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
42,Hannu Toivonen,PEO,23,G,11,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
17,Hans Benson,PEO,24,F,44,3,4,7,265,-3.0,0,0,1,0.068,0.091,0.159,18.0,16.7%
39,Jason Bacashihua,PEO,25,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
38,Jason Dest,PEO,23,D,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
1,Jean-Guy Trudel,PEO,32,F,78,23,44,67,56,-4.0,10,0,2,0.295,0.564,0.859,237.0,9.7%
11,Jeff Woywitka,PEO,24,D,52,10,20,30,35,15.0,0,0,3,0.192,0.385,0.577,88.0,11.4%
20,Jim Jackson,PEO,27,D,17,1,5,6,28,0.0,1,0,0,0.059,0.294,0.353,47.0,2.1%
31,Joe Grimaldi,PEO,21,D,4,0,1,1,6,4.0,0,0,0,0.0,0.25,0.25,3.0,0.0%
35,Jon Booras,PEO,25,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
24,Josh Soares,PEO,25,F,7,2,2,4,0,1.0,0,0,0,0.286,0.286,0.571,10.0,20.0%
5,Julian Talbot,PEO,22,F,78,24,26,50,53,13.0,7,1,2,0.308,0.333,0.641,133.0,18.1%
34,Juuso Riksman,PEO,30,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
37,Leo Thomas,PEO,26,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
32,Marek Schwarz,PEO,21,G,33,0,1,1,4,,0,0,0,0.0,0.03,0.03,,
3,Martin Kariya,PEO,26,F,71,16,37,53,29,12.0,4,2,1,0.225,0.521,0.746,120.0,13.3%
18,Michal Birner,PEO,21,F,18,2,5,7,4,-3.0,1,0,0,0.111,0.278,0.389,36.0,5.6%
7,Micki Dupont,PEO,27,D,76,10,36,46,77,1.0,4,0,4,0.132,0.474,0.605,263.0,3.8%
6,Mike Glumac,PEO,27,F,75,21,28,49,99,1.0,8,2,2,0.28,0.373,0.653,213.0,9.9%
30,Neil Komadoski,PEO,25,D,3,0,1,1,2,5.0,0,0,0,0.0,0.333,0.333,3.0,0.0%
8,Nicholas Drazenovic,PEO,20,F,69,16,26,42,38,13.0,2,0,3,0.232,0.377,0.609,121.0,13.2%
9,Nikolai Lemtyugov,PEO,21,F,69,22,15,37,71,-3.0,2,0,1,0.319,0.217,0.536,119.0,18.5%
29,Petr Caj�nek,PEO,32,F,4,1,0,1,0,2.0,0,0,0,0.25,0.0,0.25,7.0,14.3%
19,Roman Pol�k,PEO,21,D,34,0,7,7,33,-8.0,0,0,0,0.0,0.206,0.206,51.0,0.0%
13,Ryan Glenn,PEO,27,D,63,5,11,16,32,-4.0,1,1,2,0.079,0.175,0.254,85.0,5.9%
41,Ryan Murphy,PEO,24,F,10,0,0,0,6,-2.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
16,Ryan Reaves,PEO,20,F,31,4,3,7,46,5.0,0,0,3,0.129,0.097,0.226,18.0,22.2%
27,Stephen Wood,PEO,26,D,4,0,2,2,4,4.0,0,0,0,0.0,0.5,0.5,13.0,0.0%
14,Steve Wagner,PEO,23,D,23,5,7,12,16,2.0,0,0,1,0.217,0.304,0.522,42.0,11.9%
4,Trent Whitfield,PEO,30,F,80,22,30,52,51,-13.0,8,2,4,0.275,0.375,0.65,225.0,9.8%
25,Tyson Strachan,PEO,23,D,34,1,2,3,61,5.0,0,0,0,0.029,0.059,0.088,30.0,3.3%
12,Yan Stastny,PEO,25,F,43,13,11,24,69,7.0,1,1,1,0.302,0.256,0.558,76.0,17.1%
