Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
7,Adam Cracknell,QC,23,F,79,10,16,26,36,-12.0,3,0,1,0.127,0.203,0.329,169.0,5.9%
22,Aki Seitsonen,QC,22,F,45,4,2,6,10,1.0,0,0,1,0.089,0.044,0.133,41.0,9.8%
5,Anders Eriksson,QC,33,D,64,4,45,49,60,8.0,2,0,2,0.063,0.703,0.766,145.0,2.8%
27,Brad Brown,QC,33,D,46,1,1,2,96,2.0,0,0,0,0.022,0.022,0.043,21.0,4.8%
15,Brad Cole,QC,22,D,73,3,8,11,53,9.0,1,1,0,0.041,0.11,0.151,95.0,3.2%
25,Brad Farynuk,QC,26,D,17,1,2,3,12,1.0,0,0,0,0.059,0.118,0.176,24.0,4.2%
18,Brandon Roach,QC,23,D,20,1,7,8,8,0.0,1,0,0,0.05,0.35,0.4,28.0,3.6%
31,Brandon Straub,QC,25,F,4,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
14,Brett Palin,QC,24,D,57,5,10,15,40,-1.0,1,0,0,0.088,0.175,0.263,76.0,6.6%
8,Brett Sutter,QC,21,F,71,10,15,25,50,-3.0,0,3,0,0.141,0.211,0.352,132.0,7.6%
9,Cam Cunning,QC,23,F,63,7,14,21,38,2.0,0,0,0,0.111,0.222,0.333,113.0,6.2%
2,Carsen Germyn,QC,26,F,75,13,47,60,57,-2.0,6,0,3,0.173,0.627,0.8,216.0,6.0%
30,Craig Switzer,QC,24,D,2,0,0,0,0,-3.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
16,Dan Ryder,QC,21,F,19,3,6,9,14,0.0,0,0,0,0.158,0.316,0.474,36.0,8.3%
19,Dan Spang,QC,25,D,30,1,7,8,10,-14.0,0,0,0,0.033,0.233,0.267,48.0,2.1%
6,David Van der Gulik,QC,25,F,73,17,19,36,58,5.0,8,1,3,0.233,0.26,0.493,169.0,10.1%
26,Dustin Boyd,QC,22,F,5,2,0,2,2,1.0,0,0,0,0.4,0.0,0.4,17.0,11.8%
23,Gord Baldwin,QC,21,D,55,2,4,6,39,6.0,0,0,0,0.036,0.073,0.109,37.0,5.4%
24,Hugo Carpentier,QC,20,F,17,2,2,4,8,0.0,1,0,0,0.118,0.118,0.235,11.0,18.2%
28,J.D. Watt,QC,21,F,42,0,2,2,146,-1.0,0,0,0,0.0,0.048,0.048,27.0,0.0%
3,Jamie Lundmark,QC,27,F,54,15,37,52,31,-13.0,8,0,4,0.278,0.685,0.963,138.0,10.9%
10,John Armstrong,QC,20,F,68,5,15,20,72,-2.0,0,0,0,0.074,0.221,0.294,75.0,6.7%
13,John Vigilante,QC,23,F,24,7,8,15,2,-4.0,3,1,0,0.292,0.333,0.625,49.0,14.3%
32,Jonathan Tremblay,QC,24,F,5,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
20,Justin Bowers,QC,23,F,18,4,3,7,11,0.0,1,0,1,0.222,0.167,0.389,26.0,15.4%
29,Kevin Lalande,QC,21,G,6,0,1,1,0,,0,0,0,0.0,0.167,0.167,,
4,Kris Chucko,QC,22,F,74,28,23,51,59,-8.0,7,1,7,0.378,0.311,0.689,256.0,10.9%
1,Kyle Greentree,QC,25,F,79,39,37,76,63,-4.0,20,1,6,0.494,0.468,0.962,264.0,14.8%
34,Leland Irving,QC,20,G,47,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
33,Matt Keetley,QC,22,G,33,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
17,Matt Pelech,QC,21,D,59,3,6,9,130,-3.0,0,0,0,0.051,0.102,0.153,80.0,3.8%
21,Pete Vandermeer,QC,33,F,80,5,1,6,185,-3.0,0,0,0,0.063,0.013,0.075,64.0,7.8%
11,Ryan Wilson,QC,21,D,60,4,16,20,56,-6.0,4,0,0,0.067,0.267,0.333,71.0,5.6%
12,Warren Peters,QC,26,F,62,11,6,17,51,-8.0,0,1,3,0.177,0.097,0.274,120.0,9.2%
