Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
37,Andreas Lilja,GR,34,D,4,0,0,0,6,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
15,Andy Delmore,GR,33,D,54,5,15,20,32,4.0,0,0,0,0.093,0.278,0.37,125.0,4.0%
18,Brad May,GR,38,F,17,5,5,10,40,-1.0,1,0,0,0.294,0.294,0.588,34.0,14.7%
30,Brandon Wong,GR,23,F,3,0,1,1,0,0.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
26,Brian Lashoff,GR,19,D,6,0,2,2,2,5.0,0,0,0,0.0,0.333,0.333,3.0,0.0%
6,Cory Emmerton,GR,21,F,76,12,25,37,22,0.0,1,0,0,0.158,0.329,0.487,114.0,10.5%
41,Daniel Larsson,GR,23,G,53,0,0,0,14,,0,0,0,0.0,0.0,0.0,,
39,David Rohlfs,GR,25,F,5,0,0,0,2,-4.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
22,Dick Axelsson,GR,22,F,17,2,3,5,6,1.0,1,0,0,0.118,0.176,0.294,21.0,9.5%
7,Doug Janik,GR,29,D,66,6,31,37,84,4.0,0,0,1,0.091,0.47,0.561,116.0,5.2%
16,Evan McGrath,GR,23,F,57,8,11,19,25,-18.0,1,0,2,0.14,0.193,0.333,84.0,9.5%
19,Francis Lemieux,GR,25,F,21,2,8,10,20,-4.0,0,0,0,0.095,0.381,0.476,35.0,5.7%
5,Francis Pare,GR,22,F,77,16,23,39,20,19.0,3,1,3,0.208,0.299,0.506,150.0,10.7%
10,Jakub Kindl,GR,22,D,73,3,30,33,59,-4.0,1,0,0,0.041,0.411,0.452,142.0,2.1%
8,Jamie Tardif,GR,24,F,77,16,17,33,90,-9.0,6,1,2,0.208,0.221,0.429,162.0,9.9%
3,Jan Mursak,GR,21,F,79,24,18,42,46,12.0,4,0,2,0.304,0.228,0.532,139.0,17.3%
1,Jeremy Williams,GR,25,F,77,32,31,63,55,-15.0,14,1,2,0.416,0.403,0.818,210.0,15.2%
36,Johann Kroll,GR,25,D,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
13,John Vigilante,GR,24,F,79,11,14,25,31,3.0,0,0,2,0.139,0.177,0.316,108.0,10.2%
23,Jordan Owens,GR,23,F,17,1,4,5,22,-1.0,0,0,0,0.059,0.235,0.294,28.0,3.6%
38,Jordan Pearce,GR,23,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
14,Justin Abdelkader,GR,22,F,33,11,13,24,86,6.0,1,1,3,0.333,0.394,0.727,69.0,15.9%
9,Kris Newbury,GR,27,F,52,11,22,33,144,-13.0,3,0,3,0.212,0.423,0.635,96.0,11.5%
35,Landon Ferraro,GR,18,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
12,Logan Pyett,GR,21,D,80,9,21,30,41,7.0,2,2,0,0.113,0.263,0.375,125.0,7.2%
4,Mattias Ritola,GR,22,F,73,19,23,42,50,-3.0,6,1,2,0.26,0.315,0.575,178.0,10.7%
17,Michael Nylander,GR,37,F,24,2,16,18,14,-8.0,0,0,0,0.083,0.667,0.75,28.0,7.1%
25,Mike Walsh,GR,26,F,18,2,0,2,5,-4.0,0,0,0,0.111,0.0,0.111,12.0,16.7%
29,Ole-Kristian Tollefsen,GR,25,D,16,1,0,1,44,-1.0,0,0,1,0.063,0.0,0.063,15.0,6.7%
2,Pat Rissmiller,GR,31,F,63,20,25,45,18,2.0,9,1,4,0.317,0.397,0.714,121.0,16.5%
27,Paul Crosty,GR,27,D,58,0,2,2,170,-11.0,0,0,0,0.0,0.034,0.034,37.0,0.0%
21,Riley Armstrong,GR,25,F,17,3,2,5,14,0.0,0,0,0,0.176,0.118,0.294,31.0,9.7%
32,Ryan Stokes,GR,26,D,7,0,1,1,11,-1.0,0,0,0,0.0,0.143,0.143,7.0,0.0%
40,Sebastien Piche,GR,21,D,9,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,14.0,0.0%
20,Sergei Kolosov,GR,23,D,66,2,6,8,29,-7.0,0,0,0,0.03,0.091,0.121,57.0,3.5%
33,Thomas McCollum,GR,20,G,32,0,1,1,4,,0,0,0,0.0,0.031,0.031,,
31,Tom Galvin,GR,30,D,4,0,1,1,2,-4.0,0,0,0,0.0,0.25,0.25,4.0,0.0%
11,Tomas Tatar,GR,19,F,58,16,16,32,12,8.0,3,0,3,0.276,0.276,0.552,98.0,16.3%
24,Travis Ehrhardt,GR,20,D,42,0,5,5,38,-9.0,0,0,0,0.0,0.119,0.119,37.0,0.0%
28,Trent Daavettila,GR,25,F,2,1,0,1,0,-1.0,0,0,0,0.5,0.0,0.5,3.0,33.3%
34,Willie Coetzee,GR,19,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
