Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
40,Alexandre Imbeault,CON,24,F,4,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
28,Andrew Yogan,CON,19,F,2,2,1,3,0,1.0,0,0,0,1.0,0.5,1.5,5.0,40.0%
14,Blake Parlett,CON,21,D,24,2,10,12,17,1.0,1,0,2,0.083,0.417,0.5,31.0,6.5%
43,Brandon Wong,CON,24,F,6,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
33,Bretton Cameron,CON,21,F,2,0,1,1,2,2.0,0,0,0,0.0,0.5,0.5,2.0,0.0%
3,Brodie Dupont,CON,23,F,72,14,31,45,78,-5.0,9,1,2,0.194,0.431,0.625,140.0,10.0%
35,Cameron Talbot,CON,23,G,22,0,1,1,0,,0,0,0,0.0,0.045,0.045,,
32,Chad Johnson,CON,24,G,40,0,2,2,2,,0,0,0,0.0,0.05,0.05,,
8,Chad Kolarik,CON,24,F,36,17,14,31,36,4.0,3,2,2,0.472,0.389,0.861,234.0,7.3%
42,Chris Chappell,CON,22,F,5,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
29,Chris McKelvie,CON,25,F,17,1,2,3,22,3.0,0,0,0,0.059,0.118,0.176,14.0,7.1%
6,Dale Weise,CON,22,F,47,18,20,38,73,-14.0,7,1,3,0.383,0.426,0.809,131.0,13.7%
19,Dane Byers,CON,24,F,16,3,6,9,25,-4.0,1,0,1,0.188,0.375,0.563,45.0,6.7%
16,Derek Couture,CON,26,F,20,6,4,10,22,4.0,1,0,1,0.3,0.2,0.5,41.0,14.6%
17,Devin DiDiomete,CON,22,F,63,6,4,10,303,-2.0,0,0,1,0.095,0.063,0.159,68.0,8.8%
46,Dov Grumet-Morris,CON,28,G,22,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
38,Dylan McIlrath,CON,18,D,2,0,0,0,7,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
7,Evgeny Grachev,CON,20,F,73,16,22,38,24,21.0,3,2,3,0.219,0.301,0.521,159.0,10.1%
31,Francis Lemieux,CON,26,F,20,0,2,2,8,-3.0,0,0,0,0.0,0.1,0.1,87.0,0.0%
22,Jared Nightingale,CON,28,D,71,2,6,8,204,-5.0,0,0,0,0.028,0.085,0.113,65.0,3.1%
18,Jason Williams,CON,30,F,17,4,5,9,10,-13.0,1,0,0,0.235,0.294,0.529,38.0,10.5%
2,Jeremy Williams,CON,26,F,75,32,23,55,68,2.0,15,0,5,0.427,0.307,0.733,239.0,13.4%
13,John Mitchell,CON,25,F,14,7,5,12,10,8.0,2,0,2,0.5,0.357,0.857,21.0,33.3%
26,Justin Soryal,CON,23,F,79,3,3,6,220,-4.0,0,0,0,0.038,0.038,0.076,52.0,5.8%
20,Jyri Niemi,CON,20,D,46,3,6,9,22,-1.0,1,0,0,0.065,0.13,0.196,43.0,7.0%
41,Kale Kerbashian,CON,20,F,4,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
10,Kelsey Tessier,CON,20,F,75,10,18,28,19,2.0,0,0,0,0.133,0.24,0.373,87.0,11.5%
1,Kris Newbury,CON,28,F,69,17,44,61,139,4.0,3,1,5,0.246,0.638,0.884,201.0,8.5%
45,Lee Baldwin,CON,22,D,21,0,0,0,17,-1.0,0,0,0,0.0,0.0,0.0,13.0,0.0%
9,Mats Zuccarello,CON,23,F,36,13,16,29,16,2.0,3,0,2,0.361,0.444,0.806,107.0,12.2%
24,Michael Del Zotto,CON,20,D,11,0,7,7,8,0.0,0,0,0,0.0,0.636,0.636,24.0,0.0%
34,Nigel Williams,CON,22,D,12,0,1,1,2,-3.0,0,0,0,0.0,0.083,0.083,9.0,0.0%
25,Oren Eizenman,CON,25,F,33,4,2,6,6,-2.0,1,0,1,0.121,0.061,0.182,54.0,7.4%
12,Pavel Valentenko,CON,23,D,79,5,12,17,38,21.0,0,0,0,0.063,0.152,0.215,123.0,4.1%
37,Pier-Olivier Pelletier,CON,23,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
11,Ryan Garlock,CON,24,F,71,3,18,21,50,5.0,0,1,0,0.042,0.254,0.296,70.0,4.3%
23,Ryan McDonagh,CON,21,D,38,1,7,8,12,1.0,1,0,0,0.026,0.184,0.211,42.0,2.4%
39,Sam Klassen,CON,21,D,3,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
36,Shayne Wiebe,CON,20,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
21,Stu Bickel,CON,24,D,54,2,7,9,135,-2.0,0,0,0,0.037,0.13,0.167,59.0,3.4%
4,Tim Kennedy,CON,24,F,53,12,30,42,44,3.0,6,0,3,0.226,0.566,0.792,90.0,13.3%
27,Todd White,CON,35,F,9,3,2,5,0,-2.0,1,0,0,0.333,0.222,0.556,18.0,16.7%
15,Tomas Kundratek,CON,21,D,70,2,10,12,42,0.0,0,0,0,0.029,0.143,0.171,63.0,3.2%
30,Tommy Grant,CON,24,F,7,0,3,3,2,-1.0,0,0,0,0.0,0.429,0.429,11.0,0.0%
44,Tyler Donati,CON,24,F,9,0,0,0,0,-3.0,0,0,0,0.0,0.0,0.0,9.0,0.0%
5,Wade Redden,CON,33,D,70,8,34,42,46,-1.0,4,1,2,0.114,0.486,0.6,135.0,5.9%
