Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
8,Aaron Johnson,MIL,27,D,72,9,26,35,70,10.0,2,0,0,0.125,0.361,0.486,161.0,5.6%
40,Anders Lindb�ck,MIL,22,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
5,Andreas Thuresson,MIL,23,F,76,14,24,38,41,3.0,5,0,1,0.184,0.316,0.5,157.0,8.9%
37,Andrew Lord,MIL,25,F,2,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
41,Atte Engren,MIL,22,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
42,Austin Watson,MIL,18,F,5,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
28,Ben Ryan,MIL,22,F,2,0,1,1,0,1.0,0,0,0,0.0,0.5,0.5,1.0,0.0%
34,Benn Olson,MIL,23,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
6,Blake Geoffrion,MIL,22,F,45,11,26,37,38,2.0,3,1,3,0.244,0.578,0.822,84.0,13.1%
17,Brett Palin,MIL,26,D,80,4,14,18,70,8.0,0,0,0,0.05,0.175,0.225,84.0,4.8%
25,Brock McBride,MIL,24,F,14,1,1,2,14,0.0,0,0,0,0.071,0.071,0.143,6.0,16.7%
43,Chet Pickard,MIL,21,G,7,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
36,Chris Cahill,MIL,23,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
1,Chris Mueller,MIL,24,F,67,24,26,50,34,7.0,4,4,5,0.358,0.388,0.746,169.0,14.2%
26,Connor Shields,MIL,26,F,14,1,1,2,2,1.0,0,0,0,0.071,0.071,0.143,16.0,6.3%
22,Cory Conacher,MIL,21,F,5,3,2,5,2,-2.0,3,0,1,0.6,0.4,1.0,8.0,37.5%
33,Dan Gendur,MIL,23,F,10,0,1,1,6,-2.0,0,0,0,0.0,0.1,0.1,16.0,0.0%
39,Dave Leaderer,MIL,24,D,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
23,Dylan Hunter,MIL,25,F,37,2,3,5,21,1.0,0,0,0,0.054,0.081,0.135,37.0,5.4%
7,Gabriel Bourque,MIL,20,F,78,18,18,36,19,10.0,5,0,0,0.231,0.231,0.462,117.0,15.4%
12,Grant Lewis,MIL,25,D,47,8,15,23,40,11.0,4,0,1,0.17,0.319,0.489,60.0,13.3%
32,Jamie Bates,MIL,25,F,8,0,1,1,2,-2.0,0,0,0,0.0,0.125,0.125,5.0,0.0%
16,Jamie Lundmark,MIL,29,F,34,6,12,18,22,0.0,4,0,0,0.176,0.353,0.529,55.0,10.9%
31,Jeff Foss,MIL,22,D,5,0,1,1,10,1.0,0,0,0,0.0,0.2,0.2,1.0,0.0%
44,Jeremy Smith,MIL,21,G,28,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
9,Jonathon Blum,MIL,21,D,54,7,27,34,20,7.0,5,0,2,0.13,0.5,0.63,82.0,8.5%
13,Kelsey Wilson,MIL,24,F,74,10,12,22,145,-3.0,4,1,3,0.135,0.162,0.297,71.0,14.1%
2,Linus Klasen,MIL,24,F,47,22,23,45,20,6.0,8,0,5,0.468,0.489,0.957,101.0,21.8%
45,Mark Dekanich,MIL,24,G,43,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
14,Mark Santorelli,MIL,22,F,64,8,13,21,26,1.0,3,0,1,0.125,0.203,0.328,88.0,9.1%
18,Mark Van Guilder,MIL,26,F,62,10,7,17,10,7.0,1,0,3,0.161,0.113,0.274,68.0,14.7%
11,Matt Halischuk,MIL,22,F,37,11,12,23,12,6.0,3,1,3,0.297,0.324,0.622,81.0,13.6%
30,Michael Latta,MIL,19,F,4,0,1,1,2,1.0,0,0,0,0.0,0.25,0.25,5.0,0.0%
15,Mike Bartlett,MIL,25,F,72,8,10,18,47,11.0,1,0,2,0.111,0.139,0.25,70.0,11.4%
38,Mike McLean,MIL,24,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
24,Nick Spaling,MIL,22,F,4,1,1,2,2,1.0,0,0,0,0.25,0.25,0.5,14.0,7.1%
27,Patrick Coulombe,MIL,25,D,5,1,0,1,2,-1.0,0,0,0,0.2,0.0,0.2,2.0,50.0%
4,Roman Josi,MIL,20,D,69,6,34,40,22,-7.0,3,0,1,0.087,0.493,0.58,182.0,3.3%
19,Ryan Flynn,MIL,22,F,65,6,6,12,41,7.0,0,0,0,0.092,0.092,0.185,67.0,9.0%
3,Ryan Thang,MIL,23,F,78,14,27,41,32,17.0,5,0,3,0.179,0.346,0.526,138.0,10.1%
20,Scott Ford,MIL,31,D,80,2,5,7,164,10.0,0,0,0,0.025,0.063,0.088,64.0,3.1%
35,Scott Lehman,MIL,24,D,2,0,0,0,4,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
21,Steve Begin,MIL,32,F,36,3,3,6,30,-3.0,1,0,1,0.083,0.083,0.167,58.0,5.2%
29,Taylor Beck,MIL,19,F,4,0,1,1,0,-2.0,0,0,0,0.0,0.25,0.25,6.0,0.0%
10,Teemu Laakso,MIL,23,D,74,8,22,30,46,15.0,4,0,1,0.108,0.297,0.405,101.0,7.9%
