Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
37,Aaron Lee,HOU,26,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
36,Benn Olson,HOU,24,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
46,Brad Staubitz,HOU,27,F,4,0,0,0,9,-5.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
30,Brett Bulmer,HOU,19,F,6,1,1,2,2,-2.0,0,0,0,0.167,0.167,0.333,14.0,7.1%
21,C.J. Stretch,HOU,22,F,23,0,6,6,12,2.0,0,0,0,0.0,0.261,0.261,32.0,0.0%
13,Carson McMillan,HOU,23,F,51,4,8,12,43,-1.0,0,0,1,0.078,0.157,0.235,55.0,7.3%
9,Casey Wellman,HOU,24,F,26,14,11,25,21,-1.0,9,0,2,0.538,0.423,0.962,73.0,19.2%
5,Chad Rau,HOU,24,F,67,14,21,35,2,6.0,2,0,3,0.209,0.313,0.522,129.0,10.9%
4,Chay Genoway,HOU,25,D,72,7,29,36,29,-1.0,5,0,1,0.097,0.403,0.5,112.0,6.3%
31,Chris Clackson,HOU,24,F,28,1,1,2,34,0.0,0,0,0,0.036,0.036,0.071,28.0,3.6%
11,Cody Almond,HOU,22,F,46,7,8,15,91,-8.0,1,2,2,0.152,0.174,0.326,99.0,7.1%
42,Colton Jobke,HOU,19,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
34,Darcy Kuemper,HOU,21,G,19,0,1,1,6,,0,0,0,0.0,0.053,0.053,,
41,David Fischer,HOU,23,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
6,David McIntyre,HOU,24,F,63,16,17,33,73,-4.0,1,2,1,0.254,0.27,0.524,114.0,14.0%
47,Dennis Endras,HOU,26,G,6,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
38,Devin DiDiomete,HOU,23,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
12,Drew Bagnall,HOU,28,D,72,2,12,14,98,2.0,0,0,0,0.028,0.167,0.194,70.0,2.9%
33,Elgin Reid,HOU,24,D,5,0,1,1,2,0.0,0,0,0,0.0,0.2,0.2,0.0,0.00%
35,Eric Nystrom,HOU,28,F,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
24,Harrison Reed,HOU,23,F,16,1,3,4,0,4.0,0,0,0,0.063,0.188,0.25,16.0,6.3%
50,Jamie Fritsch,HOU,26,D,16,0,0,0,4,3.0,0,0,0,0.0,0.0,0.0,11.0,0.0%
17,Jarod Palmer,HOU,25,F,35,5,6,11,27,7.0,0,0,0,0.143,0.171,0.314,53.0,9.4%
10,Jed Ortmeyer,HOU,33,F,34,8,10,18,32,10.0,1,0,0,0.235,0.294,0.529,80.0,10.0%
3,Jeff Taffe,HOU,30,F,70,18,35,53,16,-13.0,7,0,5,0.257,0.5,0.757,198.0,9.1%
14,Jeffrey Penner,HOU,24,D,30,3,9,12,18,-7.0,1,1,0,0.1,0.3,0.4,40.0,7.5%
49,Joe Fallon,HOU,26,G,9,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
8,Joel Broda,HOU,22,F,72,14,13,27,59,-7.0,0,1,4,0.194,0.181,0.375,134.0,10.5%
29,Joey Martin,HOU,23,F,8,2,0,2,2,-1.0,0,0,0,0.25,0.0,0.25,10.0,20.0%
1,Jon Disalvatore,HOU,30,F,76,28,33,61,22,3.0,13,0,3,0.368,0.434,0.803,178.0,15.7%
32,Jordan Hendry,HOU,27,D,10,0,2,2,10,8.0,0,0,0,0.0,0.2,0.2,11.0,0.0%
44,Josh Lunden,HOU,25,F,2,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2,Justin Fontaine,HOU,24,F,73,16,39,55,32,-3.0,7,0,4,0.219,0.534,0.753,131.0,12.2%
15,Kris Fredheim,HOU,24,D,73,3,9,12,29,-1.0,3,0,0,0.041,0.123,0.164,71.0,4.2%
