Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
26,Alex Hutchings,NOR,21,F,12,2,3,5,0,0.0,1,0,0,0.167,0.25,0.417,12.0,16.7%
24,Alex Killorn,NOR,22,F,10,2,4,6,2,6.0,1,0,0,0.2,0.4,0.6,30.0,6.7%
12,Alexandre Picard,NOR,26,F,42,6,19,25,65,9.0,3,0,2,0.143,0.452,0.595,88.0,6.8%
28,Blair Jones,NOR,25,F,5,2,2,4,16,-2.0,1,0,0,0.4,0.4,0.8,15.0,13.3%
21,Brandon Segal,NOR,28,F,8,5,6,11,6,8.0,1,0,1,0.625,0.75,1.375,29.0,17.2%
39,Bryan Brutlag,NOR,22,F,8,0,0,0,0,2.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
6,Carter Ashton,NOR,20,F,56,19,16,35,58,8.0,5,0,2,0.339,0.286,0.625,126.0,15.1%
35,Casey Haines,NOR,25,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
25,Charles Landry,NOR,20,D,23,0,6,6,19,0.0,0,0,0,0.0,0.261,0.261,8.0,0.0%
1,Cory Conacher,NOR,22,F,75,39,41,80,114,19.0,14,0,8,0.52,0.547,1.067,213.0,18.3%
22,Dana Tyrell,NOR,22,F,18,4,5,9,8,3.0,0,0,2,0.222,0.278,0.5,40.0,10.0%
29,Dustin Tokarski,NOR,22,G,45,0,3,3,14,,0,0,0,0.0,0.067,0.067,,
32,Eric Neilson,NOR,27,F,47,1,0,1,74,-2.0,1,0,0,0.021,0.0,0.021,24.0,4.2%
15,Evan Oberg,NOR,23,D,42,7,16,23,32,15.0,1,0,0,0.167,0.381,0.548,69.0,10.1%
27,James Wright,NOR,21,F,22,1,4,5,6,-5.0,0,0,1,0.045,0.182,0.227,34.0,2.9%
19,James Wyman,NOR,25,F,29,6,6,12,6,10.0,1,2,0,0.207,0.207,0.414,50.0,12.0%
33,Jaroslav Janus,NOR,22,G,34,0,1,1,6,,0,0,0,0.0,0.029,0.029,,
18,Jean-Philippe Cote,NOR,29,D,58,3,12,15,67,26.0,0,0,0,0.052,0.207,0.259,49.0,6.1%
17,Jeff Dimmen,NOR,25,D,64,3,14,17,63,9.0,2,0,1,0.047,0.219,0.266,52.0,5.8%
37,Jonathon Kalinski,NOR,24,F,5,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
30,Keith Aulie,NOR,22,D,3,0,2,2,0,6.0,0,0,0,0.0,0.667,0.667,7.0,0.0%
31,Kevin Quick,NOR,23,D,14,0,2,2,2,3.0,0,0,0,0.0,0.143,0.143,16.0,0.0%
4,Mark Barberio,NOR,21,D,74,13,48,61,39,28.0,7,0,2,0.176,0.649,0.824,197.0,6.6%
13,Matt Fornataro,NOR,26,F,46,5,20,25,22,4.0,3,0,2,0.109,0.435,0.543,106.0,4.7%
34,Michael Pelech,NOR,22,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
9,Michel Ouellet,NOR,29,F,55,16,15,31,41,8.0,5,0,4,0.291,0.273,0.564,124.0,12.9%
11,Mike Angelidis,NOR,26,F,54,14,13,27,135,14.0,2,1,2,0.259,0.241,0.5,92.0,15.2%
8,Mike Kostka,NOR,26,D,52,7,25,32,43,28.0,4,1,1,0.135,0.481,0.615,129.0,5.4%
20,Mike Vernace,NOR,25,D,22,2,10,12,23,5.0,1,0,0,0.091,0.455,0.545,34.0,5.9%
10,Ondrej Palat,NOR,20,F,61,9,21,30,10,6.0,0,1,3,0.148,0.344,0.492,109.0,8.3%
14,Philip-Michael Devos,NOR,21,F,52,7,17,24,28,16.0,2,0,3,0.135,0.327,0.462,46.0,15.2%
7,Pierre-Cedric Labrie,NOR,25,F,56,14,21,35,107,33.0,0,0,3,0.25,0.375,0.625,121.0,11.6%
16,Radko Gudas,NOR,21,D,73,7,13,20,195,19.0,0,1,1,0.096,0.178,0.274,74.0,9.5%
5,Richard Panik,NOR,20,F,64,19,22,41,62,13.0,7,0,1,0.297,0.344,0.641,108.0,17.6%
38,Richard Petiot,NOR,29,D,6,0,0,0,7,5.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
23,Scott Jackson,NOR,24,D,66,0,8,8,53,7.0,0,0,0,0.0,0.121,0.121,43.0,0.0%
36,Trevor Ludwig,NOR,26,D,3,0,0,0,0,-4.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
2,Trevor Smith,NOR,26,F,64,26,43,69,70,34.0,8,1,7,0.406,0.672,1.078,157.0,16.6%
3,Tyler Johnson,NOR,21,F,75,31,37,68,28,17.0,10,2,6,0.413,0.493,0.907,222.0,14.0%
