Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
38,Alden Hirschfeld,POR,23,F,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
18,Alexandre Bolduc,POR,26,F,23,3,12,15,30,0.0,0,0,0,0.13,0.522,0.652,44.0,6.8%
1,Andy Miele,POR,23,F,69,16,38,54,43,-4.0,2,1,4,0.232,0.551,0.783,103.0,15.5%
12,Ashton Rome,POR,26,F,66,11,9,20,63,-5.0,1,0,1,0.167,0.136,0.303,124.0,8.9%
17,Brett Hextall,POR,23,F,72,7,8,15,59,2.0,1,0,0,0.097,0.111,0.208,88.0,8.0%
2,Brett MacLean,POR,23,F,63,25,23,48,45,-3.0,8,0,3,0.397,0.365,0.762,223.0,11.2%
19,Brett Sterling,POR,27,F,19,8,6,14,30,-5.0,3,0,2,0.421,0.316,0.737,39.0,20.5%
7,Brock Trotter,POR,24,F,35,12,19,31,16,-11.0,4,0,1,0.343,0.543,0.886,54.0,22.2%
31,Cal O'Reilly,POR,25,F,5,1,1,2,0,5.0,0,0,0,0.2,0.2,0.4,7.0,14.3%
34,Chris Summers,POR,23,D,28,0,2,2,37,3.0,0,0,0,0.0,0.071,0.071,25.0,0.0%
22,Colin Long,POR,22,F,19,3,5,8,4,-1.0,0,0,1,0.158,0.263,0.421,23.0,13.0%
40,Corey Syvret,POR,22,D,3,0,0,0,4,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
33,Curtis McElhinney,POR,28,G,25,0,2,2,0,,0,0,0,0.0,0.08,0.08,,
16,David Rundblad,POR,21,D,30,7,9,16,27,-18.0,4,0,1,0.233,0.3,0.533,67.0,10.5%
20,Dean Arsene,POR,31,D,63,2,8,10,110,-17.0,0,0,0,0.032,0.127,0.159,34.0,5.9%
14,Ethan Werek,POR,20,F,67,10,9,19,53,-3.0,1,2,3,0.149,0.134,0.284,104.0,9.6%
21,Evan Bloodoff,POR,21,F,48,6,2,8,10,-10.0,0,1,0,0.125,0.042,0.167,66.0,9.1%
27,Garrett Stafford,POR,31,D,6,1,3,4,6,-3.0,1,0,0,0.167,0.5,0.667,8.0,12.5%
36,Igor Gongalsky,POR,25,F,13,0,1,1,29,-2.0,0,0,0,0.0,0.077,0.077,15.0,0.0%
13,Jordan Szwarz,POR,20,F,58,7,13,20,28,6.0,0,0,0,0.121,0.224,0.345,45.0,15.6%
39,Justin Maylan,POR,20,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
35,Justin Pogge,POR,25,G,37,0,2,2,6,,0,0,0,0.0,0.054,0.054,,
24,Kenndal McArdle,POR,24,F,19,3,3,6,34,-2.0,0,0,0,0.158,0.158,0.316,19.0,15.8%
23,Kyle Chipchura,POR,25,F,8,4,2,6,4,1.0,3,0,0,0.5,0.25,0.75,15.0,26.7%
41,Marc Cheverie,POR,24,G,9,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
5,Marc-Antoine Pouliot,POR,26,F,48,12,24,36,63,-4.0,5,0,1,0.25,0.5,0.75,140.0,8.6%
29,Mark Louis,POR,24,D,23,0,4,4,72,-7.0,0,0,0,0.0,0.174,0.174,14.0,0.0%
11,Mathieu Beaudoin,POR,27,F,47,5,17,22,14,-6.0,1,0,2,0.106,0.362,0.468,93.0,5.4%
25,Mathieu Brodeur,POR,21,D,43,2,4,6,29,10.0,0,1,0,0.047,0.093,0.14,33.0,6.1%
6,Matt Watkins,POR,25,F,70,11,25,36,48,-2.0,1,1,1,0.157,0.357,0.514,127.0,8.7%
28,Maxim Goncharov,POR,22,D,45,1,3,4,37,-15.0,0,0,0,0.022,0.067,0.089,54.0,1.9%
10,Michael Stone,POR,21,D,51,9,13,22,24,2.0,2,0,0,0.176,0.255,0.431,99.0,9.1%
32,Mike Hoffman,POR,31,F,13,0,2,2,32,-1.0,0,0,0,0.0,0.154,0.154,7.0,0.0%
3,Nathan Oystrick,POR,29,D,60,11,32,43,107,1.0,5,0,2,0.183,0.533,0.717,136.0,8.1%
15,Nick Ross,POR,22,D,35,5,13,18,16,16.0,2,0,0,0.143,0.371,0.514,44.0,11.4%
8,Patrick O'Sullivan,POR,26,F,26,10,20,30,16,-6.0,1,1,2,0.385,0.769,1.154,71.0,14.1%
37,Peter Mannino,POR,27,G,15,0,1,1,0,,0,0,0,0.0,0.067,0.067,,
4,Ryan Duncan,POR,26,F,64,14,22,36,24,-6.0,6,0,4,0.219,0.344,0.563,152.0,9.2%
26,Ryan Hollweg,POR,28,F,43,0,5,5,123,-3.0,0,0,0,0.0,0.116,0.116,33.0,0.0%
30,Spencer Bennett,POR,21,F,9,2,1,3,2,-2.0,0,0,0,0.222,0.111,0.333,11.0,18.2%
9,Tyler Eckford,POR,26,D,75,10,15,25,37,-13.0,6,1,3,0.133,0.2,0.333,102.0,9.8%
