Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
28,Adam Estoclet,ABH,23,F,18,0,2,2,8,0.0,0,0,0,0.0,0.111,0.111,23.0,0.0%
15,Akim Aliu,ABH,23,F,42,4,7,11,111,-7.0,0,0,0,0.095,0.167,0.262,50.0,8.0%
31,Andy Bohmbach,ABH,25,F,4,1,0,1,0,0.0,0,0,0,0.25,0.0,0.25,7.0,14.3%
44,Barry Brust,ABH,29,G,35,0,0,0,8,,0,0,0,0.0,0.0,0.0,,
3,Ben Street,ABH,25,F,69,15,22,37,22,-8.0,7,1,1,0.217,0.319,0.536,227.0,6.6%
1,Ben Walter,ABH,28,F,68,15,34,49,18,-10.0,8,0,3,0.221,0.5,0.721,110.0,13.6%
23,Blair Jones,ABH,26,F,21,3,4,7,23,0.0,1,0,0,0.143,0.19,0.333,59.0,5.1%
20,Brady Lamb,ABH,24,D,50,2,7,9,21,-4.0,0,0,0,0.04,0.14,0.18,62.0,3.2%
14,Brett Carson,ABH,27,D,26,6,5,11,16,-5.0,3,0,0,0.231,0.192,0.423,40.0,15.0%
40,Brett Kulak,ABH,18,D,4,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
10,Brett Olson,ABH,25,F,70,8,10,18,31,-1.0,1,1,1,0.114,0.143,0.257,105.0,7.6%
13,Carter Bancks,ABH,23,F,59,5,7,12,53,4.0,0,2,0,0.085,0.119,0.203,68.0,7.4%
32,Carter Rowney,ABH,23,F,4,1,0,1,0,1.0,0,0,0,0.25,0.0,0.25,7.0,14.3%
24,Chris Breen,ABH,23,D,60,3,4,7,55,-11.0,0,0,0,0.05,0.067,0.117,47.0,6.4%
39,Connor Hardowa,ABH,24,D,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
37,Daniel Taylor,ABH,26,G,40,0,1,1,2,,0,0,0,0.0,0.025,0.025,,
42,David Eddy,ABH,23,F,10,0,0,0,7,-5.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
21,Drew MacKenzie,ABH,24,D,27,1,8,9,14,5.0,0,0,0,0.037,0.296,0.333,33.0,3.0%
6,Dustin Sylvester,ABH,23,F,62,11,12,23,10,-2.0,4,0,0,0.177,0.194,0.371,120.0,9.2%
16,Greg Nemisz,ABH,22,F,55,3,7,10,34,-12.0,0,0,0,0.055,0.127,0.182,80.0,3.8%
35,James Martin,ABH,21,D,5,0,1,1,7,-1.0,0,0,0,0.0,0.2,0.2,4.0,0.0%
19,Joe Callahan,ABH,30,D,64,0,10,10,44,-7.0,0,0,0,0.0,0.156,0.156,66.0,0.0%
18,Joe Piskula,ABH,28,D,46,2,8,10,51,5.0,0,0,0,0.043,0.174,0.217,54.0,3.7%
2,Krys Kolanos,ABH,31,F,53,18,22,40,63,-11.0,6,0,0,0.34,0.415,0.755,183.0,9.8%
30,Lance Bouma,ABH,22,F,3,1,0,1,2,0.0,0,0,0,0.333,0.0,0.333,7.0,14.3%
43,Leland Irving,ABH,24,G,12,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
26,Mark Cundari,ABH,22,D,2,0,3,3,13,3.0,0,0,0,0.0,1.5,1.5,3.0,0.0%
7,Max Reinhart,ABH,20,F,67,7,14,21,32,-26.0,2,1,0,0.104,0.209,0.313,142.0,4.9%
41,Michael Ferland,ABH,20,F,7,0,0,0,10,0.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
22,Mike Matczak,ABH,24,D,34,2,6,8,12,-14.0,0,0,0,0.059,0.176,0.235,36.0,5.6%
25,Mike Testwuide,ABH,25,F,9,2,1,3,28,-5.0,1,0,0,0.222,0.111,0.333,7.0,28.6%
33,Mitch Wahl,ABH,22,F,6,1,0,1,4,2.0,0,0,0,0.167,0.0,0.167,12.0,8.3%
34,Nick Tuzzolino,ABH,26,D,14,1,0,1,11,-1.0,0,0,0,0.071,0.0,0.071,14.0,7.1%
12,Paul Byron,ABH,23,F,38,6,9,15,38,-7.0,2,0,0,0.158,0.237,0.395,42.0,14.3%
11,Quintin Laing,ABH,33,F,63,6,10,16,45,5.0,1,1,0,0.095,0.159,0.254,101.0,5.9%
4,Roman Horak,ABH,21,F,59,16,14,30,24,-8.0,6,1,0,0.271,0.237,0.508,130.0,12.3%
36,Ryan Howse,ABH,21,F,20,0,1,1,6,-2.0,0,0,0,0.0,0.05,0.05,15.0,0.0%
17,Steve McCarthy,ABH,31,D,30,2,8,10,27,-2.0,1,1,0,0.067,0.267,0.333,25.0,8.0%
27,Steven Seigo,ABH,22,D,9,0,2,2,4,1.0,0,0,0,0.0,0.222,0.222,4.0,0.0%
5,Sven B�rtschi,ABH,20,F,32,10,16,26,16,-1.0,3,0,0,0.313,0.5,0.813,80.0,12.5%
8,T.J. Brodie,ABH,22,D,35,1,19,20,22,5.0,0,0,0,0.029,0.543,0.571,41.0,2.4%
38,Turner Elson,ABH,20,F,2,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
9,Tyler Ruegsegger,ABH,24,F,67,11,7,18,50,-3.0,2,0,0,0.164,0.104,0.269,115.0,9.6%
29,Zach McKelvie,ABH,27,D,52,0,2,2,112,-11.0,0,0,0,0.0,0.038,0.038,36.0,0.0%
