Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
12,Alex Petrovic,SA,20,D,55,4,13,17,102,8.0,1,0,2,0.073,0.236,0.309,76.0,5.3%
44,Alexander Delnov,SA,18,F,6,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
16,Andre Deveaux,SA,28,F,46,7,7,14,56,-13.0,3,0,0,0.152,0.152,0.304,52.0,13.5%
36,Anthony Luciani,SA,22,F,5,1,0,1,6,-1.0,0,0,0,0.2,0.0,0.2,5.0,20.0%
20,Brendon Nash,SA,25,D,27,5,6,11,16,5.0,3,0,0,0.185,0.222,0.407,39.0,12.8%
45,Brian Foster,SA,25,G,7,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
28,Brian O'Hanley,SA,28,D,25,0,6,6,19,-3.0,0,0,0,0.0,0.24,0.24,27.0,0.0%
7,Casey Wellman,SA,25,F,37,7,16,23,14,-6.0,1,0,0,0.189,0.432,0.622,85.0,8.2%
8,Colby Robak,SA,22,D,63,5,18,23,50,-23.0,3,0,1,0.079,0.286,0.365,100.0,5.0%
38,David MacDonald,SA,26,D,4,0,1,1,7,-1.0,0,0,0,0.0,0.25,0.25,2.0,0.0%
34,David Pacan,SA,21,F,9,0,2,2,11,0.0,0,0,0,0.0,0.222,0.222,7.0,0.0%
41,Doug Jones,SA,25,F,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
49,Dov Grumet-Morris,SA,30,G,43,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
5,Drew Shore,SA,21,F,41,10,20,30,18,4.0,3,0,2,0.244,0.488,0.732,83.0,12.1%
13,Eric Selleck,SA,25,F,60,5,11,16,181,0.0,0,0,2,0.083,0.183,0.267,83.0,6.0%
39,Erik Gudbranson,SA,20,D,2,0,0,0,2,2.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
24,Evan Barlow,SA,27,F,20,2,5,7,27,0.0,1,0,1,0.1,0.25,0.35,35.0,5.7%
33,Francis Beauvillier,SA,19,F,8,0,2,2,4,-3.0,0,0,0,0.0,0.25,0.25,7.0,0.0%
29,Garrett Wilson,SA,21,F,26,3,2,5,19,-1.0,0,0,1,0.115,0.077,0.192,25.0,12.0%
35,George Hughes,SA,24,D,11,0,2,2,0,-5.0,0,0,0,0.0,0.182,0.182,9.0,0.0%
2,Greg Rallo,SA,31,F,66,23,17,40,36,-19.0,6,2,1,0.348,0.258,0.606,167.0,13.8%
9,Jack Combs,SA,24,F,18,12,7,19,2,1.0,2,0,0,0.667,0.389,1.056,69.0,17.4%
48,Jacob Markstr�m,SA,22,G,33,0,0,0,10,,0,0,0,0.0,0.0,0.0,,
11,James Wright,SA,22,F,40,5,12,17,31,-3.0,2,0,1,0.125,0.3,0.425,73.0,6.9%
3,Jared Gomes,SA,24,F,73,16,17,33,26,-5.0,1,1,1,0.219,0.233,0.452,98.0,16.3%
21,Jason DeSantis,SA,26,D,28,2,7,9,22,-7.0,0,0,1,0.071,0.25,0.321,30.0,6.7%
23,Jean-Francois Jacques,SA,27,F,24,5,2,7,37,-4.0,3,0,0,0.208,0.083,0.292,28.0,17.9%
