Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
15,Adam Larsson,ALB,21,D,33,3,16,19,16,2.0,1,0,,0.091,0.485,0.576,64.0,4.7%
20,Alexander Urbom,ALB,23,D,35,1,10,11,26,-3.0,0,0,,0.029,0.286,0.314,38.0,2.6%
18,Artem Demkov,ALB,24,F,22,6,5,11,6,6.0,1,0,,0.273,0.227,0.5,45.0,13.3%
29,Ben Johnson,ALB,19,F,5,0,1,1,0,1.0,0,0,,0.0,0.2,0.2,11.0,0.0%
19,Brandon Burlon,ALB,23,D,54,5,6,11,39,3.0,2,0,,0.093,0.111,0.204,77.0,6.5%
27,Cam Janssen,ALB,29,F,27,0,3,3,24,-1.0,0,0,,0.0,0.111,0.111,3.0,0.0%
10,Chris McKelvie,ALB,28,F,57,9,12,21,86,6.0,0,1,,0.158,0.211,0.368,96.0,9.4%
23,Corbin McPherson,ALB,25,D,69,0,10,10,41,16.0,0,0,,0.0,0.145,0.145,57.0,0.0%
16,Dan Kelly,ALB,24,D,71,3,14,17,86,14.0,0,0,,0.042,0.197,0.239,65.0,4.6%
24,Darcy Zajac,ALB,27,F,19,1,5,6,43,-1.0,0,0,,0.053,0.263,0.316,20.0,5.0%
17,David Wohlberg,ALB,23,F,62,5,7,12,41,1.0,0,0,,0.081,0.113,0.194,52.0,9.6%
25,Eric Gelinas,ALB,22,D,13,1,4,5,10,6.0,1,0,,0.077,0.308,0.385,41.0,2.4%
34,Graham Black,ALB,20,F,2,0,0,0,0,1.0,0,0,,0.0,0.0,0.0,3.0,0.0%
6,Harri Pesonen,ALB,25,F,75,15,21,36,52,13.0,2,0,,0.2,0.28,0.48,145.0,10.3%
35,Harry Young,ALB,24,D,10,0,0,0,15,-1.0,0,0,,0.0,0.0,0.0,3.0,0.0%
1,Joe Whitney,ALB,25,F,73,22,31,53,34,0.0,6,0,,0.301,0.425,0.726,198.0,11.1%
32,Johan Hedberg,ALB,40,G,1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
21,Jon Merrill,ALB,21,D,15,2,8,10,0,-1.0,2,0,,0.133,0.533,0.667,21.0,9.5%
31,Keith Kinkaid,ALB,24,G,43,0,1,1,12,,0,0,0.0,0.0,0.023,0.023,,
2,Kelly Zajac,ALB,25,F,67,12,32,44,4,8.0,3,0,,0.179,0.478,0.657,83.0,14.5%
9,Mattias Tedenby,ALB,23,F,42,9,13,22,24,5.0,1,0,,0.214,0.31,0.524,67.0,13.4%
33,Maxime Clermont,ALB,22,G,2,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
14,Mike Hoeffel,ALB,24,F,53,7,12,19,40,6.0,2,0,,0.132,0.226,0.358,98.0,7.1%
3,Mike Sislo,ALB,25,F,59,23,18,41,26,7.0,7,2,,0.39,0.305,0.695,140.0,16.4%
13,Reece Scarlett,ALB,20,D,48,6,14,20,18,11.0,6,0,,0.125,0.292,0.417,58.0,10.3%
5,Reid Boucher,ALB,20,F,56,22,16,38,10,-3.0,7,0,,0.393,0.286,0.679,146.0,15.1%
28,Riley Boychuk,ALB,22,F,18,1,1,2,14,2.0,0,0,,0.056,0.056,0.111,6.0,16.7%
12,Rod Pelley,ALB,29,F,74,13,7,20,55,5.0,0,2,,0.176,0.095,0.27,133.0,9.8%
11,Roman Graborenko,ALB,21,D,48,6,15,21,26,-4.0,5,0,,0.125,0.313,0.438,75.0,8.0%
26,Rostislav Olesz,ALB,28,F,5,1,3,4,4,1.0,0,0,,0.2,0.6,0.8,10.0,10.0%
4,Scott Timmins,ALB,24,F,61,13,26,39,26,10.0,3,1,,0.213,0.426,0.639,125.0,10.4%
30,Scott Wedgewood,ALB,21,G,36,0,1,1,2,,0,0,0.0,0.0,0.028,0.028,,
22,Seth Helgeson,ALB,23,D,75,1,9,10,100,12.0,0,0,,0.013,0.12,0.133,65.0,1.5%
8,Stefan Matteau,ALB,19,F,67,13,13,26,66,6.0,2,0,,0.194,0.194,0.388,108.0,12.0%
7,Tim Sestito,ALB,29,F,51,13,14,27,79,-1.0,2,1,,0.255,0.275,0.529,78.0,16.7%
