Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
1,Adam Clendening,RFD,21,D,74,12,47,59,64,5.0,3,1,,0.162,0.635,0.797,213.0,5.6%
3,Alex Broadhurst,RFD,20,F,75,16,29,45,32,-1.0,2,0,,0.213,0.387,0.6,104.0,15.4%
39,Allen York,RFD,24,G,1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
42,Antti Raanta,RFD,24,G,14,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
40,Blake Kessel,RFD,24,D,3,0,0,0,0,-2.0,0,0,,0.0,0.0,0.0,1.0,0.0%
23,Bobby Shea,RFD,23,D,29,3,4,7,84,4.0,0,0,,0.103,0.138,0.241,26.0,11.5%
9,Brad Winchester,RFD,32,F,55,16,14,30,85,-8.0,6,0,,0.291,0.255,0.545,122.0,13.1%
15,Bradley Mills,RFD,30,F,28,8,6,14,49,-5.0,3,0,,0.286,0.214,0.5,59.0,13.6%
10,Brandon Mashinter,RFD,25,F,47,14,14,28,79,-8.0,5,0,,0.298,0.298,0.596,85.0,16.5%
11,Brandon Pirri,RFD,22,F,26,11,15,26,10,-1.0,2,1,,0.423,0.577,1.0,95.0,11.6%
17,Brett Skinner,RFD,30,D,38,1,9,10,8,-9.0,1,0,,0.026,0.237,0.263,32.0,3.1%
20,Brian Connelly,RFD,27,D,16,3,5,8,4,-12.0,3,0,,0.188,0.313,0.5,34.0,8.8%
28,Byron Froese,RFD,22,F,28,0,5,5,14,1.0,0,0,,0.0,0.179,0.179,34.0,0.0%
34,David Gilbert,RFD,22,F,10,1,0,1,0,-5.0,0,0,,0.1,0.0,0.1,11.0,9.1%
13,Drew LeBlanc,RFD,24,F,76,7,15,22,18,-4.0,4,0,,0.092,0.197,0.289,57.0,12.3%
21,Dylan Olsen,RFD,22,D,16,0,8,8,8,3.0,0,0,,0.0,0.5,0.5,37.0,0.0%
7,Garret Ross,RFD,21,F,74,15,19,34,78,12.0,4,1,,0.203,0.257,0.459,133.0,11.3%
31,Jared Nightingale,RFD,31,D,67,1,3,4,114,-14.0,0,0,,0.015,0.045,0.06,47.0,2.1%
38,Jason LaBarbera,RFD,33,G,32,0,1,1,0,,0,0,0.0,0.0,0.031,0.031,,
2,Jeremy Morin,RFD,22,F,47,24,23,47,58,9.0,6,0,,0.511,0.489,1.0,208.0,11.5%
19,Jimmy Hayes,RFD,24,F,13,4,4,8,2,-5.0,1,0,,0.308,0.308,0.615,37.0,10.8%
8,Joakim Nordstr�m,RFD,21,F,58,17,16,33,21,9.0,4,0,,0.293,0.276,0.569,94.0,18.1%
36,Joe Gleason,RFD,23,D,7,0,1,1,2,-4.0,0,0,,0.0,0.143,0.143,4.0,0.0%
43,Kent Simpson,RFD,21,G,31,0,0,0,2,,0,0,0.0,0.0,0.0,0.0,,
6,Klas Dahlbeck,RFD,22,D,75,10,25,35,49,21.0,1,2,,0.133,0.333,0.467,175.0,5.7%
29,Kyle Beach,RFD,23,F,7,4,0,4,10,3.0,0,1,,0.571,0.0,0.571,22.0,18.2%
41,Mac Carruth,RFD,21,G,7,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
5,Mark McNeill,RFD,20,F,76,18,19,37,46,-12.0,6,0,,0.237,0.25,0.487,170.0,10.6%
24,Mathieu Brisebois,RFD,21,D,13,2,5,7,19,-1.0,0,0,,0.154,0.385,0.538,13.0,15.4%
32,Maxim Shalunov,RFD,20,F,20,0,4,4,8,-4.0,0,0,,0.0,0.2,0.2,37.0,0.0%
35,Mike Kostka,RFD,28,D,2,0,1,1,2,3.0,0,0,,0.0,0.5,0.5,5.0,0.0%
16,Pat Mullane,RFD,23,F,46,6,7,13,15,0.0,2,0,,0.13,0.152,0.283,46.0,13.0%
30,Philippe Lefebvre,RFD,22,F,29,4,0,4,2,-3.0,0,0,,0.138,0.0,0.138,41.0,9.8%
12,Phillip Danault,RFD,20,F,72,6,20,26,40,11.0,1,0,,0.083,0.278,0.361,130.0,4.6%
14,Pierre-Marc Bouchard,RFD,29,F,24,3,17,20,10,-7.0,0,0,,0.125,0.708,0.833,34.0,8.8%
22,Ryan Hartman,RFD,19,F,9,3,4,7,8,-1.0,1,0,,0.333,0.444,0.778,16.0,18.8%
27,Stephen Johns,RFD,21,D,8,1,4,5,4,2.0,0,0,,0.125,0.5,0.625,15.0,6.7%
4,Terry Broadhurst,RFD,25,F,73,16,28,44,16,10.0,3,1,,0.219,0.384,0.603,158.0,10.1%
33,Teuvo Ter�v�inen,RFD,19,F,5,2,0,2,2,2.0,1,0,,0.4,0.0,0.4,6.0,33.3%
26,Theo Peckham,RFD,26,D,45,0,6,6,100,6.0,0,0,,0.0,0.133,0.133,27.0,0.0%
18,Viktor Svedberg,RFD,22,D,35,2,7,9,26,5.0,1,0,,0.057,0.2,0.257,53.0,3.8%
37,Wade Brookbank,RFD,36,F,27,0,1,1,30,-8.0,0,0,,0.0,0.037,0.037,21.0,0.0%
25,Zach Miskovic,RFD,28,D,15,0,7,7,10,11.0,0,0,,0.0,0.467,0.467,21.0,0.0%
