Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
22,Alex Hutchings,ROC,23,F,51,5,3,8,31,-11.0,0,0,,0.098,0.059,0.157,61.0,8.2%
42,Alex Lepkowski,ROC,20,D,8,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,1.0,0.0%
23,Alexander Sulzer,ROC,29,D,10,2,5,7,2,-2.0,1,0,,0.2,0.5,0.7,11.0,18.2%
32,Andrei Makarov,ROC,20,G,10,0,1,1,2,,0,0,0.0,0.0,0.1,0.1,,
29,Blake Kessel,ROC,24,D,8,0,2,2,4,-5.0,0,0,,0.0,0.25,0.25,7.0,0.0%
31,Brandon MacLean,ROC,26,F,7,1,0,1,4,0.0,0,0,,0.143,0.0,0.143,6.0,16.7%
10,Brayden Irwin,ROC,26,F,45,7,18,25,21,7.0,2,0,,0.156,0.4,0.556,92.0,7.6%
7,Brayden McNabb,ROC,22,D,38,7,22,29,45,9.0,4,0,,0.184,0.579,0.763,84.0,8.3%
8,Chad Ruhwedel,ROC,23,D,47,4,24,28,22,-1.0,3,0,,0.085,0.511,0.596,77.0,5.2%
30,Colin Jacobs,ROC,20,F,24,0,2,2,29,-7.0,0,0,,0.0,0.083,0.083,24.0,0.0%
11,Colton Gillies,ROC,24,F,65,9,14,23,49,5.0,3,0,,0.138,0.215,0.354,84.0,10.7%
39,Connor Knapp,ROC,23,G,3,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
12,Dan Catenacci,ROC,20,F,76,10,10,20,32,-6.0,1,0,,0.132,0.132,0.263,86.0,11.6%
24,Drew Bagnall,ROC,30,D,51,0,6,6,88,-5.0,0,0,,0.0,0.118,0.118,51.0,0.0%
17,Frederick Roy,ROC,22,F,53,8,4,12,124,5.0,0,0,,0.151,0.075,0.226,51.0,15.7%
4,Jamie Tardif,ROC,28,F,51,18,19,37,28,-6.0,9,1,,0.353,0.373,0.725,154.0,11.7%
20,Jerome Gauthier-Leduc,ROC,21,D,51,3,7,10,22,-15.0,1,0,,0.059,0.137,0.196,62.0,4.8%
9,Joel Armia,ROC,20,F,54,7,20,27,30,-6.0,0,0,,0.13,0.37,0.5,110.0,6.4%
3,Johan Larsson,ROC,21,F,51,15,26,41,75,7.0,5,0,,0.294,0.51,0.804,117.0,12.8%
41,Johnathon McGuire,ROC,20,F,7,0,0,0,40,0.0,0,0,,0.0,0.0,0.0,2.0,0.0%
33,Jonathan Parker,ROC,22,F,11,0,1,1,0,1.0,0,0,,0.0,0.091,0.091,9.0,0.0%
36,Justin Kea,ROC,19,F,1,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.00%
5,Kevin Porter,ROC,27,F,50,19,17,36,24,-8.0,7,0,,0.38,0.34,0.72,91.0,20.9%
14,Kevin Sundher,ROC,21,F,60,6,14,20,25,-1.0,0,0,,0.1,0.233,0.333,56.0,10.7%
40,Luka Vidmar,ROC,27,D,6,0,0,0,6,-5.0,0,0,,0.0,0.0,0.0,3.0,0.0%
2,Luke Adam,ROC,23,F,59,29,20,49,48,-1.0,16,0,,0.492,0.339,0.831,153.0,19.0%
37,Mark Guggenberger,ROC,24,G,1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
18,Mark Pysyk,ROC,21,D,31,1,11,12,28,5.0,1,0,,0.032,0.355,0.387,37.0,2.7%
19,Matt Ellis,ROC,32,F,25,5,5,10,10,-7.0,3,0,,0.2,0.2,0.4,48.0,10.4%
43,Matt Hackett,ROC,23,G,33,0,0,0,20,,0,0,0.0,0.0,0.0,0.0,,
21,Matt MacKenzie,ROC,22,D,64,2,8,10,84,11.0,0,0,,0.031,0.125,0.156,54.0,3.7%
6,Michael Zigomanis,ROC,32,F,50,12,17,29,32,0.0,2,1,,0.24,0.34,0.58,115.0,10.4%
26,Mikhail Grigorenko,ROC,19,F,9,0,4,4,0,1.0,0,0,,0.0,0.444,0.444,16.0,0.0%
35,Nathan Lieuwen,ROC,22,G,32,0,1,1,0,,0,0,0.0,0.0,0.031,0.031,,
16,Nick Crawford,ROC,23,D,63,5,13,18,28,5.0,3,0,,0.079,0.206,0.286,58.0,8.6%
27,Nick Deslauriers,ROC,22,F,5,1,2,3,9,0.0,0,0,,0.2,0.4,0.6,13.0,7.7%
34,Nick Petrecki,ROC,24,D,14,0,1,1,28,0.0,0,0,,0.0,0.071,0.071,12.0,0.0%
28,Nick Tuzzolino,ROC,27,D,36,1,2,3,43,-10.0,0,0,,0.028,0.056,0.083,33.0,3.0%
25,Patrick Kaleta,ROC,27,F,7,1,3,4,2,0.0,0,1,,0.143,0.429,0.571,9.0,11.1%
1,Phil Varone,ROC,23,F,69,18,43,61,58,-1.0,1,0,,0.261,0.623,0.884,186.0,9.7%
13,Rasmus Ristolainen,ROC,19,D,34,6,14,20,22,-2.0,4,1,,0.176,0.412,0.588,66.0,9.1%
38,Ryan Grimshaw,ROC,23,D,2,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,1.0,0.0%
15,Tim Schaller,ROC,23,F,72,11,7,18,36,-7.0,2,0,,0.153,0.097,0.25,93.0,11.8%
