Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
9,Ben Hanowski,ADK,24,F,56,16,9,25,21,3.0,5,0,,0.286,0.161,0.446,129.0,12.4%
5,Bill Arnold,ADK,22,F,61,15,23,38,30,2.0,5,0,,0.246,0.377,0.623,87.0,17.2%
36,Brad Thiessen,ADK,28,G,34,0,1,1,0,,0,0,0.0,0.0,0.029,0.029,,
30,Brant Harris,ADK,25,F,15,2,3,5,0,0.0,0,0,,0.133,0.2,0.333,29.0,6.9%
34,Brett Cameron,ADK,24,F,5,0,1,1,6,0.0,0,0,,0.0,0.2,0.2,6.0,0.0%
20,Brett Kulak,ADK,20,D,26,4,9,13,27,-2.0,2,0,,0.154,0.346,0.5,40.0,10.0%
28,Brian McGrattan,ADK,33,F,16,1,5,6,25,7.0,0,0,,0.063,0.313,0.375,26.0,3.9%
29,Brodie Reid,ADK,25,F,11,3,2,5,2,-2.0,2,0,,0.273,0.182,0.455,24.0,12.5%
16,Bryce Van Brabant,ADK,23,F,52,8,7,15,54,-8.0,1,0,,0.154,0.135,0.288,86.0,9.3%
32,Cam Reid,ADK,23,F,12,0,2,2,4,-3.0,0,0,,0.0,0.167,0.167,17.0,0.0%
41,Christophe Lalonde,ADK,20,F,2,0,0,0,0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.00%
21,Corban Knight,ADK,24,F,22,8,4,12,12,-1.0,1,1,,0.364,0.182,0.545,51.0,15.7%
25,Corey Potter,ADK,30,D,25,0,10,10,18,10.0,0,0,,0.0,0.4,0.4,44.0,0.0%
4,David Wolf,ADK,25,F,59,20,18,38,168,8.0,4,0,,0.339,0.305,0.644,118.0,17.0%
24,Devin Setoguchi,ADK,27,F,19,3,7,10,4,-7.0,0,0,,0.158,0.368,0.526,38.0,7.9%
45,Doug Carr,ADK,25,G,13,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
26,Drew Shore,ADK,23,F,12,3,4,7,8,0.0,2,0,,0.25,0.333,0.583,18.0,16.7%
23,Dustin Stevenson,ADK,25,D,45,3,8,11,94,5.0,1,0,,0.067,0.178,0.244,73.0,4.1%
2,Emile Poirier,ADK,20,F,55,19,23,42,50,7.0,6,0,,0.345,0.418,0.764,110.0,17.3%
6,Garnet Hathaway,ADK,23,F,72,19,17,36,77,-8.0,6,2,,0.264,0.236,0.5,123.0,15.5%
38,Jacob Deserres,ADK,24,G,1,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
18,John Ramage,ADK,23,D,57,3,12,15,81,-3.0,1,0,,0.053,0.211,0.263,98.0,3.1%
46,Joni Ortio,ADK,23,G,37,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
40,Josh Jooris,ADK,24,F,2,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,6.0,0.0%
27,Kenney Morrison,ADK,22,D,10,2,4,6,4,0.0,1,0,,0.2,0.4,0.6,27.0,7.4%
1,Kenny Agostino,ADK,22,F,67,15,28,43,52,1.0,2,3,,0.224,0.418,0.642,134.0,11.2%
42,Lucas Bloodoff,ADK,25,F,2,0,0,0,2,0.0,0,0,,0.0,0.0,0.0,3.0,0.0%
8,Mark Cundari,ADK,24,D,50,7,22,29,64,-5.0,3,0,,0.14,0.44,0.58,64.0,10.9%
15,Markus Granlund,ADK,21,F,21,9,8,17,14,-2.0,3,1,,0.429,0.381,0.81,66.0,13.6%
13,Mathieu Tousignant,ADK,25,F,70,5,14,19,136,-9.0,1,1,,0.071,0.2,0.271,93.0,5.4%
3,Max Reinhart,ADK,22,F,69,15,24,39,38,-11.0,2,1,,0.217,0.348,0.565,172.0,8.7%
17,Michael Ferland,ADK,22,F,32,7,8,15,30,2.0,1,0,,0.219,0.25,0.469,80.0,8.8%
35,Nathan Moon,ADK,24,F,6,0,1,1,0,-2.0,0,0,,0.0,0.167,0.167,5.0,0.0%
39,Nick Huard,ADK,23,F,1,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.00%
22,Nolan Yonkman,ADK,33,D,65,2,10,12,52,-8.0,0,0,,0.031,0.154,0.185,65.0,3.1%
43,Oleg Yevenko,ADK,23,D,4,0,0,0,14,-2.0,0,0,,0.0,0.0,0.0,7.0,0.0%
31,Patrick Sieloff,ADK,20,D,48,2,3,5,78,-9.0,0,0,,0.042,0.063,0.104,51.0,3.9%
14,Ryan Culkin,ADK,21,D,37,1,17,18,18,7.0,1,0,,0.027,0.459,0.486,63.0,1.6%
12,Sena Acolatse,ADK,24,D,38,6,13,19,68,0.0,4,0,,0.158,0.342,0.5,71.0,8.5%
10,Sven B�rtschi,ADK,22,F,36,8,17,25,6,0.0,1,0,,0.222,0.472,0.694,75.0,10.7%
44,Taylor Stefishen,ADK,24,F,6,0,0,0,0,-2.0,0,0,,0.0,0.0,0.0,6.0,0.0%
19,Taylor Vause,ADK,23,F,41,6,8,14,4,-8.0,0,1,,0.146,0.195,0.341,70.0,8.6%
33,Trevor Gillies,ADK,35,F,20,1,0,1,45,-5.0,0,0,,0.05,0.0,0.05,4.0,25.0%
7,Turner Elson,ADK,22,F,59,17,13,30,52,5.0,2,1,,0.288,0.22,0.508,150.0,11.3%
37,Tyler Spurgeon,ADK,28,F,1,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,2.0,0.0%
11,Tyler Wotherspoon,ADK,21,D,61,2,22,24,20,-1.0,1,0,,0.033,0.361,0.393,107.0,1.9%
