Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
40,Brady Skjei,HFD,20,D,8,0,0,0,0,2.0,0,0,,0.0,0.0,0.0,5.0,0.0%
39,Bretton Stamler,HFD,27,D,7,0,0,0,4,-3.0,0,0,,0.0,0.0,0.0,4.0,0.0%
17,Carl Klingberg,HFD,23,F,13,2,9,11,4,-2.0,0,0,,0.154,0.692,0.846,28.0,7.1%
42,Cedrick Desjardins,HFD,29,G,15,0,0,0,2,,0,0,0.0,0.0,0.0,0.0,,
16,Chad Nehring,HFD,27,F,53,4,8,12,50,2.0,0,0,,0.075,0.151,0.226,54.0,7.4%
27,Chris McCarthy,HFD,23,F,5,1,0,1,0,-3.0,0,0,,0.2,0.0,0.2,6.0,16.7%
4,Chris Mueller,HFD,28,F,64,14,26,40,26,-2.0,6,0,,0.219,0.406,0.625,138.0,10.1%
33,Chris Summers,HFD,26,D,13,0,1,1,17,3.0,0,0,,0.0,0.077,0.077,11.0,0.0%
1,Christopher Bourque,HFD,28,F,73,29,37,66,68,6.0,11,0,,0.397,0.507,0.904,198.0,14.7%
5,Conor Allen,HFD,24,D,72,11,23,34,113,1.0,3,0,,0.153,0.319,0.472,92.0,12.0%
19,Dallas Jackson,HFD,25,D,44,1,9,10,18,3.0,0,0,,0.023,0.205,0.227,54.0,1.9%
35,Daniel Walcott,HFD,20,D,1,0,0,0,0,-1.0,0,0,,0.0,0.0,0.0,1.0,0.0%
3,Danny Kristo,HFD,24,F,72,22,24,46,35,11.0,4,1,,0.306,0.333,0.639,165.0,13.3%
13,Dylan McIlrath,HFD,22,D,73,6,11,17,165,5.0,0,0,,0.082,0.151,0.233,78.0,7.7%
30,Henrik Tallinder,HFD,35,D,4,0,1,1,0,1.0,0,0,,0.0,0.25,0.25,5.0,0.0%
14,J.T. Miller,HFD,21,F,18,6,9,15,12,-3.0,1,0,,0.333,0.5,0.833,42.0,14.3%
32,Jared Nightingale,HFD,32,D,6,0,1,1,2,5.0,0,0,,0.0,0.167,0.167,2.0,0.0%
38,Jason Missiaen,HFD,24,G,5,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
41,Jeff Malcolm,HFD,25,G,11,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
20,Jesper Fast,HFD,23,F,11,1,8,9,2,-2.0,0,0,,0.091,0.727,0.818,17.0,5.9%
12,Joseph Crabb,HFD,31,F,66,12,16,28,40,9.0,0,2,,0.182,0.242,0.424,74.0,16.2%
31,Josh Nicholls,HFD,22,F,5,0,1,1,0,-1.0,0,0,,0.0,0.2,0.2,3.0,0.0%
8,Justin Vaive,HFD,25,F,62,14,18,32,94,-3.0,6,0,,0.226,0.29,0.516,103.0,13.6%
28,Kodie Curran,HFD,25,D,2,0,1,1,0,1.0,0,0,,0.0,0.5,0.5,0.0,0.00%
44,Mackenzie Skapski,HFD,20,G,28,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
7,Marek Hrivik,HFD,23,F,72,12,21,33,12,8.0,3,1,,0.167,0.292,0.458,89.0,13.5%
10,Mat Bodie,HFD,24,D,75,5,27,32,42,11.0,1,0,,0.067,0.36,0.427,108.0,4.6%
34,Michael Kantor,HFD,22,F,1,0,0,0,14,0.0,0,0,,0.0,0.0,0.0,0.0,0.00%
11,Mike Kostka,HFD,29,D,63,5,25,30,35,6.0,1,0,,0.079,0.397,0.476,109.0,4.6%
24,Nick Tarnasky,HFD,30,F,26,1,4,5,36,0.0,0,0,,0.038,0.154,0.192,19.0,5.3%
2,Oscar Lindberg,HFD,23,F,75,28,28,56,68,7.0,10,0,,0.373,0.373,0.747,214.0,13.1%
9,Ryan Bourque,HFD,23,F,73,12,20,32,27,-3.0,2,1,,0.164,0.274,0.438,133.0,9.0%
6,Ryan Haggerty,HFD,21,F,76,15,18,33,34,-1.0,7,0,,0.197,0.237,0.434,161.0,9.3%
18,Ryan Malone,HFD,35,F,24,4,6,10,29,0.0,0,0,,0.167,0.25,0.417,46.0,8.7%
23,Ryan Potulny,HFD,30,F,25,2,3,5,10,1.0,0,0,,0.08,0.12,0.2,38.0,5.3%
37,Samuel Noreau,HFD,21,D,4,0,0,0,13,-1.0,0,0,,0.0,0.0,0.0,1.0,0.0%
36,Sean Escobedo,HFD,24,D,2,0,0,0,0,-2.0,0,0,,0.0,0.0,0.0,1.0,0.0%
22,Shawn O'Donnell,HFD,26,F,42,3,3,6,69,-2.0,0,0,,0.071,0.071,0.143,33.0,9.1%
25,Steve Spinell,HFD,24,D,52,1,4,5,59,2.0,0,0,,0.019,0.077,0.096,44.0,2.3%
26,Tomas Kaberle,HFD,36,D,2,0,2,2,0,-3.0,0,0,,0.0,1.0,1.0,4.0,0.0%
21,Tommy Hughes,HFD,22,D,42,1,6,7,27,6.0,0,1,,0.024,0.143,0.167,43.0,2.3%
15,Tyler Brown,HFD,24,F,37,7,7,14,10,4.0,0,0,,0.189,0.189,0.378,36.0,19.4%
29,Vinny Saponari,HFD,24,F,3,0,1,1,0,0.0,0,0,,0.0,0.333,0.333,1.0,0.0%
43,Yann Danis,HFD,33,G,24,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
