Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
40,Akim Aliu,OKC,25,F,1,0,0,0,0,-4.0,0,0,,0.0,0.0,0.0,3.0,0.0%
1,Andrew Miller,OKC,26,F,63,27,33,60,16,11.0,9,0,,0.429,0.524,0.952,149.0,18.1%
7,Anton Lander,OKC,23,F,29,9,22,31,20,8.0,3,0,,0.31,0.759,1.069,96.0,9.4%
9,Bogdan Yakimov,OKC,20,F,57,12,16,28,18,7.0,3,0,,0.211,0.281,0.491,123.0,9.8%
4,Brad Hunt,OKC,26,D,62,19,32,51,18,-6.0,8,0,,0.306,0.516,0.823,200.0,9.5%
35,Brad Winchester,OKC,33,F,11,1,0,1,8,-10.0,0,0,,0.091,0.0,0.091,19.0,5.3%
18,Brandon Davidson,OKC,23,D,55,4,6,10,43,10.0,0,0,,0.073,0.109,0.182,97.0,4.1%
42,Brett Lyon,OKC,23,F,1,0,0,0,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.00%
28,C.J. Ludwig,OKC,24,D,28,1,4,5,59,-5.0,0,0,,0.036,0.143,0.179,15.0,6.7%
19,C.J. Stretch,OKC,25,F,22,3,7,10,22,-5.0,1,0,,0.136,0.318,0.455,47.0,6.4%
36,Chase Schaber,OKC,23,F,13,1,0,1,2,-1.0,0,0,,0.077,0.0,0.077,10.0,10.0%
16,Connor Jones,OKC,24,F,41,4,6,10,31,-4.0,0,0,,0.098,0.146,0.244,56.0,7.1%
6,Curtis Hamilton,OKC,23,F,63,12,20,32,38,1.0,3,1,,0.19,0.317,0.508,93.0,12.9%
34,David Ling,OKC,39,F,3,1,0,1,2,-2.0,0,0,,0.333,0.0,0.333,4.0,25.0%
14,David Musil,OKC,21,D,65,2,9,11,35,2.0,0,0,,0.031,0.138,0.169,56.0,3.6%
12,Dillon Simpson,OKC,21,D,71,3,14,17,14,4.0,0,0,,0.042,0.197,0.239,59.0,5.1%
37,Frans Tuohimaa,OKC,23,G,3,0,1,1,0,,0,0,0.0,0.0,0.333,0.333,,
47,Graeme Craig,OKC,21,D,5,0,0,0,2,-2.0,0,0,,0.0,0.0,0.0,3.0,0.0%
43,Greger Hanson,OKC,26,F,1,0,0,0,2,0.0,0,0,,0.0,0.0,0.0,0.0,0.00%
8,Iiro Pakarinen,OKC,23,F,39,17,11,28,20,17.0,4,0,,0.436,0.282,0.718,125.0,13.6%
38,Jackson Houck,OKC,19,F,7,0,1,1,0,1.0,0,0,,0.0,0.143,0.143,11.0,0.0%
41,Jason Pitton,OKC,28,F,1,0,0,0,0,-2.0,0,0,,0.0,0.0,0.0,1.0,0.0%
2,Jason Williams,OKC,34,F,72,21,32,53,30,-14.0,9,0,,0.292,0.444,0.736,174.0,12.1%
31,Joey LaLeggia,OKC,22,D,5,1,1,2,2,-4.0,0,0,,0.2,0.2,0.4,9.0,11.1%
10,Jordan Oesterle,OKC,22,D,65,8,17,25,8,-6.0,1,1,,0.123,0.262,0.385,108.0,7.4%
11,Joshua Winquist,OKC,21,F,46,8,11,19,17,7.0,2,0,,0.174,0.239,0.413,76.0,10.5%
17,Jujhar Khaira,OKC,20,F,51,4,6,10,62,-7.0,0,0,,0.078,0.118,0.196,73.0,5.5%
26,Kale Kessy,OKC,22,F,17,3,3,6,61,-7.0,0,0,,0.176,0.176,0.353,19.0,15.8%
39,Keith Aulie,OKC,25,D,8,0,1,1,0,-6.0,0,0,,0.0,0.125,0.125,11.0,0.0%
44,Kellan Lain,OKC,25,F,2,0,0,0,4,0.0,0,0,,0.0,0.0,0.0,1.0,0.0%
13,Kellen Jones,OKC,24,F,49,5,10,15,10,-2.0,0,0,,0.102,0.204,0.306,70.0,7.1%
29,Kyle Platzer,OKC,19,F,4,2,1,3,0,2.0,0,0,,0.5,0.25,0.75,8.0,25.0%
33,Laurent Brossoit,OKC,21,G,53,0,2,2,0,,0,0,0.0,0.0,0.038,0.038,,
30,Luke Gazdic,OKC,25,F,5,2,0,2,7,-1.0,0,0,,0.4,0.0,0.4,6.0,33.3%
22,Martin Gernat,OKC,21,D,54,1,8,9,32,1.0,0,0,,0.019,0.148,0.167,52.0,1.9%
25,Martin Marincin,OKC,22,D,28,0,7,7,20,-5.0,0,0,,0.0,0.25,0.25,49.0,0.0%
3,Matthew Ford,OKC,30,F,69,19,34,53,34,-4.0,7,1,,0.275,0.493,0.768,182.0,10.4%
20,Mitch Moroz,OKC,20,F,66,5,4,9,169,-15.0,0,0,,0.076,0.061,0.136,74.0,6.8%
27,Nick Pageau,OKC,26,D,8,1,5,6,4,8.0,0,1,,0.125,0.625,0.75,7.0,14.3%
24,Oscar Klefbom,OKC,21,D,9,1,7,8,4,10.0,1,0,,0.111,0.778,0.889,13.0,7.7%
48,Richard Bachman,OKC,27,G,23,0,0,0,2,,0,0,0.0,0.0,0.0,0.0,,
5,Ryan Hamilton,OKC,29,F,43,18,19,37,15,9.0,5,0,,0.419,0.442,0.86,85.0,21.2%
15,Steven Pinizzotto,OKC,30,F,25,1,10,11,117,3.0,0,0,,0.04,0.4,0.44,25.0,4.0%
46,Tom Mele,OKC,28,F,3,0,0,0,4,0.0,0,0,,0.0,0.0,0.0,1.0,0.0%
23,Travis Ewanyk,OKC,21,F,69,3,5,8,120,-25.0,0,0,,0.043,0.072,0.116,98.0,3.1%
45,Tyler Bunz,OKC,22,G,2,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
21,Tyler Pitlick,OKC,23,F,14,3,6,9,8,-1.0,1,0,,0.214,0.429,0.643,36.0,8.3%
32,Will Acton,OKC,27,F,6,1,1,2,2,-3.0,0,0,,0.167,0.167,0.333,21.0,4.8%
