Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
45,Adin Hill,SPR,19,G,4,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
4,Alex Grant,SPR,26,D,69,11,31,42,57,-34.0,7,0,,0.159,0.449,0.609,180.0,6.1%
13,Brendan Shinnimin,SPR,24,F,30,5,9,14,36,-13.0,2,0,,0.167,0.3,0.467,64.0,7.8%
29,Christian Fischer,SPR,18,F,6,2,1,3,0,-6.0,2,0,,0.333,0.167,0.5,24.0,8.3%
24,Christian Thomas,SPR,23,F,16,3,4,7,4,-6.0,2,0,,0.188,0.25,0.438,57.0,5.3%
12,Corey Potter,SPR,31,D,52,5,12,17,32,4.0,1,1,,0.096,0.231,0.327,85.0,5.9%
1,Craig Cunningham,SPR,25,F,61,22,24,46,20,-4.0,7,0,,0.361,0.393,0.754,161.0,13.7%
18,Dakota Mermis,SPR,21,D,63,3,10,13,58,-12.0,0,0,,0.048,0.159,0.206,68.0,4.4%
28,Daniel New,SPR,26,D,18,0,4,4,4,-3.0,0,0,,0.0,0.222,0.222,34.0,0.0%
26,Daniel O'Donoghue,SPR,24,F,18,3,1,4,6,-2.0,0,0,,0.167,0.056,0.222,8.0,37.5%
11,Derek Smith,SPR,31,D,28,2,17,19,10,-5.0,0,0,,0.071,0.607,0.679,70.0,2.9%
44,Derik Johnson,SPR,25,D,4,0,0,0,2,-1.0,0,0,,0.0,0.0,0.0,6.0,0.0%
15,Domenic Monardo,SPR,27,F,44,8,5,13,16,-1.0,0,0,,0.182,0.114,0.295,56.0,14.3%
2,Dustin Jeffrey,SPR,27,F,45,13,33,46,18,8.0,4,1,,0.289,0.733,1.022,113.0,11.5%
23,Dylan Reese,SPR,31,D,23,1,7,8,19,-8.0,0,0,,0.043,0.304,0.348,38.0,2.6%
34,Dysin Mayo,SPR,19,D,5,0,1,1,2,-4.0,0,0,,0.0,0.2,0.2,8.0,0.0%
9,Eric Selleck,SPR,28,F,60,10,12,22,137,-9.0,0,0,,0.167,0.2,0.367,70.0,14.3%
3,Greg Carey,SPR,25,F,64,26,17,43,20,-6.0,10,0,,0.406,0.266,0.672,156.0,16.7%
20,Henrik Samuelsson,SPR,21,F,43,3,9,12,30,-20.0,2,0,,0.07,0.209,0.279,56.0,5.4%
46,Hunter Fejes,SPR,21,F,10,0,0,0,2,-6.0,0,0,,0.0,0.0,0.0,8.0,0.0%
36,Jacob MacDonald,SPR,22,D,1,0,0,0,0,-1.0,0,0,,0.0,0.0,0.0,1.0,0.0%
22,Jon Disalvatore,SPR,34,F,22,1,7,8,6,2.0,1,0,,0.045,0.318,0.364,25.0,4.0%
8,Jordan Szwarz,SPR,24,F,56,12,11,23,31,-2.0,2,1,,0.214,0.196,0.411,103.0,11.7%
41,Josh Robinson,SPR,26,G,3,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,
14,Justin Hache,SPR,21,D,67,2,12,14,34,5.0,0,0,,0.03,0.179,0.209,61.0,3.3%
32,Keith Aulie,SPR,26,D,7,1,0,1,11,-6.0,0,0,,0.143,0.0,0.143,4.0,25.0%
38,Kevin Montgomery,SPR,27,D,2,0,0,0,0,1.0,0,0,,0.0,0.0,0.0,0.0,0.00%
40,Kyle Wood,SPR,19,D,2,0,0,0,2,-3.0,0,0,,0.0,0.0,0.0,2.0,0.0%
7,Laurent Dauphin,SPR,20,F,66,11,13,24,72,-4.0,2,0,,0.167,0.197,0.364,144.0,7.6%
42,Logan Roe,SPR,24,D,3,0,0,0,0,-2.0,0,0,,0.0,0.0,0.0,3.0,0.0%
47,Louis Domingue,SPR,23,G,13,0,0,0,2,,0,0,0.0,0.0,0.0,0.0,,
19,Lucas Lessio,SPR,22,F,24,7,5,12,25,-9.0,1,0,,0.292,0.208,0.5,55.0,12.7%
