Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
11,Adam Helewka,SJ,21,F,58,14,15,29,28,8.0,4,0,2,0.241,0.259,0.5,116.0,12.1%
26,Alex Gallant,SJ,24,F,29,0,2,2,126,-3.0,0,0,0,0.0,0.069,0.069,14.0,0.0%
22,Alex Schoenborn,SJ,21,F,29,1,3,4,25,-6.0,0,0,0,0.034,0.103,0.138,24.0,4.2%
4,Barclay Goodrow,SJ,23,F,61,25,20,45,55,16.0,6,4,5,0.41,0.328,0.738,152.0,16.5%
24,Bryan Moore,SJ,22,F,2,1,1,2,12,2.0,0,0,0,0.5,0.5,1.0,5.0,20.0%
15,Buddy Robinson,SJ,25,F,33,10,9,19,53,5.0,0,2,0,0.303,0.273,0.576,81.0,12.4%
34,Clarke Saunders,SJ,27,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
25,Colby McAuley,SJ,20,F,4,0,2,2,0,0.0,0,0,0,0.0,0.5,0.5,1.0,0.0%
18,Colin Blackwell,SJ,23,F,57,4,7,11,24,-7.0,0,0,0,0.07,0.123,0.193,87.0,4.6%
20,Dan Kelly,SJ,27,D,53,1,6,7,116,4.0,0,0,0,0.019,0.113,0.132,46.0,2.2%
1,Danny O'Regan,SJ,22,F,63,23,35,58,10,6.0,11,0,5,0.365,0.556,0.921,143.0,16.1%
35,Harrison Ruopp,SJ,23,D,3,0,0,0,0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
19,Jacob Middleton,SJ,20,D,50,1,8,9,56,11.0,0,0,1,0.02,0.16,0.18,43.0,2.3%
36,Jake Marchment,SJ,21,F,4,0,0,0,22,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
33,Jason Fram,SJ,21,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
3,Joakim Ryan,SJ,23,D,65,10,39,49,41,27.0,6,1,4,0.154,0.6,0.754,185.0,5.4%
9,John McCarthy,SJ,30,F,67,19,14,33,26,6.0,6,2,0,0.284,0.209,0.493,145.0,13.1%
21,Jon Martin,SJ,21,F,26,2,3,5,23,1.0,0,0,0,0.077,0.115,0.192,21.0,9.5%
10,Julius Bergman,SJ,21,D,64,3,27,30,40,-1.0,2,0,0,0.047,0.422,0.469,138.0,2.2%
16,Kevin Labanc,SJ,21,F,19,6,13,19,24,2.0,2,1,0,0.316,0.684,1.0,60.0,10.0%
38,Mantas Armalis,SJ,24,G,24,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
8,Marcus S�rensen,SJ,24,F,43,17,17,34,23,17.0,3,1,3,0.395,0.395,0.791,108.0,15.7%
31,Matt Willows,SJ,25,F,1,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
23,Mike Brodzinski,SJ,21,D,9,0,3,3,6,2.0,0,0,0,0.0,0.333,0.333,13.0,0.0%
14,Mirco M�ller,SJ,21,D,62,2,18,20,22,-3.0,2,0,0,0.032,0.29,0.323,84.0,2.4%
28,Nick DeSimone,SJ,22,D,4,1,0,1,0,5.0,0,0,0,0.25,0.0,0.25,7.0,14.3%
13,Nikita Jevpalovs,SJ,22,F,65,13,8,21,41,13.0,0,0,3,0.2,0.123,0.323,85.0,15.3%
5,Nikolai Goldobin,SJ,21,F,46,15,26,41,16,5.0,5,0,4,0.326,0.565,0.891,91.0,16.5%
30,Noah Rod,SJ,20,F,2,0,1,1,0,1.0,0,0,0,0.0,0.5,0.5,4.0,0.0%
17,Patrick McNally,SJ,25,D,59,3,12,15,30,5.0,1,0,0,0.051,0.203,0.254,72.0,4.2%
7,Rourke Chartier,SJ,20,F,67,17,18,35,10,13.0,3,2,4,0.254,0.269,0.522,155.0,11.0%
6,Ryan Carpenter,SJ,25,F,54,14,25,39,24,17.0,3,1,2,0.259,0.463,0.722,145.0,9.7%
37,Tim Clifton,SJ,24,F,8,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
2,Tim Heed,SJ,25,D,55,14,42,56,12,14.0,8,0,4,0.255,0.764,1.018,140.0,10.0%
12,Timo Meier,SJ,20,F,33,14,9,23,40,9.0,3,0,4,0.424,0.273,0.697,98.0,14.3%
32,Travis Brown,SJ,22,D,1,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
27,Troy Grosenick,SJ,27,G,49,0,2,2,8,,0,0,0,0.0,0.041,0.041,,
29,Zack Stortini,SJ,31,F,26,1,0,1,96,-3.0,0,0,1,0.038,0.0,0.038,18.0,5.6%
