Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
38,Adin Hill,TUC,20,G,40,0,1,1,8,,0,0,0,0.0,0.025,0.025,,
11,Anthony DeAngelo,TUC,21,D,25,3,13,16,31,-2.0,2,0,1,0.12,0.52,0.64,50.0,6.0%
21,Anthony Duclair,TUC,21,F,16,1,7,8,4,-11.0,0,0,0,0.063,0.438,0.5,26.0,3.9%
22,Branden Troock,TUC,22,F,20,4,3,7,11,-7.0,0,0,0,0.2,0.15,0.35,28.0,14.3%
16,Brandon Burlon,TUC,26,D,33,3,8,11,39,-7.0,0,0,0,0.091,0.242,0.333,20.0,15.0%
8,Brendan Perlini,TUC,20,F,17,14,5,19,14,1.0,7,0,4,0.824,0.294,1.118,49.0,28.6%
41,Brendan Ranford,TUC,24,F,10,0,0,0,4,-3.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
1,Chris Mueller,TUC,30,F,68,19,48,67,48,-4.0,8,1,3,0.279,0.706,0.985,119.0,16.0%
2,Christian Fischer,TUC,19,F,57,20,27,47,28,-17.0,5,1,4,0.351,0.474,0.825,139.0,14.4%
13,Conor Garland,TUC,20,F,55,5,9,14,37,-13.0,0,0,0,0.091,0.164,0.255,79.0,6.3%
14,Craig Cunningham,TUC,26,F,11,4,9,13,6,-1.0,3,0,0,0.364,0.818,1.182,27.0,14.8%
15,Dakota Mermis,TUC,22,D,67,2,10,12,75,-17.0,0,0,0,0.03,0.149,0.179,69.0,2.9%
29,David Musil,TUC,23,D,13,0,4,4,6,-6.0,0,0,0,0.0,0.308,0.308,13.0,0.0%
33,Dysin Mayo,TUC,20,D,25,1,2,3,0,-8.0,1,0,0,0.04,0.08,0.12,26.0,3.9%
19,Eric Selleck,TUC,29,F,46,5,4,9,103,-14.0,0,0,2,0.109,0.087,0.196,65.0,7.7%
28,Garret Ross,TUC,24,F,27,1,3,4,39,-15.0,0,0,0,0.037,0.111,0.148,33.0,3.0%
25,Grayson Downing,TUC,24,F,12,2,2,4,4,-3.0,0,0,1,0.167,0.167,0.333,20.0,10.0%
31,Henrik Samuelsson,TUC,22,F,20,2,1,3,16,0.0,2,0,1,0.1,0.05,0.15,17.0,11.8%
24,Hunter Fejes,TUC,22,F,19,1,4,5,21,-2.0,0,0,0,0.053,0.211,0.263,16.0,6.3%
34,Jalen Smereck,TUC,19,D,2,1,1,2,0,1.0,0,0,0,0.5,0.5,1.0,6.0,16.7%
4,Jamie McBain,TUC,28,D,64,8,35,43,48,-28.0,4,0,0,0.125,0.547,0.672,116.0,6.9%
17,Jarred Tinordi,TUC,24,F,64,1,10,11,102,-6.0,0,0,0,0.016,0.156,0.172,79.0,1.3%
18,Jeremy Morin,TUC,25,F,20,7,2,9,23,-1.0,1,0,0,0.35,0.1,0.45,36.0,19.4%
20,Joe Whitney,TUC,28,F,19,3,5,8,8,-7.0,1,0,0,0.158,0.263,0.421,28.0,10.7%
36,Justin Hache,TUC,22,D,5,0,1,1,9,-2.0,0,0,0,0.0,0.2,0.2,7.0,0.0%
37,Justin Peters,TUC,30,G,12,0,1,1,2,,0,0,0,0.0,0.083,0.083,,
32,Kevin Connauton,TUC,26,D,2,1,2,3,2,0.0,0,0,0,0.5,1.0,1.5,6.0,16.7%
39,Kyle Capobianco,TUC,19,D,4,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
3,Kyle Wood,TUC,20,D,68,14,29,43,16,-23.0,11,0,1,0.206,0.426,0.632,140.0,10.0%
5,Laurent Dauphin,TUC,21,F,38,17,11,28,44,-10.0,5,3,2,0.447,0.289,0.737,101.0,16.8%
27,Lindsay Sparks,TUC,26,F,22,1,3,4,12,-2.0,0,0,0,0.045,0.136,0.182,15.0,6.7%
42,Marek Langhamer,TUC,22,G,25,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
35,Mark Cooper,TUC,24,F,10,0,2,2,4,-3.0,0,0,0,0.0,0.2,0.2,9.0,0.0%
10,Mark Olver,TUC,28,F,41,6,11,17,29,0.0,0,0,1,0.146,0.268,0.415,52.0,11.5%
40,Matia Marcantuoni,TUC,22,F,7,0,0,0,6,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
6,Michael Bunting,TUC,21,F,67,13,15,28,52,-1.0,3,0,2,0.194,0.224,0.418,135.0,9.6%
23,Mitch Moroz,TUC,22,F,24,3,3,6,32,4.0,0,0,1,0.125,0.125,0.25,17.0,17.7%
9,Ryan MacInnis,TUC,20,F,68,8,9,17,50,-21.0,1,0,1,0.118,0.132,0.25,76.0,10.5%
26,Stefan Fournier,TUC,24,F,29,2,2,4,95,-1.0,0,0,0,0.069,0.069,0.138,26.0,7.7%
30,Trevor Cheek,TUC,24,F,23,0,4,4,10,-1.0,0,0,0,0.0,0.174,0.174,18.0,0.0%
7,Tyler Gaudet,TUC,23,F,62,6,16,22,36,-15.0,0,2,1,0.097,0.258,0.355,115.0,5.2%
12,Zbynek Mich�lek,TUC,34,D,43,6,8,14,32,-4.0,2,0,1,0.14,0.186,0.326,90.0,6.7%
