Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
12,Alex Lintuniemi,ONT,22,D,64,4,20,24,30,-6,3,0,2,0.063,0.313,0.375,94,4.3%
11,Andrew Crescenzi,ONT,25,F,57,12,12,24,65,-14,2,0,2,0.211,0.211,0.421,70,17.1%
14,Austin Wagner,ONT,20,F,50,10,7,17,62,-4,1,0,1,0.2,0.14,0.34,69,14.5%
30,Bokondji Imama,ONT,21,F,38,0,1,1,59,-7,0,0,0,0.0,0.026,0.026,23,0.0%
6,Brett Sutter,ONT,30,F,68,15,19,34,64,5,2,3,3,0.221,0.279,0.5,134,11.2%
37,Cal Petersen,ONT,23,G,41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
31,Colton Saucerman,ONT,25,D,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
28,Cory Ward,ONT,24,F,18,1,0,1,2,-2,0,0,0,0.056,0.0,0.056,21,4.8%
36,Jack Campbell,ONT,25,G,26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
22,Jamie Devane,ONT,26,F,54,2,3,5,96,-6,0,0,0,0.037,0.056,0.093,42,4.8%
26,Jaret Anderson-Dolan,ONT,18,F,5,0,2,2,2,1,0,0,0,0.0,0.4,0.4,8,0.0%
35,Jonathan Racine,ONT,24,D,6,0,0,0,22,-1,0,0,0,0.0,0.0,0.0,7,0.0%
7,Jonny Brodzinski,ONT,24,F,29,13,17,30,18,9,1,1,2,0.448,0.586,1.034,110,11.8%
19,Jordan Subban,ONT,22,D,36,4,4,8,53,-9,1,0,0,0.111,0.111,0.222,58,6.9%
10,Justin Auger,ONT,23,F,65,11,14,25,39,-13,0,0,2,0.169,0.215,0.385,114,9.7%
27,Keegan Iverson,ONT,21,F,11,1,0,1,23,5,0,0,1,0.091,0.0,0.091,12,8.3%
17,Kevin Gravel,ONT,25,D,25,3,8,11,17,-3,2,0,2,0.12,0.32,0.44,55,5.5%
21,Kurtis MacDermid,ONT,23,D,32,1,5,6,78,8,0,1,0,0.031,0.156,0.188,39,2.6%
24,Kyle Bauman,ONT,24,F,6,1,1,2,0,1,0,0,0,0.167,0.167,0.333,7,14.3%
8,Matt Luff,ONT,20,F,67,12,17,29,42,3,2,0,1,0.179,0.254,0.433,144,8.3%
32,Matt Marcinew,ONT,24,F,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0%
2,Matt Moulson,ONT,34,F,49,18,28,46,16,18,4,0,3,0.367,0.571,0.939,102,17.7%
15,Matt Roy,ONT,22,D,49,4,13,17,23,10,2,0,0,0.082,0.265,0.347,95,4.2%
29,Michael Eyssimont,ONT,21,F,3,0,1,1,0,1,0,0,0,0.0,0.333,0.333,2,0.0%
1,Michael Mersch,ONT,25,F,65,21,28,49,16,11,10,0,5,0.323,0.431,0.754,191,11.0%
5,Mike Amadio,ONT,21,F,32,11,24,35,12,15,2,0,1,0.344,0.75,1.094,68,16.2%
16,Oscar Fantenberg,ONT,26,D,25,1,12,13,8,1,1,0,0,0.04,0.48,0.52,61,1.6%
13,Paul LaDue,ONT,25,D,36,8,10,18,22,8,4,0,0,0.222,0.278,0.5,85,9.4%
4,Philippe Maillet,ONT,25,F,64,18,18,36,18,3,5,0,3,0.281,0.281,0.563,133,13.5%
18,Sam Herr,ONT,25,F,59,5,4,9,31,-3,0,0,0,0.085,0.068,0.153,80,6.3%
34,Scott Wedgewood,ONT,25,G,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
9,Sean Walker,ONT,23,D,64,7,21,28,59,17,3,0,1,0.109,0.328,0.438,161,4.4%
25,Spencer Watson,ONT,21,F,11,1,1,2,6,-4,0,0,0,0.091,0.091,0.182,17,5.9%
20,Stepan Falkovsky,ONT,21,D,44,3,4,7,28,-1,1,0,1,0.068,0.091,0.159,52,5.8%
33,Steven Johnson,ONT,23,D,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0.0%
3,T.J. Hensick,ONT,32,F,60,11,34,45,12,10,2,0,5,0.183,0.567,0.75,107,10.3%
23,Zach Leslie,ONT,23,D,26,1,4,5,10,-2,1,0,0,0.038,0.154,0.192,49,2.0%
