Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
17,Adam Brooks,TOR,21,F,57,8,11,19,2,7,3,0,3,0.14,0.193,0.333,69,11.6%
43,Alex Gudbranson,TOR,23,D,3,0,0,0,0,2,0,0,0,0.0,0.0,0.0,3,0.0%
23,Andreas Borgman,TOR,22,D,25,4,5,9,23,-6,0,0,0,0.16,0.2,0.36,44,9.1%
2,Andreas Johnson,TOR,23,F,54,26,28,54,53,16,8,0,4,0.481,0.519,1.0,132,19.7%
12,Andrew Nielsen,TOR,21,D,65,6,20,26,143,3,2,0,1,0.092,0.308,0.4,93,6.5%
1,Ben Smith,TOR,29,F,73,27,32,59,10,29,3,2,8,0.37,0.438,0.808,147,18.4%
27,Brady Ferguson,TOR,23,F,5,0,4,4,2,2,0,0,0,0.0,0.8,0.8,6,0.0%
14,Calle Ros�n,TOR,23,D,62,4,18,22,26,1,2,0,1,0.065,0.29,0.355,159,2.5%
47,Calvin Pickard,TOR,25,G,33,0,0,0,4,0,0,0,0,0.0,0.0,0.0,1,0.0%
29,Carl Grundstr�m,TOR,20,F,2,1,2,3,0,1,0,0,0,0.5,1.0,1.5,8,12.5%
3,Chris Mueller,TOR,31,F,73,19,33,52,30,-2,7,0,2,0.26,0.452,0.712,160,11.9%
9,Colin Greening,TOR,31,F,73,16,13,29,35,9,0,1,5,0.219,0.178,0.397,130,12.3%
30,Derian Plouffe,TOR,22,F,10,0,3,3,4,0,0,0,0,0.0,0.3,0.3,12,0.0%
5,Dmytro Timashov,TOR,21,F,67,13,21,34,33,5,5,0,3,0.194,0.313,0.507,107,12.2%
32,Erik Bradford,TOR,23,F,1,1,0,1,0,2,0,0,0,1.0,0.0,1.0,2,50.0%
18,Frederik Gauthier,TOR,22,F,57,7,11,18,10,2,2,1,1,0.123,0.193,0.316,52,13.5%
37,Garret Sparks,TOR,24,G,43,0,1,1,6,0,0,0,0,0.0,0.023,0.023,0,0.00%
45,Hunter Fejes,TOR,23,F,4,0,0,0,0,-1,0,0,0,0.0,0.0,0.0,3,0.0%
40,Ian Scott,TOR,18,G,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
28,Jean Dupuy,TOR,23,F,17,3,0,3,8,1,0,0,0,0.176,0.0,0.176,21,14.3%
42,Jeff King,TOR,21,D,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0%
7,Jeremy Bracco,TOR,20,F,50,6,26,32,10,6,2,0,2,0.12,0.52,0.64,71,8.5%
36,Jesper Lindgren,TOR,20,D,4,0,1,1,0,-4,0,0,0,0.0,0.25,0.25,4,0.0%
33,Josh Kestner,TOR,24,F,3,1,0,1,2,-1,1,0,1,0.333,0.0,0.333,3,33.3%
41,Joshua Winquist,TOR,24,F,2,0,0,0,0,-1,0,0,0,0.0,0.0,0.0,2,0.0%
10,Justin Holl,TOR,25,D,60,7,21,28,34,23,0,1,1,0.117,0.35,0.467,125,5.6%
39,Kasimir Kaskisuo,TOR,24,G,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.00%
13,Kasperi Kapanen,TOR,21,F,28,12,12,24,12,8,5,1,2,0.429,0.429,0.857,68,17.7%
8,Kerby Rychel,TOR,23,F,55,10,20,30,36,-4,4,0,4,0.182,0.364,0.545,118,8.5%
31,Kristian Pospisil,TOR,21,F,2,1,1,2,2,4,0,0,0,0.5,0.5,1.0,4,25.0%
25,Kyle Baun,TOR,25,F,17,1,5,6,8,0,0,0,0,0.059,0.294,0.353,37,2.7%
16,Martin Marincin,TOR,25,D,52,4,16,20,18,35,1,0,0,0.077,0.308,0.385,78,5.1%
44,Martins Dzierkals,TOR,20,F,4,0,0,0,2,-4,0,0,0,0.0,0.0,0.0,5,0.0%
11,Mason Marchment,TOR,22,F,44,11,15,26,36,12,1,0,2,0.25,0.341,0.591,80,13.8%
38,Max Novak,TOR,26,F,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0%
46,Michael Paliotta,TOR,24,D,8,0,0,0,2,-6,0,0,0,0.0,0.0,0.0,10,0.0%
4,Miro Aaltonen,TOR,24,F,64,20,23,43,24,29,4,0,7,0.313,0.359,0.672,129,15.5%
20,Nikita Soshnikov,TOR,24,F,19,7,10,17,12,13,0,1,1,0.368,0.526,0.895,58,12.1%
24,Pierre Engvall,TOR,21,F,9,4,4,8,2,-2,3,0,1,0.444,0.444,0.889,24,16.7%
26,Rich Clune,TOR,30,F,47,3,1,4,75,1,0,0,0,0.064,0.021,0.085,30,10.0%
22,Rinat Valiyev,TOR,22,D,40,5,10,15,26,14,0,1,1,0.125,0.25,0.375,48,10.4%
35,Sam Jardine,TOR,24,D,1,0,1,1,2,1,0,0,0,0.0,1.0,1.0,1,0.0%
34,Scott Pooley,TOR,23,F,5,1,0,1,0,-1,0,0,0,0.2,0.0,0.2,20,5.0%
21,Timothy Liljegren,TOR,18,D,44,1,16,17,20,12,1,0,0,0.023,0.364,0.386,71,1.4%
19,Travis Dermott,TOR,21,D,28,2,16,18,34,15,0,0,0,0.071,0.571,0.643,48,4.2%
6,Trevor Moore,TOR,22,F,68,12,21,33,22,1,5,0,2,0.176,0.309,0.485,128,9.4%
15,Vincent LoVerde,TOR,28,D,63,9,12,21,22,12,3,1,0,0.143,0.19,0.333,80,11.3%
