Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
20,Aaron Luchuk,BEL,21,F,27,4,5,9,0,1.0,0,0,0,0.148,0.185,0.333,37.0,10.8%
6,Adam Tambellini,BEL,24,F,72,13,19,32,18,-8.0,5,0,0,0.181,0.264,0.444,140.0,9.3%
43,Alex Breton,BEL,21,D,1,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
16,Andreas Englund,BEL,22,D,68,3,11,14,77,7.0,0,0,0,0.044,0.162,0.206,33.0,9.1%
27,Andrew Sturtz,BEL,24,F,15,2,4,6,12,0.0,0,0,0,0.133,0.267,0.4,18.0,11.1%
37,Austin Fyten,BEL,27,F,6,1,0,1,0,-1.0,0,0,0,0.167,0.0,0.167,3.0,33.3%
23,Ben Sexton,BEL,27,F,17,0,9,9,16,1.0,0,0,0,0.0,0.529,0.529,29.0,0.0%
28,Boston Leier,BEL,25,F,34,1,5,6,10,-2.0,0,0,1,0.029,0.147,0.176,23.0,4.4%
11,Chase Balisy,BEL,26,F,76,7,15,22,36,3.0,1,0,4,0.092,0.197,0.289,78.0,9.0%
36,Chris Carlisle,BEL,24,D,10,0,3,3,6,3.0,0,0,0,0.0,0.3,0.3,17.0,0.0%
42,Christian Jaros,BEL,22,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
8,Christian Wolanin,BEL,23,D,40,7,24,31,24,7.0,1,0,1,0.175,0.6,0.775,69.0,10.1%
19,Cody Goloubef,BEL,29,D,30,3,9,12,46,15.0,1,0,0,0.1,0.3,0.4,60.0,5.0%
34,Daniel Ciampini,BEL,28,F,19,1,2,3,2,0.0,0,0,0,0.053,0.105,0.158,10.0,10.0%
15,Darren Archibald,BEL,28,F,28,8,9,17,26,-1.0,1,1,2,0.286,0.321,0.607,66.0,12.1%
1,Drake Batherson,BEL,20,F,59,22,40,62,39,15.0,6,0,1,0.373,0.678,1.051,133.0,16.5%
32,Erik Br�nnstr�m,BEL,19,D,9,0,4,4,12,-2.0,0,0,0,0.0,0.444,0.444,13.0,0.0%
14,Erik Burgdoerfer,BEL,30,D,64,5,13,18,44,18.0,0,1,0,0.078,0.203,0.281,107.0,4.7%
5,Filip Chlapik,BEL,21,F,57,16,18,34,28,-1.0,6,1,5,0.281,0.316,0.596,132.0,12.1%
48,Filip Gustavsson,BEL,20,G,31,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
25,Francois Beauchemin,BEL,22,F,40,4,2,6,26,-8.0,0,0,1,0.1,0.05,0.15,21.0,19.1%
21,Gabriel Gagne,BEL,22,F,33,4,5,9,8,-2.0,0,0,0,0.121,0.152,0.273,59.0,6.8%
2,Jack Rodewald,BEL,24,F,59,23,24,47,12,13.0,10,3,3,0.39,0.407,0.797,142.0,16.2%
45,Jake Paterson,BEL,24,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
35,Jean-Christophe Beaudin,BEL,21,F,20,1,2,3,2,0.0,0,0,0,0.05,0.1,0.15,18.0,5.6%
33,Jim O'Brien,BEL,29,F,11,1,2,3,4,1.0,0,0,0,0.091,0.182,0.273,15.0,6.7%
38,Jonathan Racine,BEL,25,D,9,1,0,1,13,-2.0,0,0,0,0.111,0.0,0.111,5.0,20.0%
10,Jordan Murray,BEL,26,D,54,9,17,26,38,-2.0,4,0,1,0.167,0.315,0.481,81.0,11.1%
17,Joseph LaBate,BEL,25,F,70,8,5,13,106,-12.0,0,0,0,0.114,0.071,0.186,80.0,10.0%
