Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
13,Adam Ollas Mattsson,STK,22,D,65,6,12,18,28,22.0,0,0,0,0.092,0.185,0.277,69.0,8.7%
1,Alan Quine,STK,25,F,41,19,33,52,18,2.0,6,0,2,0.463,0.805,1.268,100.0,19.0%
14,Andrew Mangiapane,STK,22,F,15,9,8,17,20,-5.0,2,0,1,0.6,0.533,1.133,39.0,23.1%
27,Andrew Nielsen,STK,22,D,29,0,4,4,56,-7.0,0,0,0,0.0,0.138,0.138,26.0,0.0%
34,Andrew O'Brien,STK,26,D,9,1,0,1,20,-5.0,0,0,0,0.111,0.0,0.111,14.0,7.1%
21,Anthony Peluso,STK,29,F,35,3,5,8,56,-6.0,0,1,0,0.086,0.143,0.229,29.0,10.3%
46,Brady Austin,STK,25,D,2,0,0,0,0,-4.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
17,Brett Pollock,STK,22,F,53,3,9,12,20,-9.0,0,0,0,0.057,0.17,0.226,77.0,3.9%
4,Buddy Robinson,STK,27,F,65,14,28,42,51,10.0,5,1,2,0.215,0.431,0.646,153.0,9.2%
36,Clifford Watson,STK,25,D,4,0,1,1,6,1.0,0,0,0,0.0,0.25,0.25,6.0,0.0%
33,Corey Schueneman,STK,23,D,6,1,0,1,2,-2.0,0,0,0,0.167,0.0,0.167,5.0,20.0%
5,Curtis Lazar,STK,23,F,57,20,21,41,47,-9.0,8,3,5,0.351,0.368,0.719,125.0,16.0%
29,Dalton Prout,STK,28,D,4,1,2,3,8,-2.0,0,0,0,0.25,0.5,0.75,8.0,12.5%
6,Dillon Dube,STK,20,F,37,15,24,39,24,7.0,2,2,3,0.405,0.649,1.054,116.0,12.9%
48,Etienne Boutet,STK,26,D,2,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
9,Glenn Gawdin,STK,21,F,64,11,27,38,59,0.0,6,1,1,0.172,0.422,0.594,119.0,9.2%
43,Jared VanWormer,STK,26,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
22,John McCarron,STK,26,F,14,3,4,7,8,4.0,0,0,0,0.214,0.286,0.5,23.0,13.0%
39,Jon Gillies,STK,24,G,45,0,1,1,0,,0,0,0,0.0,0.022,0.022,,
42,Jordan Ernst,STK,21,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
18,Josh Healey,STK,24,D,55,1,10,11,64,4.0,0,0,0,0.018,0.182,0.2,31.0,3.2%
16,Juuso V�lim�ki,STK,20,D,20,4,10,14,18,9.0,0,0,1,0.2,0.5,0.7,37.0,10.8%
40,Kayle Doetzel,STK,23,D,1,0,0,0,12,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
3,Kerby Rychel,STK,24,F,57,23,20,43,29,-8.0,8,0,4,0.404,0.351,0.754,134.0,17.2%
26,Kevin Tansey,STK,25,D,11,2,2,4,2,0.0,0,0,0,0.182,0.182,0.364,15.0,13.3%
31,Marcus H�gstr�m,STK,29,D,12,0,2,2,6,-4.0,0,0,0,0.0,0.167,0.167,18.0,0.0%
25,Mason Morelli,STK,22,F,9,3,1,4,6,7.0,0,0,0,0.333,0.111,0.444,16.0,18.8%
