Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
22,Adam Clendening,CLE,28,D,9,1,3,4,6,3.0,0,0,0,0.111,0.333,0.444,15.0,6.7%
9,Adam Helewka,CLE,25,F,25,3,9,12,4,-12.0,0,0,1,0.12,0.36,0.48,71.0,4.2%
23,Andrew Peeke,CLE,22,D,7,0,4,4,2,2.0,0,0,0,0.0,0.571,0.571,12.0,0.0%
40,Brad Thiessen,CLE,34,G,12,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
33,Brandon Crawley,CLE,23,D,13,0,1,1,23,2.0,0,0,0,0.0,0.077,0.077,9.0,0.0%
38,Brandon Fortunato,CLE,24,D,9,0,0,0,8,3.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
26,Brett Gallant,CLE,32,F,17,2,0,2,41,-1.0,0,0,0,0.118,0.0,0.118,14.0,14.3%
3,Carson Meyer,CLE,23,F,26,9,11,20,13,-2.0,5,0,0,0.346,0.423,0.769,69.0,13.0%
12,Cliff Pu,CLE,22,F,16,3,7,10,6,4.0,0,0,0,0.188,0.438,0.625,32.0,9.4%
30,Cole Fonstad,CLE,20,F,2,0,1,1,0,-1.0,0,0,0,0.0,0.5,0.5,4.0,0.0%
29,Connor McDonald,CLE,25,D,5,0,2,2,2,3.0,0,0,0,0.0,0.4,0.4,5.0,0.0%
32,Daniil Tarasov,CLE,21,G,6,0,1,1,0,,0,0,0,0.0,0.167,0.167,,
5,Dillon Simpson,CLE,27,D,23,6,11,17,4,-1.0,2,0,1,0.261,0.478,0.739,34.0,17.7%
17,Evan Polei,CLE,24,F,15,3,3,6,40,7.0,0,0,1,0.2,0.2,0.4,22.0,13.6%
8,Gavin Bayreuther,CLE,26,D,14,3,9,12,18,-5.0,2,0,1,0.214,0.643,0.857,39.0,7.7%
7,Jacob Christiansen,CLE,21,D,28,3,12,15,14,3.0,1,0,0,0.107,0.429,0.536,59.0,5.1%
39,Jake Gaudet,CLE,24,F,9,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,8.0,0.0%
10,Josh Dunne,CLE,22,F,15,8,2,10,14,4.0,2,0,2,0.533,0.133,0.667,31.0,25.8%
36,Justin Kapelmaster,CLE,25,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
15,Justin Scott,CLE,25,F,18,2,5,7,35,9.0,0,1,0,0.111,0.278,0.389,32.0,6.3%
20,Kole Sherwood,CLE,23,F,9,3,1,4,17,2.0,0,0,1,0.333,0.111,0.444,21.0,14.3%
6,Liam Foudy,CLE,20,F,12,3,13,16,0,7.0,1,1,0,0.25,1.083,1.333,25.0,12.0%
25,Luke Moncada,CLE,20,F,17,1,2,3,7,5.0,0,0,0,0.059,0.118,0.176,9.0,11.1%
37,Matiss Kivlenieks,CLE,24,G,8,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
24,Matthew Struthers,CLE,21,F,19,2,1,3,10,2.0,0,0,1,0.105,0.053,0.158,21.0,9.5%
11,Nathan Gerbe,CLE,33,F,13,4,6,10,36,-4.0,1,0,0,0.308,0.462,0.769,32.0,12.5%
28,Nick Lappin,CLE,28,F,11,1,1,2,2,3.0,0,0,0,0.091,0.091,0.182,15.0,6.7%
18,Ole Bj�rgvik Holm,CLE,18,D,16,1,4,5,8,-1.0,0,0,0,0.063,0.25,0.313,13.0,7.7%
27,Ryan MacInnis,CLE,24,F,5,1,1,2,0,0.0,0,0,0,0.2,0.2,0.4,16.0,6.3%
4,Thomas Schemitsch,CLE,24,D,28,2,16,18,19,-5.0,0,1,0,0.071,0.571,0.643,46.0,4.4%
14,Trey Fix-Wolansky,CLE,21,F,9,4,5,9,2,-6.0,4,0,1,0.444,0.556,1.0,27.0,14.8%
21,Tristen Mullin,CLE,24,F,15,3,1,4,12,2.0,0,0,1,0.2,0.067,0.267,17.0,17.7%
1,Tyler Angle,CLE,20,F,23,11,13,24,2,8.0,3,1,3,0.478,0.565,1.043,55.0,20.0%
2,Tyler Sikura,CLE,28,F,29,11,10,21,10,-19.0,5,1,2,0.379,0.345,0.724,66.0,16.7%
34,Veini Vehvil�inen,CLE,23,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
31,William Lochead,CLE,22,D,5,0,1,1,5,0.0,0,0,0,0.0,0.2,0.2,3.0,0.0%
35,William Moskal,CLE,20,F,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
13,Wyatt Newpower,CLE,23,D,24,3,7,10,14,10.0,1,0,0,0.125,0.292,0.417,33.0,9.1%
19,Zac Dalpe,CLE,31,F,5,3,1,4,5,-4.0,1,0,0,0.6,0.2,0.8,10.0,30.0%
16,Zach Jordan,CLE,24,F,27,4,2,6,19,-2.0,1,1,0,0.148,0.074,0.222,45.0,8.9%
