Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
24,Alex Dostie,SD,23,F,20,0,5,5,4,-6.0,0.0,0.0,0.0,0.0,0.25,0.25,21.0,0.0%
7,Alex Limoges,SD,23,F,23,11,10,21,8,13.0,2.0,0.0,1.0,0.478,0.435,0.913,39.0,28.2%
4,Andrew Agozzino,SD,29,F,31,13,14,27,27,-4.0,8.0,0.0,2.0,0.419,0.452,0.871,71.0,18.3%
1,Andrew Poturalski,SD,26,F,44,9,34,43,10,-3.0,1.0,0.0,1.0,0.205,0.773,0.977,102.0,8.8%
34,Andrew Welinski,SD,27,D,3,0,0,0,9,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0%
33,Anthony Stolarz,SD,26,G,3,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,
21,Antoine Morand,SD,21,F,21,1,5,6,12,-9.0,0.0,0.0,0.0,0.048,0.238,0.286,24.0,4.2%
22,Axel Andersson,SD,20,D,17,2,3,5,2,-3.0,1.0,0.0,0.0,0.118,0.176,0.294,27.0,7.4%
3,Benoit-Olivier Groulx,SD,20,F,42,10,19,29,24,14.0,0.0,2.0,0.0,0.238,0.452,0.69,60.0,16.7%
37,Brayden Tracey,SD,19,F,12,0,0,0,4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0%
15,Brendan Guhle,SD,23,D,23,2,10,12,25,9.0,0.0,0.0,0.0,0.087,0.435,0.522,37.0,5.4%
30,Brent Gates,SD,23,F,2,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0%
9,Bryce Kindopp,SD,21,F,39,10,10,20,4,8.0,1.0,2.0,2.0,0.256,0.256,0.513,54.0,18.5%
28,Charlie Sampair,SD,27,F,5,1,0,1,2,-2.0,0.0,0.0,0.0,0.2,0.0,0.2,6.0,16.7%
2,Chase de Leo,SD,25,F,37,15,20,35,18,1.0,7.0,1.0,4.0,0.405,0.541,0.946,124.0,12.1%
25,Greg Printz,SD,22,F,13,1,2,3,12,-4.0,0.0,0.0,0.0,0.077,0.154,0.231,13.0,7.7%
14,Hunter Drew,SD,22,D,33,6,6,12,29,4.0,0.0,0.0,1.0,0.182,0.182,0.364,66.0,9.1%
32,Jack Badini,SD,22,F,23,0,1,1,4,-3.0,0.0,0.0,0.0,0.0,0.043,0.043,11.0,0.0%
11,Jacob Perreault,SD,18,F,27,3,14,17,29,-11.0,0.0,0.0,0.0,0.111,0.519,0.63,36.0,8.3%
29,Jamie Devane,SD,29,F,26,1,0,1,44,-6.0,0.0,0.0,1.0,0.038,0.0,0.038,19.0,5.3%
18,Jamie Drysdale,SD,18,D,14,4,6,10,6,1.0,0.0,0.0,1.0,0.286,0.429,0.714,36.0,11.1%
35,Jeff Glass,SD,35,G,4,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,
27,Jeremy Roy,SD,23,D,16,0,2,2,15,-4.0,0.0,0.0,0.0,0.0,0.125,0.125,17.0,0.0%
10,Joshua Mahura,SD,22,D,28,6,14,20,16,9.0,1.0,0.0,1.0,0.214,0.5,0.714,49.0,12.2%
36,Keegan Kanzig,SD,25,D,8,0,0,0,31,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0%
20,Keegan Lowe,SD,27,D,44,2,4,6,33,-9.0,0.0,0.0,2.0,0.045,0.091,0.136,47.0,4.3%
13,Kodie Curran,SD,31,D,24,6,7,13,15,-8.0,3.0,0.0,0.0,0.25,0.292,0.542,41.0,14.6%
38,Lukas Dostal,SD,20,G,24,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,
17,Matt Lorito,SD,30,F,27,6,5,11,14,-4.0,0.0,0.0,1.0,0.222,0.185,0.407,40.0,15.0%
23,Maxim Golod,SD,20,F,16,1,4,5,8,5.0,0.0,0.0,1.0,0.063,0.25,0.313,8.0,12.5%
12,Nikolas Brouillard,SD,25,D,29,3,11,14,28,6.0,1.0,0.0,0.0,0.103,0.379,0.483,43.0,7.0%
31,Olle Eriksson-Ek,SD,21,G,15,0,1,1,0,,,,,0.0,0.067,0.067,,
6,Sam Carrick,SD,28,F,27,14,10,24,19,5.0,4.0,0.0,1.0,0.519,0.37,0.889,91.0,15.4%
19,Simon Benoit,SD,22,D,38,1,7,8,32,4.0,0.0,0.0,1.0,0.026,0.184,0.211,40.0,2.5%
26,Sonny Milano,SD,24,F,2,0,2,2,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0%
16,Trevor Carrick,SD,26,D,39,1,11,12,53,4.0,0.0,0.0,0.0,0.026,0.282,0.308,60.0,1.7%
8,Trevor Zegras,SD,19,F,17,10,11,21,12,7.0,2.0,0.0,1.0,0.588,0.647,1.235,53.0,18.9%
5,Vinni Lettieri,SD,25,F,22,14,12,26,12,-5.0,4.0,0.0,5.0,0.636,0.545,1.182,80.0,17.5%
