Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
39,Anthony Nellis,MTB,27,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
37,Arvid Holm,MTB,23,G,24,0,1,1,4,,0,0,0,0.0,0.042,0.042,,
8,Austin Poganski,MTB,25,F,49,9,21,30,20,1.0,2,0,1,0.184,0.429,0.612,82.0,11.0%
14,Bobby Lynch,MTB,23,F,46,8,13,21,10,-8.0,1,0,1,0.174,0.283,0.457,70.0,11.4%
10,C.J. Suess,MTB,27,F,46,14,14,28,16,5.0,2,1,3,0.304,0.304,0.609,103.0,13.6%
41,Chris Martenet,MTB,25,D,3,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
3,Cole Maier,MTB,26,F,68,17,20,37,57,11.0,2,1,2,0.25,0.294,0.544,160.0,10.6%
16,Cole Perfetti,MTB,19,F,17,6,9,15,2,6.0,2,0,0,0.353,0.529,0.882,48.0,12.5%
30,Daniel Torgersson,MTB,19,F,4,2,1,3,4,2.0,0,0,0,0.5,0.25,0.75,6.0,33.3%
6,David Gustafsson,MTB,21,F,47,15,15,30,10,4.0,6,1,3,0.319,0.319,0.638,102.0,14.7%
23,Dean Stewart,MTB,23,D,20,1,8,9,4,-3.0,1,0,0,0.05,0.4,0.45,30.0,3.3%
9,Declan Chisholm,MTB,21,D,53,9,21,30,20,1.0,2,0,1,0.17,0.396,0.566,76.0,11.8%
34,Dominic Toninato,MTB,27,F,2,0,1,1,2,0.0,0,0,0,0.0,0.5,0.5,2.0,0.0%
21,Dylan Samberg,MTB,22,D,32,0,12,12,26,10.0,0,0,0,0.0,0.375,0.375,38.0,0.0%
47,Evan Cormier,MTB,24,G,14,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
13,Evan Polei,MTB,25,F,62,11,12,23,97,8.0,0,0,2,0.177,0.194,0.371,94.0,11.7%
11,Greg Meireles,MTB,22,F,49,5,22,27,19,-2.0,3,0,1,0.102,0.449,0.551,72.0,6.9%
17,Haralds Egle,MTB,25,F,30,5,9,14,4,10.0,0,0,2,0.167,0.3,0.467,38.0,13.2%
35,Hayden Shaw,MTB,25,D,4,0,1,1,0,0.0,0,0,0,0.0,0.25,0.25,4.0,0.0%
44,Henri Nikkanen,MTB,20,F,4,0,0,0,2,2.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
29,Isaac Johnson,MTB,22,F,11,1,3,4,0,-2.0,1,0,0,0.091,0.273,0.364,13.0,7.7%
2,Jeff Malott,MTB,25,F,62,23,18,41,55,11.0,10,0,8,0.371,0.29,0.661,166.0,13.9%
15,Jimmy Oligny,MTB,28,D,67,4,13,17,91,-1.0,0,0,1,0.06,0.194,0.254,93.0,4.3%
7,Johnathan Kovacevic,MTB,24,D,62,11,19,30,45,23.0,0,0,1,0.177,0.306,0.484,135.0,8.2%
20,Kristian Reichel,MTB,23,F,30,5,8,13,12,0.0,1,2,2,0.167,0.267,0.433,67.0,7.5%
25,Kristian Vesalainen,MTB,22,F,17,3,3,6,6,-3.0,1,1,0,0.176,0.176,0.353,21.0,14.3%
4,Leon Gawanke,MTB,22,D,65,10,26,36,19,-1.0,4,0,1,0.154,0.4,0.554,141.0,7.1%
22,Luke Johnson,MTB,27,F,23,3,7,10,33,-7.0,0,0,1,0.13,0.304,0.435,62.0,4.8%
33,Markus Phillips,MTB,22,D,7,0,2,2,8,3.0,0,0,0,0.0,0.286,0.286,7.0,0.0%
28,Matt Alfaro,MTB,25,F,20,3,1,4,4,-6.0,1,0,0,0.15,0.05,0.2,15.0,20.0%
1,Michael Eyssimont,MTB,25,F,58,18,24,42,90,15.0,3,0,2,0.31,0.414,0.724,205.0,8.8%
38,Mikhail Berdin,MTB,23,G,32,0,1,1,8,,0,0,0,0.0,0.031,0.031,,
31,Morgan Barron,MTB,23,F,5,1,1,2,0,-5.0,1,0,0,0.2,0.2,0.4,15.0,6.7%
26,Nelson Nogier,MTB,25,D,25,3,3,6,8,-4.0,0,0,1,0.12,0.12,0.24,43.0,7.0%
24,Nick Hutchinson,MTB,26,F,27,3,4,7,19,-3.0,0,0,0,0.111,0.148,0.259,18.0,16.7%
5,Nick Jones,MTB,25,F,60,12,22,34,36,11.0,1,1,1,0.2,0.367,0.567,111.0,10.8%
43,Philippe Desrosiers,MTB,26,G,4,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
18,Simon Lundmark,MTB,21,D,57,4,10,14,14,-4.0,0,0,0,0.07,0.175,0.246,79.0,5.1%
27,Thomas Caron,MTB,21,F,40,3,3,6,41,-4.0,0,0,0,0.075,0.075,0.15,45.0,6.7%
19,Todd Burgess,MTB,25,F,35,7,6,13,9,-1.0,1,0,1,0.2,0.171,0.371,56.0,12.5%
46,Trenton Bourque,MTB,23,D,9,0,0,0,8,1.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
45,Tristan Langan,MTB,23,F,5,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
40,Tristan Pomerleau,MTB,25,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
32,Ty Pelton-Byce,MTB,24,F,14,1,1,2,6,-5.0,0,0,0,0.071,0.071,0.143,9.0,11.1%
36,Tyler Boland,MTB,25,F,13,0,1,1,0,-3.0,0,0,0,0.0,0.077,0.077,12.0,0.0%
12,Ville Heinola,MTB,20,D,41,5,21,26,18,7.0,5,0,0,0.122,0.512,0.634,113.0,4.4%
42,Wyatt Bongiovanni,MTB,22,F,3,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
