Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
13,Aaron Ness,PRO,31,D,55,3,16,19,16,2.0,1,0,0,0.055,0.291,0.345,63.0,4.8%
19,Alex-Olivier Voyer,PRO,22,F,41,3,5,8,30,-1.0,0,1,0,0.073,0.122,0.195,48.0,6.3%
32,Alexis D'Aoust,PRO,25,F,1,1,0,1,0,1.0,0,0,0,1.0,0.0,1.0,2.0,50.0%
28,Andrew Peski,PRO,24,D,9,1,1,2,2,-1.0,0,0,0,0.111,0.111,0.222,4.0,25.0%
22,Blake Hillman,PRO,25,D,20,0,7,7,6,9.0,0,0,0,0.0,0.35,0.35,25.0,0.0%
17,Brady Lyle,PRO,22,D,48,2,7,9,10,-7.0,0,0,0,0.042,0.146,0.188,63.0,3.2%
53,Brandon Bussi,PRO,23,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
51,Brent Beaudoin,PRO,25,F,3,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
44,Bryan Lemos,PRO,25,F,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
38,Callum Booth,PRO,24,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
1,Cameron Hughes,PRO,25,F,59,14,31,45,39,-7.0,1,4,0,0.237,0.525,0.763,156.0,9.0%
10,Chris Wagner,PRO,30,F,62,15,12,27,39,-5.0,5,0,1,0.242,0.194,0.435,175.0,8.6%
25,Curtis Hall,PRO,21,F,52,2,3,5,4,-6.0,0,0,0,0.038,0.058,0.096,54.0,3.7%
41,David Drake,PRO,26,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
11,Eduards Tralmaks,PRO,24,F,51,14,13,27,30,22.0,0,0,4,0.275,0.255,0.529,58.0,24.1%
26,Georgi Merkulov,PRO,21,F,8,1,4,5,8,-1.0,0,0,0,0.125,0.5,0.625,13.0,7.7%
46,Grant Gabriele,PRO,24,D,2,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
55,Ian McKinnon,PRO,23,F,11,0,0,0,55,-2.0,0,0,0,0.0,0.0,0.0,10.0,0.0%
12,Jack Ahcan,PRO,24,D,46,6,17,23,10,-2.0,3,0,0,0.13,0.37,0.5,92.0,6.5%
37,Jack Dougherty,PRO,25,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
4,Jack Studnicka,PRO,22,F,41,10,25,35,36,-11.0,2,0,0,0.244,0.61,0.854,118.0,8.5%
47,Jacob Wilson,PRO,24,D,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
16,Jakub Lauko,PRO,21,F,54,3,13,16,56,-28.0,1,0,0,0.056,0.241,0.296,113.0,2.7%
30,James Greenway,PRO,23,D,16,0,2,2,17,0.0,0,0,0,0.0,0.125,0.125,13.0,0.0%
40,Jeremy Brodeur,PRO,25,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
52,Jeremy Swayman,PRO,23,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
5,Jesper Fr�d�n,PRO,27,F,49,16,18,34,26,-4.0,8,0,4,0.327,0.367,0.694,128.0,12.5%
24,John Beecher,PRO,20,F,9,3,2,5,0,-7.0,1,0,1,0.333,0.222,0.556,20.0,15.0%
23,John Moore,PRO,31,D,11,1,5,6,8,-6.0,1,0,0,0.091,0.455,0.545,28.0,3.6%
48,Jon Gillies,PRO,27,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
8,Joona Koppanen,PRO,23,F,62,11,19,30,20,21.0,3,2,2,0.177,0.306,0.484,69.0,15.9%
27,Josiah Didier,PRO,28,D,40,1,2,3,55,6.0,0,0,0,0.025,0.05,0.075,43.0,2.3%
7,Justin Brazeau,PRO,23,F,51,15,16,31,6,9.0,4,0,1,0.294,0.314,0.608,86.0,17.4%
33,Keltie Jeri-Leon,PRO,21,F,2,1,0,1,0,1.0,0,0,0,0.5,0.0,0.5,3.0,33.3%
54,Kodie Curran,PRO,32,D,11,0,0,0,6,1.0,0,0,0,0.0,0.0,0.0,20.0,0.0%
56,Kyle Keyser,PRO,22,G,33,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
45,Liam Coughlin,PRO,27,F,2,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
42,Marc McLaughlin,PRO,22,F,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
15,Matt Filipe,PRO,24,F,59,7,10,17,52,2.0,1,0,1,0.119,0.169,0.288,81.0,8.6%
