Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
35,Adam Brubacher,BAK,27,D,10,0,1,1,8,2.0,0,0,0,0.0,0.1,0.1,4.0,0.0%
15,Alex Peters,BAK,26,D,49,8,11,19,65,11.0,0,0,3,0.163,0.224,0.388,85.0,9.4%
13,Brad Malone,BAK,33,F,41,4,17,21,40,6.0,0,0,0,0.098,0.415,0.512,73.0,5.5%
36,Calvin Pickard,BAK,30,G,38,0,1,1,2,,0,0,0,0.0,0.026,0.026,,
18,Cam Dineen,BAK,24,D,19,2,10,12,0,-1.0,0,0,0,0.105,0.526,0.632,44.0,4.6%
39,Carl Berglund,BAK,22,F,6,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
20,Carter Savoie,BAK,20,F,44,8,3,11,18,-17.0,3,0,1,0.182,0.068,0.25,55.0,14.6%
17,Constandino Kambeitz,BAK,22,F,63,6,8,14,36,11.0,1,1,1,0.095,0.127,0.222,79.0,7.6%
23,Darien Kielb,BAK,23,D,25,2,4,6,16,5.0,0,0,0,0.08,0.16,0.24,37.0,5.4%
24,Devin Shore,BAK,28,F,5,2,3,5,0,1.0,0,0,0,0.4,0.6,1.0,6.0,33.3%
34,Drake Rymsha,BAK,24,F,4,0,1,1,2,-2.0,0,0,0,0.0,0.25,0.25,4.0,0.0%
21,Dylan Holloway,BAK,21,F,12,7,3,10,4,3.0,3,0,2,0.583,0.25,0.833,34.0,20.6%
30,Filip Engar�s,BAK,23,F,11,2,0,2,6,0.0,0,0,1,0.182,0.0,0.182,4.0,50.0%
25,Graham McPhee,BAK,24,F,27,1,4,5,26,0.0,0,0,0,0.037,0.148,0.185,26.0,3.9%
14,Greg McKegg,BAK,30,F,66,7,13,20,62,5.0,1,1,0,0.106,0.197,0.303,85.0,8.2%
6,James Hamblin,BAK,23,F,52,10,18,28,14,-1.0,2,1,3,0.192,0.346,0.538,116.0,8.6%
16,Jason Demers,BAK,34,D,57,0,18,18,87,-5.0,0,0,0,0.0,0.316,0.316,68.0,0.0%
5,Justin Bailey,BAK,27,F,58,19,13,32,42,-6.0,7,2,2,0.328,0.224,0.552,152.0,12.5%
28,Klim Kostin,BAK,23,F,9,2,2,4,15,-4.0,0,0,1,0.222,0.222,0.444,17.0,11.8%
11,Luke Esposito,BAK,29,F,68,5,17,22,98,6.0,0,0,1,0.074,0.25,0.324,80.0,6.3%
37,Mark Rassell,BAK,25,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
22,Markus Niemel�inen,BAK,24,D,30,2,5,7,18,4.0,0,0,0,0.067,0.167,0.233,33.0,6.1%
26,Mattias Janmark-Nyl�n,BAK,30,F,4,2,2,4,2,3.0,0,0,1,0.5,0.5,1.0,5.0,40.0%
19,Max Gildon,BAK,23,D,41,2,10,12,46,0.0,1,0,0,0.049,0.244,0.293,68.0,2.9%
10,Michael Kesselring,BAK,22,D,49,13,9,22,40,5.0,0,0,1,0.265,0.184,0.449,159.0,8.2%
3,Noah Philp,BAK,24,F,70,19,18,37,61,4.0,3,0,1,0.271,0.257,0.529,116.0,16.4%
29,Olivier Rodrigue,BAK,22,G,29,0,3,3,0,,0,0,0,0.0,0.103,0.103,,
27,Philip Broberg,BAK,21,D,7,2,2,4,0,-2.0,1,0,0,0.286,0.286,0.571,15.0,13.3%
12,Philip Kemp,BAK,23,D,71,6,15,21,51,12.0,0,0,0,0.085,0.211,0.296,59.0,10.2%
2,Raphael Lavoie,BAK,22,F,61,25,20,45,47,10.0,7,0,9,0.41,0.328,0.738,184.0,13.6%
40,Ryan Fanti,BAK,23,G,8,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
38,Ryan Murray,BAK,29,D,2,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
33,Samuel Dove-McFalls,BAK,25,F,16,1,0,1,16,-1.0,0,0,1,0.063,0.0,0.063,11.0,9.1%
1,Seth Griffith,BAK,29,F,72,17,43,60,32,-13.0,5,0,3,0.236,0.597,0.833,122.0,13.9%
9,Tyler Benson,BAK,24,F,43,5,18,23,29,-3.0,1,0,3,0.116,0.419,0.535,73.0,6.9%
7,Tyler Tullio,BAK,20,F,63,13,13,26,18,2.0,3,0,2,0.206,0.206,0.413,92.0,14.1%
31,Vincent Desharnais,BAK,26,D,13,0,2,2,19,1.0,0,0,0,0.0,0.154,0.154,15.0,0.0%
32,Xavier Bernard,BAK,22,D,12,1,0,1,12,-1.0,0,0,0,0.083,0.0,0.083,10.0,10.0%
4,Xavier Bourgault,BAK,20,F,62,13,21,34,16,10.0,5,2,1,0.21,0.339,0.548,117.0,11.1%
8,Yanni Kaldis,BAK,27,D,51,6,20,26,27,-7.0,2,0,0,0.118,0.392,0.51,82.0,7.3%
