Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
13,Adam Klapka,CGY,22,F,60,13,12,25,80,1.0,5,0,2,0.217,0.2,0.417,103.0,12.6%
23,Alex Gallant,CGY,30,F,46,1,5,6,114,4.0,0,0,0,0.022,0.109,0.13,30.0,3.3%
3,Benjamin Jones,CGY,23,F,71,17,37,54,63,28.0,4,3,1,0.239,0.521,0.761,202.0,8.4%
9,Brett Sutter,CGY,35,F,70,14,15,29,49,1.0,2,2,4,0.2,0.214,0.414,115.0,12.2%
28,Calder Brooks,CGY,28,F,5,0,1,1,2,3.0,0,0,0,0.0,0.2,0.2,2.0,0.0%
14,Clark Bishop,CGY,26,F,64,11,12,23,58,10.0,1,2,4,0.172,0.188,0.359,86.0,12.8%
8,Cole Schwindt,CGY,21,F,70,14,18,32,29,4.0,7,0,4,0.2,0.257,0.457,118.0,11.9%
20,Colton Poolman,CGY,27,D,64,2,12,14,8,18.0,0,0,1,0.031,0.188,0.219,49.0,4.1%
2,Connor Zary,CGY,21,F,72,21,37,58,63,7.0,8,0,2,0.292,0.514,0.806,183.0,11.5%
31,Daniil Chechelev,CGY,21,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
24,Dennis Gilbert,CGY,26,D,26,2,3,5,41,11.0,0,1,0,0.077,0.115,0.192,15.0,13.3%
19,Dryden Hunt,CGY,27,F,17,5,10,15,18,8.0,3,0,1,0.294,0.588,0.882,45.0,11.1%
29,Dustin Wolf,CGY,21,G,55,0,1,1,0,,0,0,0,0.0,0.018,0.018,,
33,Ilya Nikolayev,CGY,21,F,5,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
17,Ilya Solovyov,CGY,22,D,68,4,14,18,38,18.0,0,0,1,0.059,0.206,0.265,82.0,4.9%
7,Jakob Pelletier,CGY,21,F,35,16,21,37,24,2.0,8,0,2,0.457,0.6,1.057,92.0,17.4%
22,Josh Brook,CGY,23,D,13,1,5,6,10,10.0,0,0,0,0.077,0.385,0.462,26.0,3.9%
6,J�r�my Poirier,CGY,20,D,69,9,32,41,52,4.0,3,0,1,0.13,0.464,0.594,172.0,5.2%
18,Kevin Rooney,CGY,29,F,51,5,12,17,28,3.0,0,2,1,0.098,0.235,0.333,73.0,6.9%
26,Kristians Rubins,CGY,25,D,3,0,2,2,0,1.0,0,0,0,0.0,0.667,0.667,4.0,0.0%
21,Martin Pospisil,CGY,23,F,20,4,6,10,24,1.0,0,0,0,0.2,0.3,0.5,48.0,8.3%
5,Mathias Emilio Pettersen,CGY,22,F,61,19,25,44,35,23.0,6,0,1,0.311,0.41,0.721,118.0,16.1%
1,Matthew Phillips,CGY,24,F,66,36,40,76,12,16.0,10,0,15,0.545,0.606,1.152,193.0,18.7%
11,Mitch McLain,CGY,29,F,56,16,12,28,108,10.0,3,0,1,0.286,0.214,0.5,99.0,16.2%
4,Nick DeSimone,CGY,28,D,65,8,38,46,38,28.0,4,0,1,0.123,0.585,0.708,165.0,4.9%
15,Nicolas Meloche,CGY,25,D,64,4,17,21,66,18.0,0,1,0,0.063,0.266,0.328,79.0,5.1%
34,Oscar Dansk,CGY,28,G,17,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
27,Parker Bell,CGY,19,F,2,0,1,1,0,1.0,0,0,0,0.0,0.5,0.5,2.0,0.0%
10,Radim Zohorna,CGY,26,F,40,10,19,29,23,17.0,2,0,1,0.25,0.475,0.725,63.0,15.9%
25,Rory Kerins,CGY,20,F,6,1,1,2,0,4.0,0,0,0,0.167,0.167,0.333,7.0,14.3%
30,Tyson Helgesen,CGY,25,D,1,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
12,Walker Duehr,CGY,25,F,41,15,11,26,36,5.0,3,1,3,0.366,0.268,0.634,92.0,16.3%
32,William Str�mgren,CGY,19,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
16,Yan Kuznetsov,CGY,20,D,63,5,14,19,30,3.0,0,0,2,0.079,0.222,0.302,65.0,7.7%
