Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
35,Adam Scheel,CHI,24,G,42,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
20,Alexander Green,CHI,25,D,41,2,4,6,29,-12.0,0,0,0,0.049,0.098,0.146,61.0,3.3%
33,Antti Raanta,CHI,34,G,8,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
31,Austen Keating,CHI,24,F,1,0,0,0,0,-2.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
22,Austin Strand,CHI,26,D,10,1,3,4,14,-3.0,0,0,0,0.1,0.3,0.4,25.0,4.0%
8,Cavan Fitzgerald,CHI,27,D,60,12,15,27,28,-7.0,2,0,1,0.2,0.25,0.45,106.0,11.3%
2,Chris Terry,CHI,34,F,61,21,29,50,37,-16.0,9,0,2,0.344,0.475,0.82,174.0,12.1%
9,Cole Schneider,CHI,33,F,56,13,11,24,22,-20.0,7,0,2,0.232,0.196,0.429,77.0,16.9%
28,Connor McClennon,CHI,21,F,7,0,1,1,2,-2.0,0,0,0,0.0,0.143,0.143,5.0,0.0%
11,Cory Conacher,CHI,34,F,66,8,11,19,80,-16.0,2,2,1,0.121,0.167,0.288,89.0,9.0%
12,Domenick Fensore,CHI,22,D,39,2,14,16,18,-9.0,0,0,2,0.051,0.359,0.41,63.0,3.2%
15,Dominic Franco,CHI,27,F,56,4,8,12,90,-5.0,0,1,0,0.071,0.143,0.214,48.0,8.3%
18,Griffin Mendel,CHI,24,D,44,2,6,8,35,-9.0,0,0,0,0.045,0.136,0.182,47.0,4.3%
26,Hank Crone,CHI,25,F,3,0,1,1,0,1.0,0,0,0,0.0,0.333,0.333,2.0,0.0%
10,Hudson Elynuik,CHI,26,F,46,7,13,20,32,-8.0,1,0,0,0.152,0.283,0.435,67.0,10.5%
16,Isaac Ratcliffe,CHI,24,F,66,7,3,10,60,-21.0,2,0,0,0.106,0.045,0.152,82.0,8.5%
29,Jake Wise,CHI,23,F,15,0,1,1,6,-4.0,0,0,0,0.0,0.067,0.067,12.0,0.0%
6,Josh Melnick,CHI,28,F,69,8,23,31,18,-5.0,3,1,0,0.116,0.333,0.449,57.0,14.0%
25,Julian Junca,CHI,25,G,2,0,1,1,0,,0,0,0,0.0,0.5,0.5,,
34,Keith Kinkaid,CHI,34,G,24,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
23,Kyle Marino,CHI,28,D,65,1,3,4,114,-12.0,0,0,0,0.015,0.046,0.062,45.0,2.2%
4,Matt Donovan,CHI,33,D,69,4,39,43,88,-41.0,1,0,0,0.058,0.565,0.623,132.0,3.0%
3,Maxime Comtois,CHI,24,F,65,19,25,44,109,-23.0,6,1,2,0.292,0.385,0.677,122.0,15.6%
19,Mitchell Vande Sompel,CHI,26,D,31,2,5,7,4,-7.0,0,0,0,0.065,0.161,0.226,36.0,5.6%
5,Nathan Sucese,CHI,27,F,72,23,14,37,18,-15.0,7,3,3,0.319,0.194,0.514,169.0,13.6%
27,Owen Headrick,CHI,26,D,5,0,1,1,2,-1.0,0,0,0,0.0,0.2,0.2,5.0,0.0%
32,Patrick Moynihan,CHI,22,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
24,Peter Abbandonato,CHI,25,F,12,1,2,3,2,-4.0,0,0,0,0.083,0.167,0.25,18.0,5.6%
1,Rocco Grimaldi,CHI,30,F,72,36,37,73,38,-26.0,11,2,6,0.5,0.514,1.014,228.0,15.8%
13,Ronan Seeley,CHI,21,D,58,2,12,14,16,-28.0,0,0,0,0.034,0.207,0.241,78.0,2.6%
17,Ryan Wagner,CHI,27,F,63,3,7,10,28,-20.0,1,0,0,0.048,0.111,0.159,40.0,7.5%
14,Tory Dello,CHI,26,D,65,3,10,13,28,-3.0,0,0,0,0.046,0.154,0.2,86.0,3.5%
21,Tyson Feist,CHI,22,D,22,1,4,5,24,-4.0,0,0,0,0.045,0.182,0.227,15.0,6.7%
7,Vasily Ponomaryov,CHI,21,F,39,8,21,29,14,-15.0,4,0,2,0.205,0.538,0.744,50.0,16.0%
30,Zach Jordan,CHI,27,F,17,0,1,1,14,-7.0,0,0,0,0.0,0.059,0.059,28.0,0.0%
