Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
35,Ales Stezka,CV,26,G,27,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
4,Andrew Poturalski,CV,29,F,60,15,36,51,30,8.0,9,0,3,0.25,0.6,0.85,144.0,10.4%
8,Cale Fleury,CV,25,D,65,7,29,36,20,29.0,2,0,0,0.108,0.446,0.554,126.0,5.6%
34,Cale Morris,CV,27,G,7,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
3,Cameron Hughes,CV,27,F,69,25,32,57,56,25.0,3,1,5,0.362,0.464,0.826,176.0,14.2%
29,Chris Driedger,CV,29,G,39,0,1,1,0,,0,0,0,0.0,0.026,0.026,,
10,Connor Carrick,CV,29,D,70,9,25,34,66,12.0,4,0,0,0.129,0.357,0.486,203.0,4.4%
30,David Goyette,CV,19,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
13,Devin Shore,CV,29,F,39,7,18,25,4,-1.0,3,0,4,0.179,0.462,0.641,100.0,7.0%
19,Gustav Olofsson,CV,29,D,51,1,11,12,18,19.0,0,0,0,0.02,0.216,0.235,82.0,1.2%
26,Ian McKinnon,CV,25,F,20,1,1,2,38,-4.0,0,0,0,0.05,0.05,0.1,8.0,12.5%
31,Jack LaFontaine,CV,25,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
15,Jacob Melanson,CV,20,F,62,6,12,18,87,0.0,1,0,1,0.097,0.194,0.29,111.0,5.4%
14,James Schuldt,CV,28,D,68,5,19,24,42,22.0,0,0,0,0.074,0.279,0.353,110.0,4.6%
24,Jani Nyman,CV,19,F,5,2,0,2,2,1.0,0,0,1,0.4,0.0,0.4,13.0,15.4%
27,Jaycob Megna,CV,31,D,2,1,0,1,0,3.0,0,0,0,0.5,0.0,0.5,2.0,50.0%
23,Jeremy McKenna,CV,24,F,11,2,1,3,2,1.0,0,0,0,0.182,0.091,0.273,13.0,15.4%
12,John Hayden,CV,28,F,65,15,11,26,73,8.0,2,3,3,0.231,0.169,0.4,116.0,12.9%
1,Kole Lind,CV,25,F,69,17,48,65,65,15.0,6,0,3,0.246,0.696,0.942,171.0,9.9%
25,Lleyton Roed,CV,21,F,5,1,1,2,2,0.0,0,0,0,0.2,0.2,0.4,8.0,12.5%
7,Logan Morrison,CV,21,F,64,16,25,41,4,14.0,4,1,3,0.25,0.391,0.641,113.0,14.2%
28,Lukas Dragicevic,CV,18,D,3,0,1,1,4,-4.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
17,Luke Henman,CV,23,F,45,7,7,14,29,14.0,0,0,1,0.156,0.156,0.311,57.0,12.3%
6,Marian Studenic,CV,25,F,64,15,29,44,14,30.0,0,2,4,0.234,0.453,0.688,123.0,12.2%
33,Max Andreyev,CV,25,F,5,0,0,0,4,1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2,Max McCormick,CV,31,F,68,32,28,60,61,20.0,5,1,5,0.471,0.412,0.882,163.0,19.6%
22,Mitch Reinke,CV,27,D,25,1,4,5,12,-1.0,0,0,0,0.04,0.16,0.2,23.0,4.4%
20,Peetro Sepp�l�,CV,23,D,49,1,10,11,14,17.0,0,0,0,0.02,0.204,0.224,39.0,2.6%
32,Ryan Jones,CV,27,D,5,0,0,0,4,0.0,0,0,0,0.0,0.0,0.0,9.0,0.0%
9,Ryan Winterton,CV,20,F,58,22,13,35,23,25.0,0,3,2,0.379,0.224,0.603,113.0,19.5%
16,Ryker Evans,CV,22,D,25,2,13,15,28,0.0,1,0,1,0.08,0.52,0.6,60.0,3.3%
5,Shane Wright,CV,19,F,59,22,25,47,18,6.0,7,0,3,0.373,0.424,0.797,159.0,13.8%
21,Tucker Robertson,CV,20,F,39,6,4,10,16,3.0,0,0,0,0.154,0.103,0.256,48.0,12.5%
11,Ville Ottavainen,CV,21,D,70,8,26,34,30,27.0,0,0,2,0.114,0.371,0.486,137.0,5.8%
18,Ville Petman,CV,23,F,55,2,10,12,20,12.0,0,1,1,0.036,0.182,0.218,52.0,3.9%
