Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2,Aatu R�ty,ABB,22,F,43,17,23,40,38,9.0,3,1,2,0.395,0.535,0.93,98.0,17.4%
20,Akito Hirose,ABB,25,D,34,4,8,12,29,4.0,0,0,1,0.118,0.235,0.353,40.0,10.0%
1,Arshdeep Bains,ABB,23,F,50,11,32,43,26,10.0,2,0,2,0.22,0.64,0.86,67.0,16.4%
31,Arturs Silovs,ABB,23,G,21,0,2,2,2,,0,0,0,0.0,0.095,0.095,,
30,Ben Berard,ABB,25,F,4,2,0,2,4,1.0,0,0,0,0.5,0.0,0.5,8.0,25.0%
26,Carsen Twarynski,ABB,27,F,26,2,5,7,16,-1.0,0,0,0,0.077,0.192,0.269,36.0,5.6%
12,Chase Wouters,ABB,24,F,72,10,18,28,67,1.0,2,3,1,0.139,0.25,0.389,122.0,8.2%
38,Christian Felton,ABB,24,D,13,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,10.0,0.0%
4,Christian Wolanin,ABB,29,D,58,4,36,40,44,4.0,3,0,0,0.069,0.621,0.69,129.0,3.1%
14,Cole McWard,ABB,23,D,67,6,20,26,16,10.0,0,0,0,0.09,0.299,0.388,127.0,4.7%
18,Constandino Kambeitz,ABB,24,F,52,10,4,14,45,3.0,0,2,1,0.192,0.077,0.269,46.0,21.7%
22,Cooper Walker,ABB,22,F,34,5,5,10,10,7.0,0,0,0,0.147,0.147,0.294,24.0,20.8%
7,Danila Klimovich,ABB,21,F,65,25,13,38,59,5.0,8,0,3,0.385,0.2,0.585,178.0,14.0%
19,Elias Pettersson,ABB,20,D,38,1,12,13,38,7.0,0,0,0,0.026,0.316,0.342,61.0,1.6%
21,Erik Br�nnstr�m,ABB,25,D,8,2,10,12,14,11.0,0,0,0,0.25,1.25,1.5,24.0,8.3%
28,Guillaume Brisebois,ABB,27,D,48,2,3,5,19,3.0,0,0,0,0.042,0.063,0.104,54.0,3.7%
33,Jackson Kunz,ABB,22,F,1,0,1,1,0,1.0,0,0,0,0.0,1.0,1.0,1.0,0.0%
16,Jett Woo,ABB,24,D,67,2,16,18,90,14.0,0,0,1,0.03,0.239,0.269,111.0,1.8%
36,Jiri Patera,ABB,25,G,7,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
32,Joe Arntsen,ABB,21,D,10,1,0,1,10,-2.0,0,0,0,0.1,0.0,0.1,12.0,8.3%
17,John Stevens,ABB,30,F,45,4,11,15,20,4.0,0,0,1,0.089,0.244,0.333,41.0,9.8%
10,Jonathan Lekkerim�ki,ABB,20,F,36,19,9,28,0,-3.0,7,0,5,0.528,0.25,0.778,121.0,15.7%
34,Josh Bloom,ABB,21,F,2,0,1,1,0,0.0,0,0,0,0.0,0.5,0.5,1.0,0.0%
25,Jujhar Khaira,ABB,30,F,17,3,5,8,16,4.0,0,0,0,0.176,0.294,0.471,16.0,18.8%
15,Kirill Kudryavtsev,ABB,20,D,65,5,21,26,22,18.0,1,0,0,0.077,0.323,0.4,81.0,6.2%
35,Layton Ahac,ABB,23,D,4,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
5,Linus Karlsson,ABB,25,F,32,23,16,39,24,13.0,6,0,7,0.719,0.5,1.219,96.0,24.0%
27,Mark Friedman,ABB,29,D,20,1,5,6,15,4.0,0,0,0,0.05,0.25,0.3,26.0,3.9%
8,Max Sasson,ABB,24,F,41,13,19,32,18,-7.0,4,1,2,0.317,0.463,0.78,107.0,12.2%
13,Nathan Smith,ABB,26,F,60,9,17,26,38,-5.0,2,0,1,0.15,0.283,0.433,79.0,11.4%
39,Nikita Tolopilo,ABB,24,G,36,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
9,Nils �man,ABB,24,F,36,7,23,30,14,6.0,1,0,2,0.194,0.639,0.833,45.0,15.6%
24,Phil Di Giuseppe,ABB,31,F,22,4,5,9,10,2.0,1,0,2,0.182,0.227,0.409,61.0,6.6%
3,Samuel Blais,ABB,28,F,51,14,26,40,44,8.0,4,0,1,0.275,0.51,0.784,89.0,15.7%
11,Tristen Nielsen,ABB,24,F,67,15,13,28,56,-11.0,2,0,4,0.224,0.194,0.418,125.0,12.0%
23,Ty Glover,ABB,24,F,37,4,6,10,16,6.0,0,0,0,0.108,0.162,0.27,41.0,9.8%
6,Ty Mueller,ABB,21,F,64,12,27,39,24,15.0,3,1,5,0.188,0.422,0.609,110.0,10.9%
37,Ty Young,ABB,20,G,11,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
29,Victor Mancini,ABB,22,D,7,1,2,3,2,3.0,0,0,0,0.143,0.286,0.429,13.0,7.7%
