Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
42,Adam Scheel,COL,25,G,14,0,0,0,4,,0,0,0,0.0,0.0,0.0,,
39,Briley Wood,COL,21,F,1,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
23,Bryan Yoon,COL,26,D,22,0,5,5,4,2.0,0,0,0,0.0,0.227,0.227,10.0,0.0%
8,Calle Ros�n,COL,30,D,62,10,24,34,24,22.0,2,1,2,0.161,0.387,0.548,133.0,7.5%
24,Chad Hillebrand,COL,25,F,21,2,2,4,34,0.0,0,0,1,0.095,0.095,0.19,17.0,11.8%
14,Chase Bradley,COL,22,F,62,14,8,22,44,14.0,0,1,3,0.226,0.129,0.355,82.0,17.1%
9,Chris Wagner,COL,33,F,44,19,12,31,47,7.0,7,2,1,0.432,0.273,0.705,111.0,17.1%
34,Connor Kelley,COL,22,D,2,0,1,1,0,1.0,0,0,0,0.0,0.5,0.5,1.0,0.0%
21,Connor Mayer,COL,25,D,22,4,5,9,14,9.0,0,1,2,0.182,0.227,0.409,24.0,16.7%
32,Cooper Gay,COL,22,F,2,1,0,1,0,-3.0,0,0,0,0.5,0.0,0.5,2.0,50.0%
20,Devante Stephens,COL,27,D,49,3,8,11,54,4.0,0,0,2,0.061,0.163,0.224,33.0,9.1%
29,Gabriel Landeskog,COL,32,F,2,1,1,2,2,-1.0,1,0,0,0.5,0.5,1.0,4.0,25.0%
31,Garrett Pyke,COL,25,D,29,0,2,2,2,-2.0,0,0,0,0.0,0.069,0.069,28.0,0.0%
36,Givani Smith,COL,26,F,6,0,1,1,12,-2.0,0,0,0,0.0,0.167,0.167,3.0,0.0%
35,Hank Kempf,COL,22,D,4,0,1,1,2,-1.0,0,0,0,0.0,0.25,0.25,5.0,0.0%
38,Isak Posch,COL,22,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
18,Ivan Ivan,COL,22,F,36,2,10,12,26,-7.0,1,0,0,0.056,0.278,0.333,50.0,4.0%
6,Jack Ahcan,COL,27,D,69,5,36,41,20,6.0,1,0,0,0.072,0.522,0.594,148.0,3.4%
2,Jacob MacDonald,COL,31,D,63,31,24,55,46,24.0,13,0,5,0.492,0.381,0.873,197.0,15.7%
7,Jake Wise,COL,24,F,56,16,19,35,18,9.0,2,1,0,0.286,0.339,0.625,103.0,15.5%
15,Jason Polin,COL,25,F,39,11,8,19,11,2.0,4,1,2,0.282,0.205,0.487,69.0,15.9%
3,Jayson Megna,COL,34,F,65,19,32,51,21,26.0,2,1,5,0.292,0.492,0.785,139.0,13.7%
16,Jean-Luc Foudy,COL,22,F,48,5,14,19,20,1.0,3,0,0,0.104,0.292,0.396,58.0,8.6%
10,Jere Innala,COL,26,F,43,17,11,28,14,0.0,7,0,5,0.395,0.256,0.651,94.0,18.1%
19,John Ludvig,COL,24,D,31,1,11,12,20,5.0,0,0,0,0.032,0.355,0.387,36.0,2.8%
40,Kaapo K�hk�nen,COL,28,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
41,Keaton Mastrodonato,COL,24,F,13,0,0,0,6,-3.0,0,0,0,0.0,0.0,0.0,15.0,0.0%
26,Keaton Middleton,COL,26,D,17,0,4,4,11,5.0,0,0,0,0.0,0.235,0.235,25.0,0.0%
37,Kevin Mandolese,COL,24,G,19,0,1,1,4,,0,0,0,0.0,0.053,0.053,,
13,Mark Senden,COL,26,F,61,8,15,23,22,24.0,0,1,0,0.131,0.246,0.377,72.0,11.1%
22,Maros Jedlicka,COL,22,F,18,3,2,5,4,-2.0,0,0,0,0.167,0.111,0.278,9.0,33.3%
27,Matt Stienburg,COL,24,F,5,1,2,3,2,3.0,0,1,1,0.2,0.4,0.6,5.0,20.0%
1,Matthew Phillips,COL,26,F,65,18,39,57,8,24.0,4,0,2,0.277,0.6,0.877,126.0,14.3%
28,Neil Shea,COL,25,F,8,1,2,3,0,2.0,0,0,0,0.125,0.25,0.375,8.0,12.5%
12,Nikita Prishchepov,COL,20,F,51,9,14,23,38,6.0,2,1,1,0.176,0.275,0.451,70.0,12.9%
30,Ondrej Pavel,COL,24,F,14,0,2,2,16,-4.0,0,0,0,0.0,0.143,0.143,24.0,0.0%
11,Oskar Olausson,COL,22,F,61,11,15,26,26,1.0,2,0,2,0.18,0.246,0.426,105.0,10.5%
4,T.J. Tynan,COL,32,F,52,8,41,49,74,12.0,1,1,2,0.154,0.788,0.942,53.0,15.1%
33,Taylor Makar,COL,23,F,5,1,0,1,2,-1.0,0,0,0,0.2,0.0,0.2,7.0,14.3%
43,Trent Miner,COL,23,G,38,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
5,Tye Felhaber,COL,26,F,67,22,22,44,108,19.0,1,3,4,0.328,0.328,0.657,132.0,16.7%
25,William Dufour,COL,22,F,12,1,3,4,8,2.0,0,0,0,0.083,0.25,0.333,16.0,6.3%
17,Wyatt Aamodt,COL,27,D,69,4,13,17,47,32.0,0,0,1,0.058,0.188,0.246,76.0,5.3%
