Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
19,Adam Ginning,LV,24,D,69,2,15,17,71,-2.0,0,0,0,0.029,0.217,0.246,91.0,2.2%
24,Alex Bump,LV,21,F,2,1,2,3,0,1.0,1,0,0,0.5,1.0,1.5,5.0,20.0%
31,Alex Ciernik,LV,20,F,3,0,1,1,0,2.0,0,0,0,0.0,0.333,0.333,2.0,0.0%
32,Alexei Kolosov,LV,22,G,12,0,1,1,0,,0,0,0,0.0,0.083,0.083,,
7,Alexis Gendron,LV,21,F,63,20,8,28,48,-5.0,5,0,3,0.317,0.127,0.444,130.0,15.4%
3,Anthony Richard,LV,28,F,42,17,19,36,31,0.0,6,0,2,0.405,0.452,0.857,108.0,15.7%
21,Benjamin Gleason,LV,26,D,29,2,12,14,7,-5.0,1,0,1,0.069,0.414,0.483,24.0,8.3%
13,Brendan Furry,LV,26,F,61,10,9,19,30,0.0,1,5,3,0.164,0.148,0.311,94.0,10.6%
23,Cal Petersen,LV,30,G,31,0,4,4,2,,0,0,0,0.0,0.129,0.129,,
29,Cooper Marody,LV,28,F,6,1,0,1,2,-4.0,1,0,0,0.167,0.0,0.167,8.0,12.5%
37,Eetu M�kiniemi,LV,25,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
14,Elliot Desnoyers,LV,22,F,59,5,14,19,27,-3.0,0,0,0,0.085,0.237,0.322,84.0,6.0%
20,Emil Andrae,LV,22,D,25,3,13,16,21,9.0,1,0,0,0.12,0.52,0.64,44.0,6.8%
10,Ethan Samson,LV,21,D,69,12,12,24,40,-12.0,4,0,1,0.174,0.174,0.348,140.0,8.6%
8,Garrett Wilson,LV,33,F,63,14,14,28,134,3.0,1,2,1,0.222,0.222,0.444,77.0,18.2%
34,Gianfranco Cassaro,LV,25,D,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
28,Givani Smith,LV,26,F,10,1,1,2,9,-1.0,0,0,0,0.1,0.1,0.2,15.0,6.7%
11,Helge Grans,LV,22,D,66,8,15,23,42,-2.0,0,0,0,0.121,0.227,0.348,125.0,6.4%
17,Hunter McDonald,LV,22,D,71,4,14,18,99,12.0,0,0,0,0.056,0.197,0.254,79.0,5.1%
18,J.R. Avon,LV,21,F,60,7,10,17,11,-12.0,1,0,2,0.117,0.167,0.283,93.0,7.5%
2,Jacob Gaucher,LV,23,F,70,20,18,38,47,7.0,4,2,4,0.286,0.257,0.543,138.0,14.5%
25,Jett Luchanko,LV,18,F,9,0,3,3,8,0.0,0,0,0,0.0,0.333,0.333,7.0,0.0%
38,Keith Petruzzelli,LV,25,G,6,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
9,Louis Belpedio,LV,28,D,66,5,23,28,88,15.0,1,0,1,0.076,0.348,0.424,104.0,4.8%
33,Mason Primeau,LV,23,F,1,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
15,Massimo Rizzo,LV,23,F,46,6,12,18,10,1.0,1,0,0,0.13,0.261,0.391,33.0,18.2%
39,Matt Brown,LV,25,F,6,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,8.0,0.0%
35,Matt Miller,LV,25,F,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
22,Nikita Grebyonkin,LV,21,F,11,3,4,7,9,-5.0,2,0,0,0.273,0.364,0.636,11.0,27.3%
1,Olle Lycksell,LV,25,F,43,19,25,44,14,12.0,4,0,6,0.442,0.581,1.023,151.0,12.6%
12,Oscar Eklind,LV,26,F,64,5,17,22,28,3.0,1,0,0,0.078,0.266,0.344,74.0,6.8%
41,Parker Gahagen,LV,31,G,22,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
16,Rhett Gardner,LV,28,F,62,5,13,18,59,-12.0,0,0,1,0.081,0.21,0.29,80.0,6.3%
4,Rodrigo Abols,LV,28,F,47,15,17,32,12,-3.0,1,1,2,0.319,0.362,0.681,83.0,18.1%
40,Ronnie Attard,LV,25,D,7,0,0,0,19,-3.0,0,0,0,0.0,0.0,0.0,16.0,0.0%
36,Sam Sedley,LV,21,D,2,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
6,Samu Tuomaala,LV,21,F,46,11,21,32,30,-19.0,3,0,2,0.239,0.457,0.696,91.0,12.1%
30,Sawyer Boulton,LV,20,F,18,1,0,1,51,-3.0,0,0,0,0.056,0.0,0.056,3.0,33.3%
27,Ty Murchison,LV,21,D,4,1,1,2,6,2.0,0,0,0,0.25,0.25,0.5,5.0,20.0%
26,Xavier Bernard,LV,24,D,25,0,3,3,21,5.0,0,0,0,0.0,0.12,0.12,18.0,0.0%
5,Zayde Wisdom,LV,22,F,68,13,19,32,44,10.0,0,2,3,0.191,0.279,0.471,92.0,14.1%
