Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
41,Aiden Hansen-Bukata,SYR,25,D,1,0,0,0,0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
20,Anthony Angello,SYR,28,F,19,4,6,10,20,4.0,0,0,2,0.211,0.316,0.526,28.0,14.3%
39,Brandon Halverson,SYR,28,G,43,0,1,1,2,,0,0,0,0.0,0.023,0.023,,
40,Brendan Less,SYR,26,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
32,Chris Harpur,SYR,28,D,13,0,3,3,2,3.0,0,0,0,0.0,0.231,0.231,11.0,0.0%
36,Connor Kurth,SYR,21,F,5,0,1,1,2,1.0,0,0,0,0.0,0.2,0.2,3.0,0.0%
8,Conor Geekie,SYR,20,F,24,11,9,20,22,0.0,8,0,2,0.458,0.375,0.833,64.0,17.2%
1,Conor Sheary,SYR,32,F,59,20,41,61,23,15.0,6,0,5,0.339,0.695,1.034,157.0,12.7%
19,Daniel Walcott,SYR,30,D,61,4,8,12,20,3.0,0,1,0,0.066,0.131,0.197,70.0,5.7%
16,Declan Carlile,SYR,24,D,55,6,10,16,52,11.0,1,0,0,0.109,0.182,0.291,106.0,5.7%
2,Derrick Pouliot,SYR,30,D,70,7,46,53,36,10.0,6,0,0,0.1,0.657,0.757,113.0,6.2%
3,Dylan Duke,SYR,21,F,62,20,20,40,47,11.0,3,1,5,0.323,0.323,0.645,115.0,17.4%
28,Dyllan Gill,SYR,20,D,24,2,2,4,6,-3.0,0,0,1,0.083,0.083,0.167,20.0,10.0%
43,Ethan Gauthier,SYR,19,F,3,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
42,Ethan Langenegger,SYR,24,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
23,Gabriel Dumont,SYR,34,F,16,3,4,7,8,2.0,1,0,0,0.188,0.25,0.438,27.0,11.1%
10,Gabriel Fortier,SYR,24,F,50,11,8,19,18,7.0,0,0,2,0.22,0.16,0.38,84.0,13.1%
12,Gabriel Szturc,SYR,21,F,54,7,12,19,16,3.0,2,0,0,0.13,0.222,0.352,58.0,12.1%
13,Gage Goncalves,SYR,23,F,14,5,13,18,10,-5.0,0,0,2,0.357,0.929,1.286,35.0,14.3%
29,Gemel Smith,SYR,30,F,7,1,3,4,0,1.0,0,0,0,0.143,0.429,0.571,6.0,16.7%
6,Jack Finley,SYR,22,F,40,14,14,28,24,11.0,4,0,2,0.35,0.35,0.7,64.0,21.9%
30,Jaydon Dureau,SYR,23,F,16,1,2,3,6,3.0,0,0,0,0.063,0.125,0.188,23.0,4.4%
7,Jesse Yl�nen,SYR,25,F,47,8,17,25,18,5.0,1,0,0,0.17,0.362,0.532,73.0,11.0%
11,Joel Teasdale,SYR,25,F,62,8,11,19,48,-1.0,3,0,1,0.129,0.177,0.306,99.0,8.1%
21,Jujhar Khaira,SYR,30,F,18,3,6,9,19,-8.0,2,0,0,0.167,0.333,0.5,38.0,7.9%
38,Kale Kessy,SYR,32,F,17,0,1,1,41,-1.0,0,0,0,0.0,0.059,0.059,0.0,0.00%
5,Logan Brown,SYR,26,F,33,11,18,29,14,1.0,0,0,1,0.333,0.545,0.879,61.0,18.0%
26,Lucas Edmonds,SYR,23,F,26,1,4,5,6,-5.0,1,0,1,0.038,0.154,0.192,17.0,5.9%
44,Lucas Mercuri,SYR,22,F,6,0,0,0,2,1.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
33,Lukas Svejkovsky,SYR,23,F,4,1,0,1,2,0.0,0,0,0,0.25,0.0,0.25,4.0,25.0%
46,Matt Tomkins,SYR,30,G,26,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
4,Max Crozier,SYR,24,D,52,9,25,34,75,16.0,3,0,4,0.173,0.481,0.654,129.0,7.0%
17,Maxim Groshev,SYR,23,F,56,7,7,14,21,-6.0,1,1,0,0.125,0.125,0.25,93.0,7.5%
22,Milo Roelens,SYR,21,F,35,6,2,8,32,-3.0,0,0,2,0.171,0.057,0.229,33.0,18.2%
9,Niko Huuhtanen,SYR,21,F,51,8,12,20,47,13.0,2,0,1,0.157,0.235,0.392,97.0,8.3%
31,Reece Newkirk,SYR,23,F,6,0,3,3,6,3.0,0,0,0,0.0,0.5,0.5,4.0,0.0%
34,Robert Flinton,SYR,21,F,4,1,0,1,2,-2.0,0,0,0,0.25,0.0,0.25,5.0,20.0%
25,Roman Schmidt,SYR,21,D,49,3,2,5,79,7.0,0,1,0,0.061,0.041,0.102,47.0,6.4%
45,Ryan Fanti,SYR,25,G,7,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
27,Ryder Korczak,SYR,22,F,10,2,2,4,2,-3.0,0,0,0,0.2,0.2,0.4,7.0,28.6%
24,Scott Walford,SYR,25,D,48,1,5,6,6,-9.0,0,0,0,0.021,0.104,0.125,41.0,2.4%
35,Spencer Kersten,SYR,24,F,9,1,0,1,4,-1.0,0,0,1,0.111,0.0,0.111,10.0,10.0%
14,Steve Santini,SYR,29,D,58,6,11,17,20,10.0,0,0,1,0.103,0.19,0.293,98.0,6.1%
18,Tobie Bisson,SYR,27,D,59,3,11,14,16,7.0,1,0,0,0.051,0.186,0.237,61.0,4.9%
15,Tristan Allard,SYR,22,F,45,7,9,16,36,7.0,0,0,0,0.156,0.2,0.356,54.0,13.0%
37,Tyson Feist,SYR,23,D,6,0,1,1,7,1.0,0,0,0,0.0,0.167,0.167,1.0,0.0%
