Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
11,Alex Petrovic,TEX,32,D,58,5,20,25,66,8.0,0,0,1,0.086,0.345,0.431,82.0,6.1%
20,Anthony Romano,TEX,24,F,38,3,6,9,4,-2.0,0,0,0,0.079,0.158,0.237,35.0,8.6%
7,Antonio Stranges,TEX,22,F,55,18,25,43,30,0.0,4,0,3,0.327,0.455,0.782,152.0,11.8%
25,Artem Shlaine,TEX,22,F,6,0,1,1,0,1.0,0,0,0,0.0,0.167,0.167,8.0,0.0%
6,Arttu Hyry,TEX,23,F,67,24,25,49,12,15.0,6,2,7,0.358,0.373,0.731,164.0,14.6%
29,Ayrton Martino,TEX,22,F,4,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
27,Ben Kraws,TEX,24,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
3,Cameron Hughes,TEX,28,F,69,23,34,57,59,-3.0,9,1,5,0.333,0.493,0.826,131.0,17.6%
10,Chase Wheatcroft,TEX,22,F,67,10,17,27,26,2.0,2,0,1,0.149,0.254,0.403,74.0,13.5%
14,Christian Kyrou,TEX,21,D,36,4,11,15,2,-6.0,1,0,1,0.111,0.306,0.417,47.0,8.5%
8,Curtis McKenzie,TEX,33,F,67,15,15,30,86,-9.0,4,0,2,0.224,0.224,0.448,110.0,13.6%
28,Francesco Arcuri,TEX,21,F,4,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
16,Gavin White,TEX,22,D,46,2,9,11,8,2.0,1,0,0,0.043,0.196,0.239,60.0,3.3%
30,Harrison Scott,TEX,24,F,6,0,0,0,4,-6.0,0,0,0,0.0,0.0,0.0,11.0,0.0%
12,Jack Becker,TEX,27,F,70,11,7,18,41,2.0,0,1,2,0.157,0.1,0.257,88.0,12.5%
21,Justin Ertel,TEX,21,F,25,2,7,9,18,4.0,0,0,0,0.08,0.28,0.36,15.0,13.3%
2,Justin Hryckowian,TEX,23,F,67,22,38,60,27,15.0,5,0,2,0.328,0.567,0.896,131.0,16.8%
4,Kole Lind,TEX,26,F,71,23,29,52,93,-3.0,5,1,4,0.324,0.408,0.732,174.0,13.2%
5,Kyle Capobianco,TEX,27,D,64,7,43,50,72,25.0,0,0,1,0.109,0.672,0.781,122.0,5.7%
15,Kyle Looft,TEX,26,D,57,3,8,11,40,0.0,0,0,2,0.053,0.14,0.193,74.0,4.1%
18,Kyle McDonald,TEX,22,F,43,6,3,9,29,-3.0,1,0,1,0.14,0.07,0.209,40.0,15.0%
19,Lian Bichsel,TEX,20,D,28,3,6,9,36,9.0,0,0,0,0.107,0.214,0.321,35.0,8.6%
13,Luke Krys,TEX,24,D,61,3,14,17,32,11.0,0,0,0,0.049,0.23,0.279,95.0,3.2%
24,Magnus Hellberg,TEX,33,G,41,0,2,2,2,,0,0,0,0.0,0.049,0.049,,
1,Matej Bl�mel,TEX,24,F,67,39,33,72,26,5.0,11,2,6,0.582,0.493,1.075,274.0,14.2%
9,Mathias Emilio Pettersen,TEX,24,F,70,9,20,29,29,-10.0,1,2,1,0.129,0.286,0.414,99.0,9.1%
22,Matthew Seminoff,TEX,21,F,56,2,7,9,31,2.0,0,0,0,0.036,0.125,0.161,45.0,4.4%
17,Michael Karow,TEX,26,D,71,1,10,11,65,5.0,0,0,0,0.014,0.141,0.155,86.0,1.2%
32,R�mi Poirier,TEX,23,G,31,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
23,Sean Chisholm,TEX,23,F,7,1,1,2,0,3.0,0,0,0,0.143,0.143,0.286,6.0,16.7%
31,Thomas Bergsland,TEX,23,D,6,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
26,Trey Taylor,TEX,22,D,10,0,1,1,0,-1.0,0,0,0,0.0,0.1,0.1,20.0,0.0%
