Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
35,Anton Lundmark,CLT,24,F,9,0,0,0,4,-2.0,0,0,0,0.0,0.0,0.0,9.0,0.0%
1,Ben Steeves,CLT,23,F,60,19,18,37,86,-2.0,7,0,4,0.317,0.3,0.617,144.0,13.2%
10,Brett Chorske,CLT,24,F,55,11,12,23,14,2.0,0,2,4,0.2,0.218,0.418,72.0,15.3%
7,Brian Pinho,CLT,30,F,60,8,18,26,16,8.0,1,0,0,0.133,0.3,0.433,116.0,6.9%
33,Cole Krygier,CLT,25,D,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
28,Colton Huard,CLT,25,D,21,3,1,4,21,-1.0,0,0,1,0.143,0.048,0.19,21.0,14.3%
37,Cooper Black,CLT,24,G,36,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
25,Eamon Powell,CLT,23,D,18,1,6,7,4,-5.0,0,0,1,0.056,0.333,0.389,14.0,7.1%
13,Gracyn Sawchyn,CLT,20,F,29,6,13,19,2,11.0,1,0,1,0.207,0.448,0.655,36.0,16.7%
19,Hunter St. Martin,CLT,20,F,34,4,6,10,26,6.0,1,0,0,0.118,0.176,0.294,45.0,8.9%
3,Jack Devine,CLT,22,F,51,15,19,34,45,13.0,3,1,3,0.294,0.373,0.667,115.0,13.0%
11,Jack Studnicka,CLT,26,F,31,8,14,22,30,8.0,1,3,2,0.258,0.452,0.71,76.0,10.5%
17,Jake Livingstone,CLT,26,D,43,1,13,14,20,8.0,0,0,0,0.023,0.302,0.326,68.0,1.5%
24,Kai Schwindt,CLT,22,F,24,2,5,7,4,3.0,0,0,0,0.083,0.208,0.292,30.0,6.7%
32,Kevin Mandolese,CLT,25,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
36,Kirill Gerasimyuk,CLT,22,G,17,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
27,Liam McLinskey,CLT,24,F,21,2,3,5,8,2.0,0,0,1,0.095,0.143,0.238,27.0,7.4%
34,Louis Domingue,CLT,33,G,9,0,0,0,7,,0,0,0,0.0,0.0,0.0,,
26,Ludvig Jansson,CLT,22,D,24,1,5,6,12,1.0,0,0,0,0.042,0.208,0.25,22.0,4.6%
30,Luke Kunin,CLT,28,F,1,0,2,2,0,1.0,0,0,0,0.0,2.0,2.0,1.0,0.0%
20,MacKenzie Entwistle,CLT,26,F,38,4,4,8,32,5.0,0,0,0,0.105,0.105,0.211,37.0,10.8%
18,Marek Alscher,CLT,21,D,46,3,8,11,26,15.0,0,0,1,0.065,0.174,0.239,50.0,6.0%
5,Michael Benning,CLT,23,D,56,8,23,31,40,10.0,1,0,2,0.143,0.411,0.554,110.0,7.3%
15,Mikulas Hovorka,CLT,24,D,48,4,11,15,42,21.0,0,1,0,0.083,0.229,0.313,67.0,6.0%
22,Mitchell Vande Sompel,CLT,28,D,29,2,6,8,11,10.0,0,0,0,0.069,0.207,0.276,23.0,8.7%
8,Nathan Smith,CLT,27,F,36,12,13,25,33,1.0,0,0,1,0.333,0.361,0.694,43.0,27.9%
16,Noah Gregor,CLT,27,F,23,9,5,14,4,4.0,1,0,0,0.391,0.217,0.609,77.0,11.7%
4,Nolan Foote,CLT,25,F,54,14,18,32,40,2.0,2,0,4,0.259,0.333,0.593,142.0,9.9%
12,Riese Gaber,CLT,26,F,40,8,12,20,34,8.0,0,0,0,0.2,0.3,0.5,49.0,16.3%
29,Robby Fabbri,CLT,29,F,3,1,1,2,0,-4.0,0,0,0,0.333,0.333,0.667,6.0,16.7%
6,Robert Mastrosimone,CLT,24,F,37,11,15,26,22,7.0,3,0,3,0.297,0.405,0.703,57.0,19.3%
23,Ryan McAllister,CLT,24,F,15,2,5,7,8,-5.0,1,0,0,0.133,0.333,0.467,17.0,11.8%
9,Sandis Vilmanis,CLT,21,F,36,11,12,23,16,8.0,1,1,2,0.306,0.333,0.639,55.0,20.0%
21,Tobias Bj�rnfot,CLT,24,D,27,2,6,8,6,8.0,0,0,1,0.074,0.222,0.296,40.0,5.0%
14,Trevor Carrick,CLT,31,D,49,4,14,18,45,5.0,1,0,0,0.082,0.286,0.367,102.0,3.9%
31,Tyler Motte,CLT,30,F,4,1,0,1,2,-2.0,1,0,0,0.25,0.0,0.25,11.0,9.1%
2,Wilmer Skoog,CLT,26,F,56,18,16,34,31,10.0,2,0,2,0.321,0.286,0.607,117.0,15.4%
