Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
22,Alexander Holtz,HSK,23,F,6,0,5,5,0,2.0,0,0,0,0.0,0.833,0.833,9.0,0.0%
32,Artur Cholach,HSK,22,D,4,0,0,0,2,-1.0,0,0,0,0.0,0.0,0.0,3.0,0.0%
3,Ben Hemmerling,HSK,21,F,55,21,21,42,16,30.0,3,0,2,0.382,0.382,0.764,97.0,21.7%
15,Braeden Bowman,HSK,22,F,12,7,5,12,6,1.0,2,0,2,0.583,0.417,1.0,16.0,43.8%
25,Brandon Hickey,HSK,29,D,24,0,2,2,17,-1.0,0,0,0,0.0,0.083,0.083,19.0,0.0%
28,Cameron Whitehead,HSK,22,G,13,0,1,1,0,,0,0,0,0.0,0.077,0.077,,
33,Carl Lindbom,HSK,22,G,25,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
30,Carter Hart,HSK,27,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
23,Christoffer Sedoff,HSK,23,D,38,0,4,4,15,5.0,0,0,0,0.0,0.105,0.105,30.0,0.0%
8,Dylan Coghlan,HSK,27,D,48,13,19,32,24,5.0,4,1,2,0.271,0.396,0.667,111.0,11.7%
11,Jackson Hallum,HSK,23,F,57,9,15,24,46,7.0,0,0,1,0.158,0.263,0.421,65.0,13.9%
12,Jakub Brabenec,HSK,22,F,50,8,16,24,16,1.0,2,0,1,0.16,0.32,0.48,75.0,10.7%
26,Jakub Demek,HSK,22,F,4,0,1,1,0,-4.0,0,0,0,0.0,0.25,0.25,9.0,0.0%
18,Jaycob Megna,HSK,33,D,50,4,5,9,29,11.0,0,1,0,0.08,0.1,0.18,64.0,6.3%
5,Jeremy Davies,HSK,29,D,58,9,28,37,72,-3.0,2,0,2,0.155,0.483,0.638,124.0,7.3%
29,Jesper Vikman,HSK,23,G,18,0,1,1,0,,0,0,0,0.0,0.056,0.056,,
16,Joe Fleming,HSK,22,D,49,3,9,12,114,-11.0,0,0,0,0.061,0.184,0.245,38.0,7.9%
13,Jonas R�ndbjerg,HSK,26,F,36,12,11,23,6,12.0,3,0,1,0.333,0.306,0.639,92.0,13.0%
27,Jordan Gustafson,HSK,21,F,6,0,1,1,0,-4.0,0,0,0,0.0,0.167,0.167,4.0,0.0%
19,Jozef Viliam Kmec,HSK,21,D,52,1,8,9,21,6.0,0,0,0,0.019,0.154,0.173,49.0,2.0%
4,Kai Uchacz,HSK,22,F,55,13,25,38,38,-3.0,4,0,3,0.236,0.455,0.691,107.0,12.2%
21,Lucas Johansen,HSK,28,D,24,2,3,5,6,-4.0,0,0,1,0.083,0.125,0.208,16.0,12.5%
2,Lukas Cormier,HSK,23,D,45,7,37,44,16,3.0,4,0,0,0.156,0.822,0.978,112.0,6.3%
17,Mathieu Cataford,HSK,20,F,51,3,7,10,16,-19.0,0,0,1,0.059,0.137,0.196,63.0,4.8%
10,Matyas Sapovaliv,HSK,21,F,58,13,11,24,6,-15.0,7,0,0,0.224,0.19,0.414,86.0,15.1%
9,Mitch McLain,HSK,32,F,57,14,14,28,81,-7.0,4,0,2,0.246,0.246,0.491,124.0,11.3%
6,Raphael Lavoie,HSK,25,F,31,19,17,36,6,5.0,6,0,2,0.613,0.548,1.161,117.0,16.2%
24,Riley McKay,HSK,26,F,26,1,1,2,67,-12.0,0,0,1,0.038,0.038,0.077,21.0,4.8%
31,Samuel Mayer,HSK,22,D,4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
20,Sloan Stanick,HSK,22,F,12,4,2,6,2,1.0,0,0,0,0.333,0.167,0.5,14.0,28.6%
1,Tanner Laczynski,HSK,28,F,51,17,40,57,33,34.0,3,0,3,0.333,0.784,1.118,123.0,13.8%
7,Trevor Connelly,HSK,19,F,32,11,22,33,8,-5.0,3,0,2,0.344,0.688,1.031,85.0,12.9%
14,Tuomas Uronen,HSK,20,F,49,11,6,17,20,1.0,2,0,2,0.224,0.122,0.347,96.0,11.5%
