Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
5,Adam Engstr�m,LAV,22,D,40,10,23,33,16,15.0,1,0,5,0.25,0.575,0.825,105.0,9.5%
2,Alex Belzile,LAV,34,F,58,26,26,52,62,12.0,12,0,4,0.448,0.448,0.897,143.0,18.2%
31,Darick Louis-Jean,LAV,25,D,2,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
12,David Reinbacher,LAV,21,D,48,5,17,22,40,17.0,0,1,1,0.104,0.354,0.458,75.0,6.7%
10,Filip Mesar,LAV,21,F,61,8,16,24,20,4.0,0,0,0,0.131,0.262,0.393,85.0,9.4%
7,Florian Xhekaj,LAV,21,F,53,13,11,24,133,9.0,2,3,2,0.245,0.208,0.453,88.0,14.8%
32,Hunter Jones,LAV,25,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
27,Israel Mianscum,LAV,22,F,3,0,1,1,5,0.0,0,0,0,0.0,0.333,0.333,0.0,0.00%
33,Jacob Dion,LAV,24,D,5,0,0,0,2,-2.0,0,0,0,0.0,0.0,0.0,8.0,0.0%
34,Jacob Fowler,LAV,21,G,27,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
11,Jared Davidson,LAV,23,F,42,14,8,22,50,3.0,4,0,4,0.333,0.19,0.524,86.0,16.3%
24,Joseph Dunlap,LAV,26,F,10,2,1,3,6,3.0,0,0,1,0.2,0.1,0.3,11.0,18.2%
23,Josh Jacobs,LAV,29,D,15,1,3,4,4,5.0,0,0,0,0.067,0.2,0.267,13.0,7.7%
4,Joshua Roy,LAV,22,F,47,16,18,34,32,-9.0,5,0,0,0.34,0.383,0.723,145.0,11.0%
22,Josiah Didier,LAV,32,D,41,0,5,5,33,2.0,0,0,0,0.0,0.122,0.122,38.0,0.0%
26,Kaapo K�hk�nen,LAV,29,G,30,0,2,2,2,,0,0,0,0.0,0.067,0.067,,
1,Laurent Dauphin,LAV,30,F,53,15,44,59,34,22.0,4,1,4,0.283,0.83,1.113,136.0,11.0%
14,Lucas Condotta,LAV,28,F,60,8,9,17,82,10.0,1,1,3,0.133,0.15,0.283,65.0,12.3%
15,Luke Tuch,LAV,23,F,57,9,4,13,62,8.0,0,0,0,0.158,0.07,0.228,50.0,18.0%
9,Marc Del Gaizo,LAV,26,D,52,8,16,24,34,26.0,0,0,2,0.154,0.308,0.462,104.0,7.7%
19,Nathan Clurman,LAV,27,D,51,1,8,9,16,6.0,0,0,0,0.02,0.157,0.176,51.0,2.0%
8,Owen Beck,LAV,21,F,47,10,14,24,26,5.0,2,2,0,0.213,0.298,0.511,82.0,12.2%
28,Riley Kidney,LAV,22,F,6,0,1,1,4,2.0,0,0,0,0.0,0.167,0.167,6.0,0.0%
25,Ryan O'Rourke,LAV,23,D,9,0,2,2,4,-1.0,0,0,0,0.0,0.222,0.222,6.0,0.0%
6,Samuel Blais,LAV,29,F,25,9,16,25,46,2.0,4,0,1,0.36,0.64,1.0,47.0,19.2%
30,Samuel Montembeault,LAV,29,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
3,Sean Farrell,LAV,24,F,61,13,27,40,18,0.0,7,0,3,0.213,0.443,0.656,118.0,11.0%
18,Tobie Bisson,LAV,28,D,44,3,7,10,14,16.0,0,0,0,0.068,0.159,0.227,44.0,6.8%
16,Tyler Thorpe,LAV,20,F,59,2,11,13,66,3.0,0,0,0,0.034,0.186,0.22,62.0,3.2%
20,Vincent Arseneau,LAV,33,F,16,5,0,5,11,2.0,0,0,0,0.313,0.0,0.313,16.0,31.3%
21,Will Dineen,LAV,25,F,30,3,2,5,24,6.0,0,0,0,0.1,0.067,0.167,26.0,11.5%
13,William Trudeau,LAV,23,D,52,8,11,19,48,6.0,0,1,1,0.154,0.212,0.365,94.0,8.5%
29,Wyatte Wylie,LAV,26,D,8,0,1,1,8,-3.0,0,0,0,0.0,0.125,0.125,11.0,0.0%
17,Xavier Simoneau,LAV,24,F,43,4,8,12,56,8.0,0,1,1,0.093,0.186,0.279,25.0,16.0%
