Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
4,Angus Crookshank,UTC,26,F,48,17,11,28,12,-16.0,4,2,1,0.354,0.229,0.583,128.0,13.3%
18,Austin Strand,UTC,28,D,39,2,8,10,41,-3.0,0,1,0,0.051,0.205,0.256,56.0,3.6%
1,Brian Halonen,UTC,26,F,42,19,13,32,26,0.0,5,1,2,0.452,0.31,0.762,120.0,15.8%
9,Calen Addison,UTC,25,D,52,3,18,21,26,-19.0,0,0,0,0.058,0.346,0.404,93.0,3.2%
16,Cam Squires,UTC,20,F,36,4,7,11,6,-1.0,1,0,0,0.111,0.194,0.306,40.0,10.0%
26,Colton White,UTC,28,D,17,0,3,3,18,-4.0,0,0,0,0.0,0.176,0.176,23.0,0.0%
23,Dennis Cholowski,UTC,27,D,13,0,5,5,6,-6.0,0,0,0,0.0,0.385,0.385,24.0,0.0%
21,Dmitry Osipov,UTC,29,D,45,3,4,7,50,6.0,0,0,0,0.067,0.089,0.156,59.0,5.1%
27,Dylan Wendt,UTC,24,F,12,0,2,2,2,-2.0,0,0,0,0.0,0.167,0.167,6.0,0.0%
6,Ethan Edwards,UTC,23,D,56,10,12,22,59,-6.0,0,0,2,0.179,0.214,0.393,83.0,12.1%
19,Jack Malone,UTC,25,F,45,1,8,9,10,0.0,0,0,0,0.022,0.178,0.2,39.0,2.6%
25,Jackson Van De Leest,UTC,24,D,12,1,2,3,7,-2.0,0,0,0,0.083,0.167,0.25,10.0,10.0%
30,Jakub M�lek,UTC,23,G,25,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
28,Jeremy Brodeur,UTC,29,G,1,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
8,Johnny Gruden,UTC,25,F,55,9,12,21,52,-2.0,2,1,0,0.164,0.218,0.382,69.0,13.0%
24,Josh Filmon,UTC,21,F,23,3,1,4,10,-1.0,0,0,0,0.13,0.043,0.174,17.0,17.7%
3,Kyle Criscuolo,UTC,33,F,49,12,18,30,20,-9.0,3,3,2,0.245,0.367,0.612,89.0,13.5%
7,Lenni H�meenaho,UTC,21,F,34,9,13,22,10,-13.0,2,1,1,0.265,0.382,0.647,72.0,12.5%
17,Marc McLaughlin,UTC,26,F,15,4,6,10,6,1.0,0,0,1,0.267,0.4,0.667,20.0,20.0%
13,Matyas Melovsky,UTC,21,F,42,5,11,16,27,-7.0,3,0,1,0.119,0.262,0.381,44.0,11.4%
22,Mikael Diotte,UTC,22,D,41,0,6,6,29,-12.0,0,0,0,0.0,0.146,0.146,42.0,0.0%
14,Mike Hardman,UTC,26,F,45,7,7,14,12,-15.0,5,0,1,0.156,0.156,0.311,90.0,7.8%
15,Nathan L�gar�,UTC,24,F,52,8,5,13,65,-12.0,0,1,2,0.154,0.096,0.25,89.0,9.0%
31,Nico Daws,UTC,25,G,37,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
11,Ryan Schmelzer,UTC,32,F,56,2,17,19,34,-9.0,0,0,0,0.036,0.304,0.339,78.0,2.6%
12,Seamus Casey,UTC,21,D,29,1,18,19,13,-13.0,1,0,1,0.034,0.621,0.655,49.0,2.0%
5,Shane Lachance,UTC,22,F,55,10,13,23,14,-17.0,4,0,1,0.182,0.236,0.418,90.0,11.1%
29,Tag Bertuzzi,UTC,24,F,11,0,0,0,0,-3.0,0,0,0,0.0,0.0,0.0,7.0,0.0%
20,Thomas Bordeleau,UTC,23,F,35,2,6,8,37,-13.0,0,0,0,0.057,0.171,0.229,38.0,5.3%
10,Topias Vil�n,UTC,22,D,53,4,16,20,18,2.0,2,1,1,0.075,0.302,0.377,51.0,7.8%
2,Xavier Parent,UTC,24,F,50,18,13,31,76,-9.0,5,0,4,0.36,0.26,0.62,126.0,14.3%
