Name,Team,P,G,A
Aaron Cresswell,West Ham United,0.0,0.0,4.0
Adam Johnson,Sunderland,0.0,0.0,5.0
Adam Lallana,Liverpool,0.0,0.0,6.0
Aleksandar Mitrovic,Newcastle United,34.0,9.0,4.0
Alexis Sánchez,Arsenal,30.0,13.0,0.0
André Ayew,Swansea City,34.0,12.0,0.0
Andy Carroll,West Ham United,27.0,9.0,0.0
Anthony Martial,Manchester United,32.0,11.0,0.0
Ayoze Pérez,Newcastle United,34.0,6.0,0.0
Bafetimbi Gomis,Swansea City,33.0,6.0,0.0
Bojan Krkic,Stoke City,27.0,7.0,0.0
Cesc Fàbregas,Chelsea,0.0,0.0,7.0
Charlie Daniels,AFC Bournemouth,0.0,0.0,5.0
Christian Benteke,Liverpool,29.0,9.0,0.0
Christian Eriksen,Tottenham Hotspur,35.0,6.0,13.0
Daniel Sturridge,Liverpool,14.0,8.0,0.0
Danny Drinkwater,Leicester City,0.0,0.0,7.0
Daryl Janmaat,Newcastle United,0.0,0.0,4.0
David Silva,Manchester City,0.0,0.0,11.0
Dele Alli,Tottenham Hotspur,33.0,10.0,9.0
Diego Costa,Chelsea,28.0,12.0,6.0
Dieumerci Mbokani,Norwich City,29.0,7.0,0.0
Dimitri Payet,West Ham United,30.0,9.0,12.0
Dusan Tadic,Southampton,34.0,7.0,12.0
Erik Lamela,Tottenham Hotspur,0.0,0.0,9.0
Georginio Wijnaldum,Newcastle United,38.0,11.0,5.0
Gerard Deulofeu,Everton,0.0,0.0,8.0
Graziano Pellè,Southampton,30.0,11.0,6.0
Gylfi Sigurdsson,Swansea City,36.0,11.0,0.0
Harry Kane,Tottenham Hotspur,38.0,25.0,0.0
Héctor Bellerín,Arsenal,0.0,0.0,5.0
James Milner,Liverpool,0.0,0.0,11.0
James Ward-Prowse,Southampton,0.0,0.0,4.0
Jamie Vardy,Leicester City,36.0,24.0,6.0
Jermain Defoe,Sunderland,33.0,15.0,0.0
Jesús Navas,Manchester City,0.0,0.0,7.0
Jonathan Howson,Norwich City,0.0,0.0,4.0
Jonjo Shelvey,Newcastle United,0.0,0.0,5.0
Jordan Ayew,Aston Villa,30.0,7.0,0.0
Jordan Veretout,Aston Villa,0.0,0.0,5.0
Joshua King,AFC Bournemouth,32.0,6.0,0.0
Juan Mata,Manchester United,38.0,6.0,5.0
Kelechi Iheanacho,Manchester City,26.0,8.0,0.0
Kevin De Bruyne,Manchester City,25.0,7.0,9.0
Leonardo Ulloa,Leicester City,29.0,6.0,0.0
Manuel Lanzini,West Ham United,26.0,6.0,0.0
Marc Albrighton,Leicester City,0.0,0.0,6.0
Mark Noble,West Ham United,37.0,7.0,4.0
Marko Arnautovic,Stoke City,34.0,11.0,6.0
Matt Ritchie,AFC Bournemouth,0.0,0.0,6.0
Mesut Özil,Arsenal,35.0,6.0,19.0
Michail Antonio,West Ham United,26.0,8.0,0.0
Moussa Sissoko,Newcastle United,0.0,0.0,7.0
N'Golo Kanté,Leicester City,0.0,0.0,4.0
Nathan Redmond,Norwich City,35.0,6.0,0.0
Odion Ighalo,Watford,37.0,15.0,0.0
Olivier Giroud,Arsenal,38.0,16.0,6.0
Pedro,Chelsea,29.0,7.0,0.0
Philippe Coutinho,Liverpool,26.0,8.0,5.0
Raheem Sterling,Manchester City,31.0,6.0,0.0
Riyad Mahrez,Leicester City,37.0,17.0,11.0
Roberto Firmino,Liverpool,31.0,10.0,7.0
Romelu Lukaku,Everton,37.0,18.0,6.0
Ross Barkley,Everton,38.0,8.0,8.0
Sadio Mané,Southampton,37.0,11.0,6.0
Salomón Rondón,West Bromwich Albion,34.0,9.0,0.0
Sergio Agüero,Manchester City,30.0,24.0,0.0
Shane Long,Southampton,28.0,10.0,0.0
Simon Francis,AFC Bournemouth,0.0,0.0,4.0
Troy Deeney,Watford,38.0,13.0,7.0
Wayne Rooney,Manchester United,28.0,8.0,6.0
Wes Hoolahan,Norwich City,0.0,0.0,8.0
Willian,Chelsea,0.0,0.0,6.0
Xherdan Shaqiri,Stoke City,0.0,0.0,6.0
Yann M'vila,Sunderland,0.0,0.0,4.0
Yaya Touré,Manchester City,32.0,6.0,5.0
