"Name","Team","P","G","A"
"Aaron Wan-Bissaka","Manchester United","0.0","0.0","4.0"
"Adama Traoré","Wolverhampton Wanderers","0.0","0.0","9.0"
"Alexandre Lacazette","Arsenal","30.0","10.0","4.0"
"Andrew Robertson","Liverpool","0.0","0.0","12.0"
"Anthony Martial","Manchester United","32.0","17.0","6.0"
"Anwar El Ghazi","Aston Villa","0.0","0.0","4.0"
"Ashley Westwood","Burnley","0.0","0.0","6.0"
"Ayoze Pérez","Leicester City","33.0","8.0","4.0"
"Bernardo Silva","Manchester City","34.0","6.0","7.0"
"Bruno Fernandes","Manchester United","14.0","8.0","7.0"
"Bukayo Saka","Arsenal","0.0","0.0","5.0"
"Callum Hudson-Odoi","Chelsea","0.0","0.0","5.0"
"Callum Wilson","AFC Bournemouth","35.0","8.0","0.0"
"Chris Wood","Burnley","32.0","14.0","0.0"
"Christian Pulisic","Chelsea","25.0","9.0","0.0"
"Conor Hourihane","Aston Villa","0.0","0.0","5.0"
"César Azpilicueta","Chelsea","0.0","0.0","6.0"
"Daniel James","Manchester United","0.0","0.0","6.0"
"Danny Ings","Southampton","38.0","22.0","0.0"
"David Silva","Manchester City","27.0","6.0","10.0"
"Dele Alli","Tottenham Hotspur","25.0","8.0","0.0"
"Diogo Jota","Wolverhampton Wanderers","34.0","7.0","0.0"
"Dominic Calvert-Lewin","Everton","36.0","13.0","0.0"
"Dwight McNeil","Burnley","0.0","0.0","6.0"
"Emiliano Buendía","Norwich City","0.0","0.0","7.0"
"Enda Stevens","Sheffield United","0.0","0.0","4.0"
"Gabriel Jesus","Manchester City","34.0","14.0","7.0"
"Gerard Deulofeu","Watford","0.0","0.0","5.0"
"Harry Kane","Tottenham Hotspur","29.0","18.0","0.0"
"Harry Wilson","Liverpool","31.0","7.0","0.0"
"Harvey Barnes","Leicester City","36.0","6.0","8.0"
"Ismaïla Sarr","Watford","0.0","0.0","4.0"
"Jack Grealish","Aston Villa","36.0","8.0","5.0"
"James Maddison","Leicester City","31.0","6.0","0.0"
"Jamie Vardy","Leicester City","35.0","23.0","5.0"
"Jay Rodríguez","Burnley","36.0","8.0","0.0"
"Jonjo Shelvey","Newcastle United","26.0","6.0","0.0"
"Jordan Ayew","Crystal Palace","37.0","9.0","0.0"
"Jordan Henderson","Liverpool","0.0","0.0","5.0"
"Joshua King","AFC Bournemouth","26.0","6.0","0.0"
"João Moutinho","Wolverhampton Wanderers","0.0","0.0","6.0"
"Kevin De Bruyne","Manchester City","35.0","13.0","20.0"
"Kyle Walker","Manchester City","0.0","0.0","4.0"
"Lucas Digne","Everton","0.0","0.0","7.0"
"Lucas Moura","Tottenham Hotspur","0.0","0.0","4.0"
"Lys Mousset","Sheffield United","30.0","6.0","4.0"
"Marcus Rashford","Manchester United","31.0","17.0","7.0"
"Mason Greenwood","Manchester United","31.0","10.0","0.0"
"Mason Mount","Chelsea","37.0","7.0","5.0"
"Michail Antonio","West Ham United","24.0","10.0","0.0"
"Mohamed Salah","Liverpool","34.0","19.0","10.0"
"Nathan Redmond","Southampton","0.0","0.0","4.0"
"Neal Maupay","Brighton & Hove Albion","37.0","10.0","0.0"
"Nicolas Pépé","Arsenal","0.0","0.0","6.0"
"Oliver McBurnie","Sheffield United","36.0","6.0","0.0"
"Olivier Giroud","Chelsea","18.0","8.0","0.0"
"Pablo Fornals","West Ham United","0.0","0.0","5.0"
"Pascal Groß","Brighton & Hove Albion","0.0","0.0","4.0"
"Pierre-Emerick Aubameyang","Arsenal","36.0","22.0","0.0"
"Raheem Sterling","Manchester City","33.0","20.0","0.0"
"Raúl Jiménez","Wolverhampton Wanderers","38.0","17.0","6.0"
"Richarlison","Everton","36.0","13.0","0.0"
"Riyad Mahrez","Manchester City","33.0","11.0","9.0"
"Robert Snodgrass","West Ham United","0.0","0.0","5.0"
"Roberto Firmino","Liverpool","38.0","9.0","8.0"
"Ryan Fraser","AFC Bournemouth","0.0","0.0","4.0"
"Sadio Mané","Liverpool","35.0","18.0","7.0"
"Sergio Agüero","Manchester City","24.0","16.0","0.0"
"Son Heung-Min","Tottenham Hotspur","30.0","11.0","10.0"
"Sèrge Aurier","Tottenham Hotspur","0.0","0.0","5.0"
"Sébastien Haller","West Ham United","32.0","7.0","0.0"
"Tammy Abraham","Chelsea","34.0","15.0","0.0"
"Teemu Pukki","Norwich City","36.0","11.0","0.0"
"Todd Cantwell","Norwich City","37.0","6.0","0.0"
"Trent Alexander-Arnold","Liverpool","0.0","0.0","13.0"
"Troy Deeney","Watford","27.0","10.0","0.0"
"Trézéguet","Aston Villa","34.0","6.0","0.0"
"Willian","Chelsea","36.0","9.0","7.0"
"Youri Tielemans","Leicester City","0.0","0.0","6.0"
