Team,P,yc,rc,PTS
AFC Bournemouth,31,65,1,68
Arsenal,31,40,0,40
Aston Villa,31,49,1,52
Brentford,31,58,1,61
Brighton & Hove Albion,31,79,0,79
Burnley,31,51,3,60
Chelsea,31,69,7,90
Crystal Palace,30,62,2,68
Everton,31,55,4,67
Fulham,31,66,0,66
Leeds United,31,49,1,52
Liverpool,31,49,1,52
Manchester City,30,65,0,65
Manchester United,31,46,2,52
Newcastle United,31,50,3,59
Nottingham Forest,31,46,1,49
Sunderland,31,65,2,71
Tottenham Hotspur,31,73,4,85
West Ham United,31,53,3,62
Wolverhampton Wanderers,31,64,3,73
