Team,Year,P,yc,rc,PTS
AFC Bournemouth,2025,31,65,1,68
Arsenal,2025,31,40,0,40
Aston Villa,2025,31,49,1,52
Brentford,2025,31,58,1,61
Brighton & Hove Albion,2025,31,79,0,79
Burnley,2025,31,51,3,60
Chelsea,2025,31,69,7,90
Crystal Palace,2025,30,62,2,68
Everton,2025,31,55,4,67
Fulham,2025,31,66,0,66
Leeds United,2025,31,49,1,52
Liverpool,2025,31,49,1,52
Manchester City,2025,30,65,0,65
Manchester United,2025,31,46,2,52
Newcastle United,2025,31,50,3,59
Nottingham Forest,2025,31,46,1,49
Sunderland,2025,31,65,2,71
Tottenham Hotspur,2025,31,73,4,85
West Ham United,2025,31,53,3,62
Wolverhampton Wanderers,2025,31,64,3,73
AFC Bournemouth,2024,38,97,3,106
Arsenal,2024,38,67,6,85
Aston Villa,2024,38,74,3,83
Brentford,2024,38,62,1,65
Brighton & Hove Albion,2024,38,78,3,87
Chelsea,2024,38,100,2,106
Crystal Palace,2024,38,74,4,86
Everton,2024,38,81,2,87
Fulham,2024,38,82,2,88
Ipswich Town,2024,38,91,6,109
Leicester City,2024,38,88,0,88
Liverpool,2024,38,66,3,75
Manchester City,2024,38,58,2,64
Manchester United,2024,38,83,3,92
Newcastle United,2024,38,68,1,71
Nottingham Forest,2024,38,90,2,96
Southampton,2024,38,89,3,98
Tottenham Hotspur,2024,38,71,1,74
West Ham United,2024,38,78,3,87
Wolverhampton Wanderers,2024,38,76,2,82
AFC Bournemouth,2023,38,79,3,88
Arsenal,2023,38,63,2,69
Aston Villa,2023,38,93,2,99
Brentford,2023,38,92,2,98
Brighton & Hove Albion,2023,38,91,3,100
Burnley,2023,38,74,7,95
Chelsea,2023,38,107,4,119
Crystal Palace,2023,38,71,2,77
Everton,2023,38,81,1,84
Fulham,2023,38,81,4,93
Liverpool,2023,38,67,5,82
Luton Town,2023,38,71,0,71
Manchester City,2023,38,54,3,63
Manchester United,2023,38,79,1,82
Newcastle United,2023,38,78,1,81
Nottingham Forest,2023,38,80,3,89
Sheffield United,2023,38,99,5,114
Tottenham Hotspur,2023,38,91,4,103
West Ham United,2023,38,79,3,88
Wolverhampton Wanderers,2023,38,101,3,110
AFC Bournemouth,2022,38,69,0,69
Arsenal,2022,38,57,0,57
Aston Villa,2022,38,77,1,80
Brentford,2022,38,56,1,59
Brighton & Hove Albion,2022,38,58,0,58
Chelsea,2022,38,76,3,85
Crystal Palace,2022,38,81,3,90
Everton,2022,38,74,2,80
Fulham,2022,38,80,1,83
Leeds United,2022,38,87,3,96
Leicester City,2022,38,60,2,66
Liverpool,2022,38,57,1,60
Manchester City,2022,38,44,1,47
Manchester United,2022,38,78,2,84
Newcastle United,2022,38,68,1,71
Nottingham Forest,2022,38,85,0,85
Southampton,2022,38,73,0,73
Tottenham Hotspur,2022,38,76,3,85
West Ham United,2022,38,45,0,45
Wolverhampton Wanderers,2022,38,86,6,104
Arsenal,2021,38,63,4,75
Aston Villa,2021,38,80,2,86
Brentford,2021,38,63,3,72
Brighton & Hove Albion,2021,38,69,2,75
Burnley,2021,38,67,2,73
Chelsea,2021,38,63,1,66
Crystal Palace,2021,38,68,1,71
Everton,2021,38,79,6,97
Leeds United,2021,38,101,3,110
Leicester City,2021,38,55,1,58
Liverpool,2021,38,50,1,53
Manchester City,2021,38,42,1,45
Manchester United,2021,38,76,2,82
Newcastle United,2021,38,87,2,93
Norwich City,2021,38,56,1,59
Southampton,2021,38,63,2,69
Tottenham Hotspur,2021,38,67,1,70
Watford,2021,38,60,3,69
West Ham United,2021,38,49,3,58
Wolverhampton Wanderers,2021,38,60,2,66
Arsenal,2020,38,48,5,63
Aston Villa,2020,38,67,4,79
Brighton & Hove Albion,2020,38,45,6,63
Burnley,2020,38,48,0,48
Chelsea,2020,38,50,3,59
Crystal Palace,2020,38,55,2,61
Everton,2020,38,59,2,65
Fulham,2020,38,67,3,76
Leeds United,2020,38,61,1,64
Leicester City,2020,38,61,0,61
Liverpool,2020,38,40,0,40
Manchester City,2020,38,46,2,52
Manchester United,2020,38,64,1,67
Newcastle United,2020,38,62,3,71
Sheffield United,2020,38,73,3,82
Southampton,2020,38,52,3,61
Tottenham Hotspur,2020,38,55,2,61
West Bromwich Albion,2020,38,51,4,63
West Ham United,2020,38,49,3,58
Wolverhampton Wanderers,2020,38,54,1,57
AFC Bournemouth,2019,38,74,3,83
Arsenal,2019,38,87,5,102
Aston Villa,2019,38,68,1,71
Brighton & Hove Albion,2019,38,57,2,63
Burnley,2019,38,67,0,67
Chelsea,2019,38,60,0,60
Crystal Palace,2019,38,62,2,68
Everton,2019,38,70,3,79
Leicester City,2019,38,43,3,52
Liverpool,2019,38,38,1,41
Manchester City,2019,38,60,4,72
Manchester United,2019,38,73,0,73
Newcastle United,2019,38,71,3,80
Norwich City,2019,38,68,3,77
Sheffield United,2019,38,61,2,67
Southampton,2019,38,52,4,64
Tottenham Hotspur,2019,38,77,2,83
Watford,2019,38,76,3,85
West Ham United,2019,38,62,1,65
Wolverhampton Wanderers,2019,38,55,2,61
AFC Bournemouth,2018,38,60,1,63
Arsenal,2018,38,72,2,78
Brighton & Hove Albion,2018,38,60,4,72
Burnley,2018,38,75,1,78
Cardiff City,2018,38,66,1,69
Chelsea,2018,38,49,0,49
Crystal Palace,2018,38,58,2,64
Everton,2018,38,55,4,67
Fulham,2018,38,68,2,74
Huddersfield Town,2018,38,55,4,67
Leicester City,2018,38,57,5,72
Liverpool,2018,38,37,2,43
Manchester City,2018,38,44,1,47
Manchester United,2018,38,73,4,85
Newcastle United,2018,38,57,2,63
