Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Atlee Hammaker#,32.0,2TM,NL,0.0,34.0,21.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.105,0.15,0.105,0.255,-27.0,0.126,-56.0,2.0,0.0,0.0,1.0,0.0,0.0,1,
Barry Lyons,30.0,2TM,NL,-0.3,27.0,88.0,85.0,9.0,20.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,10.0,0.235,0.261,0.341,0.603,65.0,0.292,70.0,29.0,2.0,1.0,0.0,0.0,0.0,2/H,
Bill Doran#,32.0,2TM,NL,3.4,126.0,488.0,403.0,59.0,121.0,29.0,2.0,7.0,37.0,23.0,9.0,79.0,58.0,0.3,0.411,0.434,0.845,135.0,0.397,146.0,175.0,3.0,0.0,1.0,5.0,2.0,*4H/5,
Billy Bates*,26.0,2TM,2LG,-0.2,22.0,40.0,34.0,8.0,3.0,1.0,0.0,0.0,2.0,6.0,1.0,4.0,9.0,0.088,0.179,0.118,0.297,-15.0,0.205,-14.0,4.0,0.0,0.0,1.0,1.0,0.0,4/H,
Brad Komminsk,29.0,2TM,2LG,0.7,54.0,125.0,106.0,20.0,25.0,4.0,0.0,3.0,8.0,1.0,1.0,15.0,31.0,0.236,0.341,0.358,0.7,99.0,0.345,113.0,38.0,2.0,2.0,2.0,0.0,1.0,9H8/7D,
Carmelo Martínez,29.0,2TM,NL,0.4,83.0,247.0,217.0,26.0,52.0,9.0,0.0,10.0,35.0,2.0,1.0,30.0,42.0,0.24,0.332,0.419,0.751,107.0,0.347,110.0,91.0,3.0,0.0,0.0,0.0,0.0,37H/9,
Charlie Kerfeld,26.0,2TM,NL,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,
Charlie O'Brien,30.0,2TM,2LG,0.4,74.0,249.0,213.0,17.0,38.0,10.0,2.0,0.0,20.0,0.0,0.0,21.0,34.0,0.178,0.259,0.244,0.504,42.0,0.269,51.0,52.0,4.0,3.0,10.0,2.0,3.0,2,
Claudell Washington*,35.0,2TM,AL,-0.9,45.0,119.0,114.0,7.0,19.0,2.0,1.0,1.0,9.0,4.0,1.0,4.0,25.0,0.167,0.193,0.228,0.421,18.0,0.225,19.0,26.0,2.0,0.0,0.0,1.0,1.0,7H9/D,
Dale Murphy,34.0,2TM,NL,1.0,154.0,629.0,563.0,60.0,138.0,23.0,1.0,24.0,83.0,9.0,3.0,61.0,130.0,0.245,0.318,0.417,0.735,99.0,0.337,99.0,235.0,22.0,1.0,0.0,4.0,14.0,*9/H78,
Dan Schatzeder*,35.0,2TM,NL,0.1,51.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25,0.5,40.0,0.457,193.0,1.0,0.0,0.0,0.0,0.0,0.0,1,
Darnell Coles,28.0,2TM,AL,-1.3,89.0,235.0,215.0,22.0,45.0,7.0,1.0,3.0,20.0,0.0,4.0,16.0,38.0,0.209,0.265,0.293,0.558,56.0,0.254,47.0,63.0,4.0,1.0,1.0,2.0,2.0,HD95/37,
Darrin Fletcher*,23.0,2TM,NL,-0.4,11.0,24.0,23.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.13,0.167,0.174,0.341,-5.0,0.158,-27.0,4.0,0.0,0.0,0.0,0.0,0.0,/2H,
