Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Barry Lyons,31.0,CAL,AL,0.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,12.0,0.182,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,/3,
Bobby Rose,24.0,CAL,AL,0.2,22.0,69.0,65.0,5.0,18.0,5.0,1.0,1.0,8.0,0.0,0.0,3.0,13.0,0.277,0.304,0.431,0.735,103.0,0.337,103.0,28.0,1.0,0.0,0.0,1.0,0.0,/475H39,
Bryan Harvey,28.0,CAL,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,"AS,CYA-5"
Chris Cron,27.0,CAL,AL,-0.2,6.0,17.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.133,0.235,0.133,0.369,6.0,0.192,1.0,2.0,0.0,0.0,0.0,0.0,0.0,/3DH,
Dave Gallagher,30.0,CAL,AL,1.7,90.0,306.0,270.0,32.0,79.0,17.0,0.0,1.0,30.0,2.0,4.0,24.0,43.0,0.293,0.355,0.367,0.721,102.0,0.333,104.0,99.0,6.0,2.0,10.0,0.0,0.0,89H/7D,
Dave Parker*,40.0,CAL,AL,-1.2,119.0,501.0,466.0,45.0,108.0,22.0,2.0,11.0,56.0,3.0,2.0,29.0,91.0,0.232,0.279,0.358,0.638,76.0,0.294,73.0,167.0,9.0,3.0,0.0,3.0,3.0,*D,
Dave Winfield,39.0,CAL,AL,0.5,150.0,633.0,568.0,75.0,149.0,27.0,4.0,28.0,86.0,7.0,2.0,56.0,109.0,0.262,0.326,0.472,0.798,120.0,0.361,119.0,268.0,21.0,1.0,2.0,6.0,4.0,*9D/H,
Dick Schofield,28.0,CAL,AL,0.8,134.0,487.0,427.0,44.0,96.0,9.0,3.0,0.0,31.0,8.0,4.0,50.0,69.0,0.225,0.31,0.26,0.57,61.0,0.285,65.0,111.0,3.0,3.0,7.0,0.0,2.0,*6/H,
Donnie Hill#,30.0,CAL,AL,0.8,77.0,242.0,209.0,36.0,50.0,8.0,1.0,1.0,20.0,1.0,0.0,30.0,21.0,0.239,0.335,0.301,0.636,79.0,0.309,81.0,63.0,1.0,0.0,3.0,0.0,1.0,46H/3,
Gary Disarcina,23.0,CAL,AL,-0.1,18.0,64.0,57.0,5.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,0.211,0.274,0.246,0.52,46.0,0.248,38.0,14.0,0.0,2.0,2.0,0.0,0.0,6/45,
Gary Gaetti,32.0,CAL,AL,1.8,152.0,634.0,586.0,58.0,144.0,22.0,1.0,18.0,66.0,5.0,5.0,33.0,104.0,0.246,0.293,0.379,0.672,86.0,0.318,90.0,222.0,13.0,8.0,2.0,5.0,3.0,*5/H,
Jack Howell*,29.0,CAL,AL,-0.2,32.0,92.0,81.0,11.0,17.0,2.0,0.0,2.0,7.0,1.0,1.0,11.0,11.0,0.21,0.304,0.309,0.613,71.0,0.295,75.0,25.0,1.0,0.0,0.0,0.0,0.0,4/5H937D,
